0	Index      	 *	Score 	Summary	Detail	
1	14242 33323	 * 	273.18	ACR|3LIT|2MLV|2VULN|1DMG	1LWND|258LIT|39VULN|4RCR|67MLV|aDMG
2	14242 33325	 * 	273.18	ACR|3LIT|2MLV|2VULN|1NUKE	1LWND|258LIT|39VULN|4RCR|67MLV|aNUKE
3	22325 11245	 * 	273.00	DCR|2MLV|1LIT|2VULN|1DMG|1CDMG	17DUST|2FEWX|3BELT|47VULN|57MLV|6RCR|7BPWR|8DMG|9CDMG|aLIT
4	62533 15121	 * 	272.06	DCR|3VULN|1LIT|2ASPD|1DMG|1CDMG|1DUR	12ASPD|35aVULN|4DMG|6RCR|7CDMG|8LIT|9DUR
5	21333 13446	 * 	270.91	ACR|2LIT|2MLV|2VULN|2DMG|1DUR	1DUST|2aMLV|3FEWX|48LIT|5RCR|6aVULN|7DUR|9aDMG|aBPWR
6	21333 13666	 * 	269.81	ACR|2MLV|3VULN|1LIT|2DMG|1DUR	1DUST|2aMLV|3FEWX|4LIT|5RCR|69aVULN|7DUR|8aDMG|aBPWR
7	62533 15111	 * 	267.60	DCR|1LIT|2VULN|2DMG|2ASPD|1CDMG	12ASPD|35VULN|4aDMG|6RCR|7CDMG|8LIT|9CGEN
8	62313 16333	 * 	265.50	DCR|1LIT|2VULN|3ASPD|2DMG|1DUR	123ASPD|49BEXP|5DUR|6RCR|79DMG|89VULN|9BPWR|aLIT
9	14222 24142	 * 	265.36	DCR|3LIT|3VULN|1AART	17LWND|256LIT|379VULN|47FEWX|7BPWR|8RCR|aAART
10	14212 24142	 * 	265.16	DCR|3LIT|3VULN|2DUR|1AART	17LWND|256LIT|379VULN|47DUR|7BPWR|8RCR|aAART
11	24222 24142	   	265.16	DCR|3LIT|3VULN|1AART	17DUST|256LIT|379VULN|47FEWX|7BPWR|8RCR|aAART
12	34212 24142	   	265.16	DCR|3LIT|3VULN|2DUR|1AART	17FEWX|256LIT|379VULN|47DUR|7BPWR|8RCR|aAART
13	24212 24142	   	264.96	DCR|3LIT|3VULN|2DUR|1AART	17DUST|256LIT|379VULN|47DUR|7BPWR|8RCR|aAART
14	34223 14351	 * 	263.41	DCR|2LIT|2MLV|2DMG|1VULN	145FEWX|29LIT|3VULN|6RMIN|79MLV|89DMG|9BPWR|aRCR
