0	Index      	 *	Score 	Summary	Detail	
1	64343 13231	 * 	269.93	DCR|3VULN|1LIT|1MLV|1CDMG|1ASPD	1LIT|2BEXP|3MLV|4CGEN|5ASPD|68aVULN|7RCR|9CDMG
2	65432 33223	 * 	267.66	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG|1ASPD	1LIT|2BASICY|3DMG|4ASPD|5MBVNT|6MLV|7RCR|8aVULN|9CDMG
3	66432 33223	   	267.66	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG|1ASPD	1LIT|2MULARM|3DMG|4ASPD|5MBVNT|6MLV|7RCR|8aVULN|9CDMG
4	62335 33233	 * 	263.43	DCR|2LIT|2VULN|1MLV|1DMG	19LIT|2FEWX|3LWND|4CGEN|5DMG|6MLV|7RCR|8aVULN
5	51222 31552	 * 	263.40	DCR|3VULN|1LIT|2DMG|1CDMG|1SELL	1CGEN|2SELL|39aVULN|4CDMG|58DMG|6RCR|7LIT
6	64322 13263	   	263.12	DCR|3VULN|1LIT|1MLV|1ASPD	1LIT|2BEXP|3MLV|4ZMB|5ERES|68aVULN|7RCR|9ASPD
7	64332 13263	   	263.12	DCR|3VULN|1LIT|1MLV|1ASPD	1LIT|2BEXP|3MLV|4ASPD|5ERES|68aVULN|7RCR|9ZMB
8	61333 36143	   	261.73	DCR|2LIT|2VULN|1MLV|1DMG	16LIT|2RCVC|3MLV|4FEWX|56LWND|6BPWR|7DMG|8RCR|9aVULN
9	61312 36143	   	261.63	DCR|2LIT|2VULN|1MLV|1DMG|1DUR	16LIT|2RCVC|3MLV|4DUR|56FEWX|6BPWR|7DMG|8RCR|9aVULN
10	34361 21433	 * 	258.29	DCR|4VULN|1MLV|1DMG|2ZMB	1DUST|2RMIN|35ZMB|456aVULN|5BPWR|7RCR|8DMG|9MLV
11	62123 33543	 * 	257.54	DCR|2LIT|2VULN|2ASPD|1DMG	16LIT|24FEWX|3BEXP|56ASPD|6BPWR|7RCR|8DMG|9aVULN
12	62131 13232	   	257.01	DCR|2LIT|2VULN|1MLV|1CDMG	15LIT|2FEWX|3BEXP|4CGEN|6aVULN|7RCR|8CDMG|9MLV
13	64343 23233	   	257.01	DCR|2LIT|2VULN|1MLV|1ASPD	19LIT|2BEXP|3MLV|4CGEN|5ASPD|6LWND|7RCR|8aVULN
14	62141 13232	   	256.91	DCR|2LIT|2VULN|1MLV|1CDMG	15LIT|2FEWX|3BEXP|4ERES|6aVULN|7RCR|8CDMG|9MLV
15	51222 31513	 * 	256.91	DCR|1LIT|2VULN|3DMG|1CDMG|1SELL	1CGEN|2SELL|3aVULN|4CDMG|589DMG|6RCR|7LIT
16	51222 35613	   	255.76	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG|1SELL	1CGEN|2SELL|38VULN|4CDMG|5DMG|6RCR|7MLV|9FEWX|aLIT
17	62123 36143	   	255.74	DCR|2LIT|2VULN|2ASPD|1DMG	16LIT|24FEWX|3BEXP|56ASPD|6BPWR|7DMG|8RCR|9aVULN
18	51222 31534	 * 	254.91	DCR|1LIT|2VULN|2DMG|1ASPD|1CDMG|1SELL	1CGEN|2SELL|3aVULN|4CDMG|58DMG|6RCR|7LIT|9ASPD
19	31162 41433	   	254.90	DCR|4VULN|1MLV|1DMG	1DUST|2ZMB|3CGEN|456aVULN|7RCR|8DMG|9MLV
20	64332 13251	   	254.11	DCR|1LIT|2VULN|1MLV|1DMG|1ASPD	1LIT|2BEXP|3MLV|4ASPD|5ERES|68VULN|7RCR|9RPLT|aDMG
21	64332 13252	 * 	254.11	DCR|1LIT|2VULN|1MLV|1NUKE|1ASPD	1LIT|2BEXP|3MLV|4ASPD|5ERES|68VULN|7RCR|9RPLT|aNUKE
22	65432 33243	   	253.91	DCR|1LIT|2VULN|1MLV|1DMG|1ASPD	1LIT|2BASICY|3DMG|4ASPD|5MBVNT|6MLV|7RCR|8aVULN|9ERES
23	66432 33243	   	253.91	DCR|1LIT|2VULN|1MLV|1DMG|1ASPD	1LIT|2MULARM|3DMG|4ASPD|5MBVNT|6MLV|7RCR|8aVULN|9ERES
24	51223 41433	   	253.86	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG|1SELL	1CGEN|2SELL|36VULN|4CDMG|5DUST|7RCR|8DMG|9MLV|aLIT
25	64343 13233	 * 	253.80	DCR|2MLV|1LIT|2VULN|1CDMG|1ASPD	1LIT|2BEXP|3aMLV|4CGEN|5ASPD|68VULN|7RCR|9CDMG
26	61523 13531	 * 	253.01	DCR|2LIT|1FLTARM|1VULN|1MLV	16LIT|2RCVC|3ERES|4CGEN|5VULN|7MLV|8RCR|9FLTARM|aRPLT
