0	Index      	 *	Score 	Summary	Detail	
1	11214 36126	 * 	397.87	DCR|DCR|1MDPS|1VULN|2CDMG|1DUR	1AAC|29CDMG|3VULN|4DUST|5BBNT|6DUR|78RCR|aMDPS
2	23443 23311	 * 	377.41	DCR|2VULN|1MDPS|1TLV|1DMG|1DUR	1BEXP|2TLV|3DUR|46VULN|5DMG|7RCR|8ERES|9LIT|aMDPS
3	23443 23511	 * 	377.31	DCR|2VULN|1MDPS|2DMG|1TLV|1DUR	1BEXP|2TLV|3DUR|46VULN|59DMG|7RCR|8MDPS|aLIT
4	23443 23512	   	377.31	DCR|2VULN|1MDPS|2DMG|1TLV|1DUR	1BEXP|2TLV|3DUR|46VULN|59DMG|7RCR|8MDPS|aDUST
5	23443 23513	   	377.31	DCR|2VULN|1MDPS|2DMG|1TLV|1DUR	1aBEXP|2TLV|3DUR|46VULN|59DMG|7RCR|8MDPS
6	23443 23521	   	377.31	DCR|2VULN|1MDPS|2DUR|1TLV|1DMG	1BEXP|2TLV|3aDUR|46VULN|5DMG|7RCR|8MDPS|9RPLT
7	23443 23522	   	377.31	DCR|2VULN|1MDPS|1TLV|1DMG|1DUR	1BEXP|2TLV|3DUR|46VULN|5DMG|7RCR|8MDPS|9RPLT|aERES
8	23443 23523	   	377.31	DCR|2VULN|1MDPS|1TLV|1DMG|1DUR	1BEXP|2TLV|3DUR|46VULN|5DMG|7RCR|8MDPS|9RPLT|aMBVNT
9	23443 23531	   	377.31	DCR|2VULN|1MDPS|1TLV|1DMG|1DUR	1BEXP|2TLV|3DUR|46VULN|5DMG|7RCR|8MDPS|9LHND|aRAT
10	23443 23532	   	377.31	DCR|2VULN|1MDPS|1TLV|1DMG|1DUR	1BEXP|2TLV|3DUR|46VULN|5DMG|7RCR|8MDPS|9LHND|aBBNT
11	23443 23533	   	377.31	DCR|2VULN|1MDPS|1TLV|1DMG|1DUR	1BEXP|2TLV|3DUR|46VULN|5DMG|7RCR|8MDPS|9LHND|aTBNT
12	12214 52531	 * 	374.34	DCR|2VULN|1MDPS|2TLV|1DUR	1AAC|29TLV|3DUR|4RCVC|5RPLT|69ERES|79VULN|8RCR|9BPWR|aMDPS
13	12314 52531	   	374.24	DCR|2VULN|1MDPS|2TLV|1DUR	1AAC|29TLV|39AEPOI|4DUR|5RPLT|6ERES|79VULN|8RCR|9BPWR|aMDPS
14	11224 36361	 * 	372.09	DCR|2VULN|1MDPS|1CDMG|1DUR|1AART	1AAC|2CDMG|39VULN|4AETHUN|5BBNT|6DUR|7RCR|8AART|aMDPS
