0	Index      	 *	Score 	Summary	Detail	
1	64261 22321	 * 	358.44	DCR|3VULN|1MDPS|1CDMG|1DUR|1MSE	1CDMG|23aVULN|4BELT|5DUR|6DMSP|7RCR|8MSE|9MDPS
2	64261 22322	 * 	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR|1MSE	1CDMG|23VULN|4BELT|5DUR|6DMSP|7RCR|8MSE|9MDPS|aLHND
3	64261 22323	 * 	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR|1MSE	1CDMG|23VULN|4BELT|5DUR|6DMSP|7RCR|8MSE|9MDPS|aBEXP
4	41241 63121	 * 	358.01	DCR|2MDPS|1VULN|1DUR	1VULN|2RPLT|3BOSS|4BEXP|5DUR|6RCR|79MDPS|8AME|aFEWX
5	41241 63122	   	358.01	DCR|2MDPS|1VULN|1DUR	1VULN|2RPLT|3BOSS|4BEXP|5DUR|6RCR|79MDPS|8AME|aDUST
6	41241 63123	   	358.01	DCR|2MDPS|1VULN|1DUR	1VULN|2RPLT|3BOSS|4BEXP|5DUR|6RCR|79MDPS|8AME|aCGEN
7	41251 63121	   	358.01	DCR|2MDPS|1VULN|1DUR	1VULN|2RPLT|3BOSS|4LHND|5DUR|6RCR|79MDPS|8AME|aBEXP
8	41251 63122	   	358.01	DCR|2MDPS|1VULN|1DUR	1VULN|2RPLT|3BOSS|4LHND|5DUR|6RCR|79MDPS|8AME|aDUST
9	41251 63123	   	358.01	DCR|2MDPS|1VULN|1DUR	1VULN|2RPLT|3BOSS|4LHND|5DUR|6RCR|79MDPS|8AME|aCGEN
10	63123 22536	 * 	353.90	DCR|4VULN|2CDMG|1DUR	13CDMG|26AEBURN|4678VULN|5AAC|6BPWR|9RCR|aDUR
11	45123 51211	 * 	351.01	DCR|2VULN|1MDPS|1DMG|1DUR	15VULN|2DMG|3ERES|45AEFRZ|5BPWR|6RCR|7DUR|8LHND|9MDPS|aRCVC
12	45123 51212	   	351.01	DCR|2VULN|1MDPS|1DMG|1DUR	15VULN|2DMG|3ERES|45AEFRZ|5BPWR|6RCR|7DUR|8LHND|9MDPS|aLIT
13	45123 51213	   	351.01	DCR|2VULN|1MDPS|1DMG|1DUR	15VULN|2DMG|3ERES|45AEFRZ|5BPWR|6RCR|7DUR|8LHND|9MDPS|aTBNT
14	32621 13246	 * 	344.73	DCR|1MDPS|1VULN|1CDMG|1TLV|1DUR|1AART	1ZMB|2CDMG|3AEFBLL|4AART|5VULN|6DUR|7RCR|8MLV|9TLV|aMDPS
15	36251 31331	 * 	344.22	ACR|DCR|1MDPS|1VULN|1TLV|1DUR	1ZMB|27RCR|3MBVNT|4MLV|5DUR|6TLV|8VULN|9MDPS|aBBNT
16	36251 31332	   	344.22	ACR|DCR|1MDPS|1VULN|1TLV|1DUR	1ZMB|27RCR|3MBVNT|4MLV|5DUR|6TLV|8VULN|9MDPS|aERES
17	36251 31333	   	344.22	ACR|DCR|1MDPS|1VULN|1TLV|1DUR	1ZMB|27RCR|3MBVNT|4MLV|5DUR|6TLV|8VULN|9MDPS|aLIT
18	36251 31334	   	344.22	ACR|DCR|1MDPS|1VULN|1TLV|1DUR	1ZMB|27RCR|3MBVNT|4MLV|5DUR|6TLV|8VULN|9MDPS|aLWND
