0	Index      	 *	Score 	Summary	Detail	
1	11132 52435	 * 	386.69	DCR|2VULN|1MDPS|2TLV|2DUR	1RCVC|28VULN|38DUR|4AEFRZ|5BLAICY|68TLV|7RCR|8BPWR|9DUST|aMDPS
2	42123 62335	 * 	381.45	DCR|2VULN|1MDPS|2DMG|2DUR	19DMG|28CGEN|39DUR|4AAC|5TBNT|69VULN|7RCR|9BPWR|aMDPS
3	12212 32455	 * 	375.03	DCR|3VULN|1MDPS|1DUR	1RCVC|28CANSTR|3CGEN|468VULN|58FEWX|7RCR|8BPWR|9DUR|aMDPS
4	21613 25362	   	374.93	DCR|3VULN|1MDPS|1DUR	1RAT|2RMIN|3CGEN|459VULN|6DUR|7RCR|8AIRHEA|aMDPS
5	12133 12445	   	374.73	DCR|3VULN|1MDPS|1DUR	1RCVC|28CANSTR|389VULN|4DUR|5ASPD|68AEWIND|7RCR|8BPWR|aMDPS
6	32151 31651	 * 	371.78	ACR|DCR|2VULN|1MDPS|1DUR	1AME|2CGEN|3DUR|46RCR|59VULN|7RAT|8FRZICY|aMDPS
7	21542 62222	   	369.80	DCR|2VULN|1MDPS|2DUR|1TLV	1RAT|2RMIN|38VULN|49DUR|5MULARM|6RCR|7TLV|aMDPS
8	33242 62222	   	369.70	DCR|2VULN|1MDPS|2DUR|1TLV	1AME|28VULN|3RAT|49DUR|5AIRARM|6RCR|7TLV|aMDPS
9	42113 62335	   	368.99	DCR|2VULN|1MDPS|2DMG|1DUR	19DMG|289CGEN|3DUR|4ZMB|5TBNT|69VULN|7RCR|9BPWR|aMDPS
10	43233 25513	   	368.89	DCR|2VULN|1MDPS|2DMG|1DUR	18DMG|25VULN|3RAT|4CGEN|6DUR|7RCR|9BELT|aMDPS
11	21523 25532	   	368.79	DCR|2VULN|1MDPS|2DMG|1DUR	1RAT|2RMIN|35VULN|48DMG|6DUR|7RCR|9AME|aMDPS
12	33223 25562	   	368.79	DCR|2VULN|1MDPS|2DMG|1DUR	1AME|25VULN|3RAT|48DMG|6DUR|7RCR|9CGEN|aMDPS
13	11164 21234	 * 	368.79	DCR|2VULN|1MDPS|3DUR|1AART	1RCVC|28VULN|346DUR|5RAT|7RCR|9AART|aMDPS
