0	Index      	 *	Score 	Summary	Detail	
1	43134 51132	 * 	365.58	DCR|DCR|2VULN|1CDMG|1TLV|1DUR	1LIT|29VULN|3CGEN|4BOSS|5CDMG|68RCR|7DUR|aTLV
2	31214 33652	 * 	364.24	ACR|2MDPS|1VULN|1TLV|1DMG|1DUR|1SELL	1TLV|2RCR|3DUR|4VULN|5RAT|6SELL|7DMG|8LIT|9aMDPS
3	43243 21523	 * 	360.32	DCR|4VULN|1TLV|1DMG|1DUR	1LIT|258aVULN|3DMG|4TLV|6DUST|7DUR|9RCR
4	31215 31244	 * 	357.10	ACR|2VULN|1MDPS|1CDMG|2DUR|1TLV	1TLV|2RCR|35DUR|47VULN|6ASPD|8AEWIND|9CDMG|aMDPS
5	31215 35226	 * 	356.57	ACR|2MDPS|1VULN|2DUR|1TLV	1TLV|2RCR|35DUR|4VULN|6ASPD|7aMDPS|8LHND|9BELT
6	35212 33314	   	351.73	DCR|DCR|2VULN|1TLV|1DUR|1AART	1TLV|29VULN|3AART|4AME|5LHND|68RCR|7CGEN|aDUR
7	35232 33314	   	351.73	DCR|DCR|2VULN|1TLV|1DUR|1AART	1TLV|29VULN|3AART|4ERES|5LHND|68RCR|7CGEN|aDUR
8	65212 33314	   	351.73	DCR|DCR|2VULN|1TLV|1DUR|1AART	1AME|29VULN|3AART|4TLV|5LHND|68RCR|7CGEN|aDUR
9	31213 33241	   	351.06	ACR|2VULN|1MDPS|1TLV|1DMG|1DUR|1AART	1TLV|2RCR|3DUR|47VULN|5FEWX|6DMG|8AART|9MDPS|aTBNT
10	31213 33242	   	351.06	ACR|2VULN|1MDPS|1TLV|1DMG|1DUR|1AART	1TLV|2RCR|3DUR|47VULN|5FEWX|6DMG|8AART|9MDPS|aAME
11	31213 33243	   	351.06	ACR|2VULN|1MDPS|1TLV|1DMG|1DUR|1AART	1TLV|2RCR|3DUR|47VULN|5FEWX|6DMG|8AART|9MDPS|aAEBURN
12	31213 33244	   	351.06	ACR|2VULN|1MDPS|1TLV|1DMG|1DUR|1AART	1TLV|2RCR|3DUR|47VULN|5FEWX|6DMG|8AART|9MDPS|aZMB
13	31213 33245	   	351.06	ACR|2VULN|1MDPS|1TLV|1DMG|1DUR|1AART	1TLV|2RCR|3DUR|47VULN|5aFEWX|6DMG|8AART|9MDPS
14	31213 33246	   	351.06	ACR|2VULN|1MDPS|1TLV|1DMG|1DUR|1AART	1TLV|2RCR|3DUR|47VULN|5FEWX|6DMG|8AART|9MDPS|aAEPOI
15	31212 33241	   	350.96	ACR|2VULN|1MDPS|1TLV|1DMG|1DUR|1AART	1TLV|2RCR|3DUR|47VULN|5AETHUN|6DMG|8AART|9MDPS|aTBNT
