0	Index      	 *	Score 	Summary	Detail	
1	24631 31422	 * 	358.64	DCR|2VULN|1MDPS|1CDMG|1DUR	17LHND|27VULN|3CDMG|4BOSS|5DUR|67CANARM|7BPWR|8BEXP|9RCR|aMDPS
2	31641 32335	 * 	356.20	DCR|2MDPS|1CDMG|1DMG|1DUR|1AART	1LWND|2DUR|3CDMG|4AAC|5AART|6DMG|7RCR|8RAT|9aMDPS
3	34133 23361	 * 	351.64	DCR|3VULN|3CDMG|3DUR	189LWND|269VULN|358DUR|489CDMG|7AETHUN|89BPWR|aRCR
4	12242 64132	 * 	351.63	2MDPS|2VULN|1TLV|1DUR|1AART	1AART|2MBVNT|3ERES|46VULN|5DUR|7BOSS|8TLV|9aMDPS
5	24211 33525	 * 	347.78	DCR|5VULN|1DUR	1LHND|2458aVULN|34MLV|4BPWR|6RCR|7CGEN|9DUR
6	34211 33525	   	347.78	DCR|5VULN|1DUR	1LWND|2458aVULN|34MLV|4BPWR|6RCR|7CGEN|9DUR
7	24211 31625	   	347.68	DCR|5VULN|1DUR	1LHND|2458aVULN|34MLV|4BPWR|6RCR|7ERES|9DUR
8	12142 21624	 * 	344.63	DCR|1MDPS|1VULN|1CDMG|1TLV|1DUR|1AART	1AART|2MBVNT|3CGEN|4VULN|5DUR|6TLV|7RCR|8CDMG|9DUST|aMDPS
9	12142 21674	   	344.63	DCR|1MDPS|1VULN|1CDMG|1TLV|1DUR|1AART|1MSE	1AART|2MBVNT|3CGEN|4VULN|5DUR|6TLV|7RCR|8CDMG|9MSE|aMDPS
10	12242 21624	   	344.53	DCR|1MDPS|1VULN|1CDMG|1TLV|1DUR|1AART	1AART|2MBVNT|3ERES|4VULN|5DUR|6TLV|7RCR|8CDMG|9DUST|aMDPS
11	12242 21667	   	344.53	DCR|1MDPS|1VULN|1CDMG|1TLV|1DUR|1AART	1AART|2MBVNT|3ERES|4VULN|5DUR|6TLV|7RCR|8CDMG|9TBNT|aMDPS
12	12242 21674	   	344.53	DCR|1MDPS|1VULN|1CDMG|1TLV|1AART|1DUR|1MSE	1AART|2MBVNT|3ERES|4VULN|5DUR|6TLV|7RCR|8CDMG|9MSE|aMDPS
13	12342 21667	   	344.53	DCR|1MDPS|1VULN|1CDMG|1TLV|1DUR|1AART	1AART|2MBVNT|3AME|4VULN|5DUR|6TLV|7RCR|8CDMG|9TBNT|aMDPS
14	36321 11653	 * 	343.70	DCR|2VULN|1MDPS|2DUR	19LWND|2DMSP|3AETHUN|49DUR|5RMIN|6BBNT|79VULN|8RCR|9BPWR|aMDPS
