0	Index      	 *	Score 	Summary	Detail	
1	33643 21261	 * 	374.83	DCR|3VULN|1MDPS|1DUR|1MSE	1DUST|2RAT|348VULN|5MLV|6DUR|7RCR|9MDPS|aMSE
2	33643 21262	 * 	374.83	DCR|3VULN|1MDPS|1DUR	1DUST|2RAT|348VULN|5MLV|6DUR|7RCR|9MDPS|aLHND
3	33643 21263	   	374.83	DCR|3VULN|1MDPS|1DUR	1aDUST|2RAT|348VULN|5MLV|6DUR|7RCR|9MDPS
4	24163 21363	 * 	358.01	DCR|2MDPS|1VULN|1DUR	1LEGI|2DUR|3BLASTR|4VULN|5BOSS|6ZMB|7RCR|8MLV|9aMDPS
5	35163 21363	   	358.01	DCR|2MDPS|1VULN|1DUR	1DUST|2DUR|3BLASTR|4VULN|5BOSS|6ZMB|7RCR|8MLV|9aMDPS
6	23242 61413	   	357.91	DCR|2MDPS|1VULN|1DUR	1LEGI|2FEWX|3DUR|4VULN|5TBNT|6CGEN|7RCR|8aMDPS|9RAT
7	23242 11413	   	357.81	DCR|2MDPS|1VULN|1DUR	1LEGI|2FEWX|3DUR|4VULN|5TBNT|6ERES|7RCR|8aMDPS|9RAT
8	33643 21523	 * 	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1DUST|2RAT|34VULN|5MLV|6DUR|7RCR|8TLV|9AEWIND|aMDPS
9	42213 54321	 * 	345.09	DCR|2MDPS|2DMG|3DUR	1LHND|24DMG|349DUR|4BPWR|5LIT|6ERES|7RCR|8aMDPS
10	25213 54321	   	344.99	DCR|2MDPS|2DMG|3DUR	1LEGI|24DMG|349DUR|4BPWR|5LIT|6ERES|7RCR|8aMDPS
11	32213 54321	   	344.99	DCR|2MDPS|2DMG|3DUR	1DUST|24DMG|349DUR|4BPWR|5LIT|6ERES|7RCR|8aMDPS
