0	Index      	 *	Score 	Summary	Detail	
1	33462 23243	 * 	413.59	DCR|3VULN|1MDPS|2DUR|1TLV	19DUR|29ASPD|3TLV|4AME|589VULN|6BELT|7RCR|9BPWR|aMDPS
2	51216 12223	   	407.55	DCR|3VULN|1MDPS|2DUR|1DMG	178VULN|25DUR|3RCVC|4BELT|6RCR|9DMG|aMDPS
3	25311 34484	   	404.81	DCR|2VULN|1MDPS|1CDMG|1TLV|1DMG|1DUR	1LIT|2MBVNT|36VULN|4DUR|5TLV|7DMG|8RCR|9CDMG|aMDPS
4	13463 62131	   	402.33	DCR|3VULN|1MDPS|1CDMG|1DUR	1CDMG|247VULN|3LWND|5LIT|6DUR|8RCR|9MDPS|aCGEN
5	13463 62132	   	402.33	DCR|3VULN|1MDPS|1CDMG|1DUR	1CDMG|247VULN|3LWND|5aLIT|6DUR|8RCR|9MDPS
6	13463 62133	   	402.33	DCR|3VULN|1MDPS|1CDMG|1DUR	1CDMG|247VULN|3LWND|5LIT|6DUR|8RCR|9MDPS|aLSRICY
7	51216 12213	   	387.48	DCR|3VULN|1MDPS|2DUR	178VULN|25DUR|3RCVC|4BELT|6RCR|9CGEN|aMDPS
8	31631 12343	 * 	387.41	ACR|DCR|1MDPS|1VULN|2TLV|2DUR|1AART	12DUR|3AART|4VULN|58RCR|6BEXP|79TLV|aMDPS
9	31631 32343	   	387.41	ACR|DCR|1MDPS|1VULN|2TLV|2DUR|1AART	12DUR|3AART|4VULN|58RCR|6FEWX|79TLV|aMDPS
10	51216 12243	   	387.38	DCR|3VULN|1MDPS|2DUR|1MSE	178VULN|25DUR|3RCVC|4BELT|6RCR|9MSE|aMDPS
11	51216 12253	   	387.38	DCR|3VULN|1MDPS|2DUR	178VULN|25DUR|3RCVC|4BELT|6RCR|9DUST|aMDPS
12	13126 21562	 * 	385.17	DCR|2MDPS|1VULN|1CDMG|1DUR|1SELL	1CDMG|2VULN|3BBNT|4DUR|5SELL|6RCR|7RAT|8DUST|9aMDPS
13	13126 21662	 * 	385.17	DCR|2MDPS|1VULN|1CDMG|1DUR|1SELL	1CDMG|2VULN|3BBNT|4DUR|5SELL|6RCR|7RAT|8LEGI|9aMDPS
14	25311 37484	   	384.75	DCR|2VULN|1MDPS|1CDMG|1TLV|1DUR	1LIT|2MBVNT|36VULN|4DUR|5TLV|7ZMB|8RCR|9CDMG|aMDPS
15	15263 62131	   	384.75	DCR|2VULN|1MDPS|1CDMG|1TLV|1DUR	1CDMG|2aCGEN|37VULN|4TLV|5LIT|6DUR|8RCR|9MDPS
16	15263 62132	   	384.75	DCR|2VULN|1MDPS|1CDMG|1TLV|1DUR|1MSE	1CDMG|2CGEN|37VULN|4TLV|5LIT|6DUR|8RCR|9MDPS|aMSE
17	15263 62133	   	384.75	DCR|3VULN|1MDPS|1CDMG|1TLV|1DUR	1CDMG|2CGEN|37aVULN|4TLV|5LIT|6DUR|8RCR|9MDPS
18	13231 31133	   	384.65	DCR|2VULN|1MDPS|1CDMG|1TLV|1DUR	1CDMG|29VULN|3ASPD|4DUR|5BBNT|6RCR|7TLV|8BEXP|aMDPS
19	13233 31133	   	384.65	DCR|2VULN|1MDPS|1CDMG|1TLV|1DUR	1CDMG|29VULN|3ASPD|4DUR|5TBNT|6RCR|7TLV|8BEXP|aMDPS
20	13261 31233	   	384.65	DCR|2VULN|1MDPS|1CDMG|1TLV|1DUR	1CDMG|29VULN|3ASPD|4BEXP|5BBNT|6RCR|7TLV|8DUR|aMDPS
21	13263 31233	   	384.65	DCR|2VULN|1MDPS|1CDMG|1TLV|1DUR	1CDMG|29VULN|3ASPD|4BEXP|5TBNT|6RCR|7TLV|8DUR|aMDPS
22	13363 62131	   	384.65	DCR|2VULN|1MDPS|1CDMG|1TLV|1DUR	1CDMG|27VULN|3ERES|4TLV|5LIT|6DUR|8RCR|9MDPS|aCGEN
23	13363 62132	   	384.65	DCR|2VULN|1MDPS|1CDMG|1TLV|1DUR	1CDMG|27VULN|3ERES|4TLV|5aLIT|6DUR|8RCR|9MDPS
24	13363 62133	   	384.65	DCR|2VULN|1MDPS|1CDMG|1TLV|1DUR	1CDMG|27VULN|3ERES|4TLV|5LIT|6DUR|8RCR|9MDPS|aLWND
25	13363 62134	   	384.65	DCR|2VULN|1MDPS|1CDMG|1TLV|1DUR	1CDMG|27VULN|3ERES|4TLV|5LIT|6DUR|8RCR|9MDPS|aAAC
26	13363 62135	   	384.65	DCR|2VULN|1MDPS|1CDMG|1TLV|1DUR	1CDMG|27VULN|3aERES|4TLV|5LIT|6DUR|8RCR|9MDPS
27	13363 62136	   	384.65	DCR|2VULN|1MDPS|1CDMG|1TLV|1DUR	1CDMG|27VULN|3ERES|4TLV|5LIT|6DUR|8RCR|9MDPS|aFEWX
