0	Index      	 *	Score 	Summary	Detail	
1	62143 32225	 * 	295.11	DCR|2TLV|2VULN|2DMG|1AART|1DUR	1aDMG|2AART|3DUR|4RPLT|5aVULN|6LWND|7RAT|8RCR|9aTLV|aBPWR
2	22132 13453	 * 	294.98	DCR|3VULN|2TLV|1AEBURN|1AART|1DUR	1ERES|2DUR|3AART|489VULN|5aTLV|6RCR|7AEBURN
3	22243 26362	 * 	293.00	ACR|2TLV|2VULN|1DMG|1AEPOI|1CDMG|1DUR	1ERES|2DUR|3aVULN|4DMG|5RCR|69TLV|7AEPOI|8CDMG
4	22243 26353	 * 	284.48	ACR|2VULN|1TLV|2DMG|2AEPOI|1CDMG|1DUR	1ERES|2DUR|3aVULN|4aDMG|5RCR|6TLV|7aAEPOI|8CDMG|9LIT|aBPWR
5	22243 51512	 * 	284.06	ACR|DCR|1TLV|1VULN|1DMG|2DUR	1ERES|29DUR|3VULN|4DMG|5aRCR|6LIT|7AETHUN|8TLV
6	33343 26362	   	283.34	ACR|2TLV|2VULN|1AEPOI|1DMG|1CDMG	1BEXP|2aVULN|3ERES|4DMG|5RCR|69TLV|7AEPOI|8CDMG
7	32352 51152	 * 	282.15	ACR|DCR|1TLV|1VULN|1AEBURN|1DUR	1BEXP|2ZMB|3LIT|4aRCR|5AEBURN|6TLV|7VULN|8DUR|9RMIN
8	26132 13452	 * 	280.07	DCR|4VULN|1TLV|1AEBURN|1AART	1ERES|2DUST|3AART|489aVULN|5TLV|6RCR|7AEBURN
9	22132 13423	   	279.33	DCR|2TLV|2VULN|1AEBURN|2DUR|1AART	1ERES|29DUR|3AART|48VULN|5aTLV|6RCR|7AEBURN
10	22132 13553	   	279.33	DCR|2TLV|2VULN|1AEBURN|2DUR|1AART	1ERES|28DUR|3AART|49VULN|5aTLV|6RCR|7AEBURN
11	22243 26121	 * 	277.84	ACR|3VULN|1TLV|1DMG|1AEPOI|1DUR	1ERES|2DUR|389VULN|4DMG|5RCR|6TLV|7AEPOI|aRCVC
12	22243 26122	   	277.84	ACR|3VULN|1TLV|1DMG|1AEPOI|1DUR	1ERES|2DUR|389VULN|4DMG|5RCR|6TLV|7AEPOI|aCGEN
13	22243 26124	   	277.84	ACR|3VULN|1TLV|1DMG|1AEPOI|1DUR	1ERES|2DUR|389VULN|4DMG|5RCR|6TLV|7AEPOI|aAAC
14	22243 26125	   	277.84	ACR|3VULN|1TLV|1DMG|1AEPOI|1DUR	1ERES|2DUR|389VULN|4DMG|5RCR|6TLV|7AEPOI|aFEWX
15	22243 26123	   	277.74	ACR|3VULN|1TLV|1DMG|1AEPOI|1DUR	1aERES|2DUR|389VULN|4DMG|5RCR|6TLV|7AEPOI
16	22243 26126	   	277.74	ACR|3VULN|1TLV|1DMG|1AEPOI|1DUR|1MSE	1ERES|2DUR|389VULN|4DMG|5RCR|6TLV|7AEPOI|aMSE
17	32352 51243	 * 	276.40	ACR|4VULN|1TLV|1AEBURN	1aBEXP|2ZMB|3aLIT|4RCR|5AEBURN|6TLV|789aVULN|aBPWR
18	12251 61125	 * 	276.36	ACR|DCR|1TLV|1VULN|2CDMG|1AART|1NUKE	1BELT|2AAC|3NUKE|4VULN|58RCR|67CDMG|9TLV|aAART
19	22243 21112	   	275.11	ACR|DCR|1TLV|1VULN|1DMG|1DUR	1ERES|2DUR|3VULN|4DMG|5aRCR|6TLV|7CGEN|8LIT|9MLV
20	22243 21152	   	275.11	ACR|DCR|1TLV|1VULN|1DMG|1DUR	1ERES|2DUR|3VULN|4DMG|5aRCR|6TLV|7CGEN|8LIT|9RMIN
21	23346 51231	 * 	275.05	ACR|DCR|2VULN|1TLV	12ERES|3LIT|4aRCR|57VULN|6TLV|8CGEN|9LSRREG
22	22243 52262	   	275.01	ACR|DCR|1TLV|1VULN|1DMG|1DUR	17ERES|2DUR|3VULN|4DMG|5aRCR|6LIT|8TLV|9BEXP
23	31243 26353	   	274.92	ACR|2VULN|1TLV|2DMG|2AEPOI|1CDMG	1BEXP|2CGEN|3aVULN|4aDMG|5RCR|6TLV|7aAEPOI|8CDMG|9LIT|aBPWR
24	22132 12453	   	274.82	DCR|3VULN|2TLV|1AART|1DUR	17ERES|2DUR|3AART|489VULN|5aTLV|6RCR
25	33243 23516	 * 	274.45	ACR|2TLV|2VULN|2DMG	1BEXP|29VULN|3CGEN|4aDMG|5RCR|69TLV|7RAT|89LHND|9BPWR
26	33243 23116	   	274.25	ACR|2TLV|2VULN|2DMG	1BEXP|29VULN|3CGEN|4aDMG|5RCR|69TLV|7RAT|89DUST|9BPWR
27	43243 23116	   	274.25	ACR|2TLV|2VULN|2DMG	1LWND|29VULN|3CGEN|4aDMG|5RCR|69TLV|7RAT|89DUST|9BPWR
28	43343 26312	 * 	274.22	ACR|3VULN|2TLV|1DMG	1LWND|29aVULN|3ERES|4DMG|5RCR|6aTLV|7MULARM|8aMSLREG|aBPWR
29	22243 22362	   	272.84	ACR|2TLV|2VULN|1DMG|1CDMG|1DUR	1ERES|2DUR|3aVULN|4DMG|5RCR|69TLV|7AEFRZ|8CDMG
30	63533 32623	 * 	272.29	DCR|DCR|1TLV|1VULN|1DMG	1DMG|2RPLT|3VULN|4RAT|5TLV|6AETHUN|7aRCR|8BELT|9DUST
31	63531 12225	   	271.77	DCR|2TLV|1VULN|2DMG|2RAT|1AART|1DUR	1aDMG|2RPLT|3VULN|4aRAT|5DUR|6DUST|7AART|8RCR|9aTLV|aBPWR
32	12251 61123	 * 	271.39	ACR|DCR|1TLV|1VULN|3CDMG|1NUKE	1BELT|2AAC|3NUKE|4VULN|58RCR|67aCDMG|9TLV
33	22132 14166	   	270.81	DCR|2TLV|2VULN|1ASPD|1AART|1DUR	1ERES|2DUR|3AART|4aVULN|59TLV|6RCR|7RAT|8ASPD
34	42233 31453	   	270.54	ACR|4VULN|1TLV|1AART|2ZMB|1NUKE	17LWND|27ZMB|3789VULN|4NUKE|5RCR|6AART|7BPWR|aTLV
35	43243 23113	   	270.31	ACR|2TLV|2VULN|1DMG|1ASPD	1LWND|29VULN|3CGEN|4DMG|5RCR|69TLV|7RAT|89DUST|9BPWR|aASPD
36	22132 13441	   	270.19	DCR|2TLV|2VULN|1AEBURN|1AART|1DUR	1ERES|2DUR|3AART|48VULN|5aTLV|6RCR|7AEBURN|9MSLREG
37	22132 13464	   	270.19	DCR|2TLV|2VULN|1AEBURN|1AART|1DUR	1ERES|2DUR|3AART|48VULN|5aTLV|6RCR|7AEBURN|9AETHUN
38	31243 26131	   	269.79	ACR|2TLV|2VULN|1DMG|1AEPOI	1BEXP|2CGEN|38VULN|4DMG|5RCR|69TLV|7AEPOI|aRCVC
