0	Index      	 *	Score 	Summary	Detail	
1	51261 63122	 * 	308.46	ACR|3TLV|2VULN|2DMG|1ASPD|1CDMG	1aVULN|2RPLT|3CDMG|4RCR|56aTLV|7ASPD|8LWND|9aDMG|aBPWR
2	41626 12133	 * 	295.11	DCR|3VULN|2TLV|1DMG|1CDMG	1CDMG|289VULN|3DUST|4RAT|58LWND|6DMG|78TLV|8BPWR|aRCR
3	41334 42221	   	295.01	DCR|3VULN|2TLV|1AEFBLL|1CDMG	1CDMG|235VULN|4ZMB|6aTLV|7AEFBLL|8RCR|9RCVC
4	11412 26432	   	294.94	ACR|2TLV|2VULN|2DMG|2RAT	1FLTHEA|2aRAT|3RCR|45DMG|6ZMB|7aTLV|8FEWX|9aVULN|aBPWR
5	41334 42231	   	294.91	DCR|3VULN|2TLV|1AEFBLL|1CDMG	1CDMG|235VULN|4ZMB|6aTLV|7AEFBLL|8RCR|9AEWIND
6	11412 26632	   	294.84	ACR|2TLV|2VULN|2DMG|2RAT	1FLTHEA|2aRAT|3RCR|45DMG|6ZMB|7aTLV|8DUST|9aVULN|aBPWR
7	51261 22622	 * 	289.58	ACR|2TLV|2VULN|2ASPD|1AEFBLL|1CDMG	1aVULN|2RPLT|3CDMG|4RCR|5aTLV|6DUST|7AEFBLL|8AAC|9aASPD|aBPWR
8	11415 21361	 * 	289.09	ACR|DCR|1TLV|1VULN|1DMG	1FLTHEA|2RAT|39RCR|4DMG|5MLV|6VULN|7TSLFST|8DUR|aTLV
9	11462 32361	   	288.99	ACR|DCR|1TLV|1VULN|1DMG	1FLTHEA|2RAT|39RCR|4CGEN|5DMG|6SPLARM|7VULN|8DUR|aTLV
10	11432 32361	   	288.89	ACR|DCR|1TLV|1VULN|1DMG	1FLTHEA|2RAT|39RCR|4ERES|5DMG|6SPLARM|7VULN|8DUR|aTLV
11	51261 22222	 * 	288.17	ACR|3VULN|2TLV|1AEFBLL|1CDMG	19aVULN|2RPLT|3CDMG|4RCR|5aTLV|6DUST|7AEFBLL|8aLHND|aBPWR
12	41314 42221	   	288.07	DCR|3VULN|2TLV|1AEFBLL|1CDMG	1CDMG|235VULN|4AAC|6aTLV|7AEFBLL|8RCR|9RCVC
13	41314 42231	   	287.97	DCR|3VULN|2TLV|1AEFBLL|1CDMG	1CDMG|235VULN|4AAC|6aTLV|7AEFBLL|8RCR|9AEWIND
14	41162 25131	   	281.94	ACR|2VULN|1TLV|2DMG|2CDMG|1AART	19CDMG|29VULN|3DUR|46DMG|5RCR|79LWND|8AART|9BPWR|aTLV
15	11126 51162	 * 	281.52	DCR|2VULN|1TLV|2DMG|1AEFBLL|2FLTHEA|1SELL	17FLTHEA|2RAT|37DMG|4SELL|57VULN|6RCR|7BPWR|8CANSTR|9TLV|aAEFBLL
16	65313 53122	   	279.45	DCR|2TLV|2VULN|2AEFBLL|2CDMG	1RPLT|2aAEFBLL|36VULN|4aTLV|5LHND|7RCR|8DUR|9aCDMG|aBPWR
17	11415 11161	   	279.33	ACR|DCR|1TLV|1VULN|1DMG	1FLTHEA|2RAT|39RCR|4DMG|5MLV|6FEWX|7MULFIG|8VULN|aTLV
18	11462 11161	   	279.33	ACR|DCR|1TLV|1VULN|1DMG	1FLTHEA|2RAT|39RCR|4CGEN|5DMG|6FEWX|7MULFIG|8VULN|aTLV
19	11432 11161	   	279.23	ACR|DCR|1TLV|1VULN|1DMG	1FLTHEA|2RAT|39RCR|4ERES|5DMG|6FEWX|7MULFIG|8VULN|aTLV
20	11432 32661	   	279.23	ACR|DCR|1TLV|1VULN|1DMG	1FLTHEA|2RAT|39RCR|4ERES|5DMG|6SPLARM|7VULN|8FEWX|aTLV
21	11432 35161	   	279.23	ACR|DCR|1TLV|1VULN|1DMG	1FLTHEA|2RAT|39RCR|4ERES|5DMG|6SPLARM|7BEXP|8VULN|aTLV
22	41334 42223	   	278.46	DCR|3VULN|1TLV|1AEFBLL|1CDMG	1CDMG|235VULN|4ZMB|6TLV|7AEFBLL|8RCR|9RCVC|aDUR
