0	Index      	 *	Score 	Summary	Detail	
1	32313 24433	 * 	274.32	DCR|3VULN|2TLV|1AEFBLL	1BASFIG|26LHND|3AEFBLL|458VULN|7aTLV|9RCR
2	33333 16225	 * 	274.30	DCR|DCR|2TLV|2CDMG|2FLTHEA	17BASFIG|25CDMG|37FLTHEA|47TLV|6LEGI|7BPWR|8RAT|9aRCR
3	33162 35213	 * 	272.77	DCR|3VULN|1TLV|1DMG|1CDMG|1AART	1BASFIG|2CDMG|3DMG|4AART|5FEWX|6RCR|78aVULN|9TLV
4	41262 32153	 * 	269.69	DCR|2VULN|1TLV|2ASPD|1AEBURN|1DMG	1MLV|24ASPD|3DMG|56VULN|7AEBURN|8CGEN|9RCR|aTLV
5	51262 32153	   	269.69	DCR|2VULN|1TLV|2ASPD|1AEBURN|1DMG	1AME|24ASPD|3DMG|56VULN|7AEBURN|8CGEN|9RCR|aTLV
6	33162 35215	   	268.14	DCR|2VULN|1TLV|1AEBURN|1DMG|1CDMG|1AART	1BASFIG|2CDMG|3DMG|4AART|5FEWX|6RCR|78VULN|9TLV|aAEBURN
7	33334 16225	   	267.98	DCR|DCR|2TLV|2FLTHEA|1CDMG	17BASFIG|2CDMG|37FLTHEA|47TLV|5DMSP|6LEGI|7BPWR|8RAT|9aRCR
8	21523 24225	 * 	265.96	DCR|2VULN|1TLV|2DMG|1ASPD|1AART	17BEXP|27VULN|3AART|4LWND|5ASPD|67DMG|7BPWR|8MLV|9TLV|aRCR
9	21523 24125	   	265.86	DCR|2VULN|1TLV|2DMG|1ASPD|1AART	17BEXP|27VULN|3AART|4LWND|5ASPD|67DMG|7BPWR|8ERES|9TLV|aRCR
10	22266 26232	 * 	263.24	DCR|2TLV|1VULN|1DMG|1AEBURN|1ASPD|1DUR	12BEXP|3DMG|4ASPD|5VULN|67TLV|8RCR|9AEBURN|aDUR
11	33331 36225	 * 	261.94	DCR|DCR|1TLV|1AEBURN|2FLTHEA|1CDMG	17BASFIG|2CDMG|37FLTHEA|4TLV|5AEBURN|67BEXP|7BPWR|8RAT|9aRCR
12	33331 66225	   	261.94	DCR|DCR|1TLV|1AEBURN|2FLTHEA|1CDMG	17BASFIG|2CDMG|37FLTHEA|4TLV|5AEBURN|67LHND|7BPWR|8RAT|9aRCR
13	33331 16225	 * 	261.44	DCR|DCR|1TLV|2CDMG|2AEBURN	17BASFIG|27CDMG|3FLTHEA|4TLV|57AEBURN|6LEGI|7BPWR|8RAT|9aRCR
14	22125 33651	 * 	260.87	DCR|3TLV|1VULN|2DMG|1DUR	128BEXP|3AETHUN|48DMG|5DUR|6VULN|78aTLV|8BPWR|9RCR
15	23523 53162	 * 	260.63	ACR|2TLV|2VULN|1AEFBLL|1AART	1BEXP|2LHND|3AART|4RCR|5BLASTR|69VULN|7AEFBLL|8aTLV
16	23523 61362	 * 	260.63	ACR|2TLV|2VULN|1AEBURN|1AART	1BEXP|2LHND|3AART|4RCR|5BLASTR|6aTLV|7AEBURN|89VULN
17	33413 24513	 * 	260.42	DCR|1TLV|3DMG|1VULN|2CDMG|1ASPD	1BASFIG|26CDMG|3TLV|4ERES|568DMG|6BPWR|7ASPD|9RCR|aVULN
18	44321 63132	 * 	260.17	DCR|2VULN|1TLV|1DMG|2DUR|1AART	1MLV|2TLV|37DUR|4DMG|5FLTARM|68VULN|9RCR|aAART
