0	Index      	 *	Score 	Summary	Detail	
1	57342 21152	 * 	298.79	DCR|DCR|3TLV|1VULN|1CDMG	1MBVNT|267TLV|3VULN|4AME|5CDMG|8aRCR|9MULHEA
2	63484 13216	 * 	294.07	DCR|2TLV|2VULN|3DMG|1AART	1AART|2MBVNT|35aDMG|4aVULN|6RPLT|7aTLV|8RMIN|9RCR|aBPWR
3	57334 32542	 * 	291.60	ACR|DCR|2VULN|1TLV|1SELL	1MBVNT|2TLV|37VULN|4aRCR|5RMIN|6DUR|8SELL|9FRZARM
4	54326 14126	 * 	288.77	DCR|3VULN|1TLV|1DMG|1AEPOI|1ASPD	1MBVNT|2ASPD|349VULN|5DMG|6ZMB|7RCR|8TLV|aAEPOI
5	58352 13432	 * 	288.67	ACR|DCR|1TLV|1VULN|1AEFBLL|1CDMG	1MBVNT|2DUR|3AEFBLL|4AIRHEL|5aRCR|6VULN|7CDMG|8AME|9TLV
6	58362 13432	   	288.67	ACR|DCR|1TLV|1VULN|1AEFBLL|1CDMG	1MBVNT|2DUR|3AEFBLL|4BASICY|5aRCR|6VULN|7CDMG|8AME|9TLV
7	57325 31412	 * 	286.42	ACR|3VULN|1TLV|1DMG|1ASPD|1CDMG|1AART	1MBVNT|2TLV|349VULN|5RCR|6DMG|7AART|8CDMG|aASPD
8	31411 41161	 * 	285.50	ACR|DCR|2TLV|1DMG|1CDMG|1AART	1ERES|2DMG|3AART|4CDMG|59RCR|6RMIN|7aTLV|8RAT
9	57332 12412	 * 	285.16	ACR|4VULN|2TLV	1MBVNT|29TLV|379aVULN|4RCR|5DUR|6CGEN|89MLV|9BPWR
10	57332 22412	   	285.16	ACR|4VULN|2TLV	1MBVNT|29TLV|379aVULN|4RCR|5DUR|6AME|89MLV|9BPWR
11	57223 44532	 * 	284.96	DCR|4VULN|2TLV	1MBVNT|28TLV|3DUR|459aVULN|6RCR|7LHND
12	57321 44532	   	284.96	DCR|4VULN|2TLV	1MBVNT|28TLV|349aVULN|5DUR|6RCR|7LHND
13	51634 24152	   	284.94	DCR|DCR|2TLV|1VULN|1CDMG	1MBVNT|2MDPS|3CDMG|46TLV|5VULN|7ERES|8aRCR|9CANARM
14	57261 43444	 * 	284.26	DCR|3TLV|2VULN|3DUR|1ASPD	1MBVNT|249TLV|345DUR|49BPWR|6RCR|79VULN|8BELT|aASPD
15	57225 42332	   	284.26	DCR|3VULN|2TLV|2DUR|1AART	1MBVNT|29TLV|35DUR|459VULN|59BPWR|6RCR|7BELT|89CGEN|aAART
16	57332 22411	 * 	284.18	ACR|3VULN|2TLV|1AEFBLL	1MBVNT|29TLV|379VULN|4RCR|5DUR|6AME|89MLV|9BPWR|aAEFBLL
17	57223 44531	 * 	283.98	DCR|3VULN|2TLV|1AEFBLL	1MBVNT|28TLV|3DUR|459VULN|6RCR|7LHND|aAEFBLL
18	57321 44531	   	283.98	DCR|3VULN|2TLV|1AEFBLL	1MBVNT|28TLV|349VULN|5DUR|6RCR|7LHND|aAEFBLL
19	53683 13432	 * 	282.60	ACR|DCR|2TLV|1VULN|1AART	1MBVNT|2LIT|3AART|48RCR|5LHND|6BEXP|79TLV|aVULN
20	57225 42334	 * 	281.75	DCR|3VULN|2TLV|3DUR	1MBVNT|29TLV|35aDUR|459VULN|59BPWR|6RCR|7BELT|89CGEN
21	58113 12437	   	281.75	DCR|3VULN|2TLV|3DUR	1MBVNT|238DUR|4LEGI|5aTLV|68aVULN|78aCGEN|8aBPWR|9RCR
22	57342 71144	 * 	281.75	DCR|3TLV|3VULN|1CDMG	1MBVNT|29aTLV|38aVULN|4AME|5CDMG|6aFEWX|7RCR|aBPWR
23	65221 33631	 * 	281.74	ACR|2VULN|1TLV|2DMG|1AEFBLL|1AART	1AART|2RCR|349ERES|59DMG|6DUR|7TLV|89VULN|9BPWR|aAEFBLL
24	54362 14126	 * 	281.26	DCR|3VULN|1TLV|2ASPD|1AEPOI	1MBVNT|24ASPD|349VULN|4BPWR|5AAC|6ZMB|7RCR|8TLV|aAEPOI
25	54366 14122	 * 	281.26	DCR|3VULN|1TLV|2ASPD|1DMG	1MBVNT|24ASPD|349VULN|4BPWR|5DMG|6ZMB|7RCR|8TLV|aMLV
26	54366 14123	   	281.26	DCR|3VULN|1TLV|2ASPD|1DMG	1MBVNT|24ASPD|349VULN|4BPWR|5DMG|6ZMB|7RCR|8TLV|aFEWX
27	54366 14121	   	281.16	DCR|3VULN|1TLV|2ASPD|1DMG	1MBVNT|24ASPD|349VULN|4BPWR|5DMG|6ZMB|7RCR|8TLV|aAEFRZ
28	54366 14124	   	281.16	DCR|3VULN|1TLV|2ASPD|1DMG	1MBVNT|24ASPD|349VULN|4BPWR|5DMG|6ZMB|7RCR|8TLV|aCANSTR
29	57332 44184	   	281.15	ACR|DCR|2TLV|1VULN	1MBVNT|28TLV|3VULN|4aRCR|5DUR|6RPLT|7AME|9MDPS
30	57333 34338	 * 	280.96	ACR|2TLV|2VULN|2DMG|2RAT	1MBVNT|2aTLV|3aVULN|4RCR|5DMSP|69DMG|7LWND|8aRAT|aBPWR
31	54325 41824	 * 	280.56	ACR|3VULN|2TLV|2ASPD	1MBVNT|2aASPD|34aVULN|5RCR|6VENTOX|7LIT|8RMIN|9aTLV|aBPWR
32	57325 21332	   	280.46	ACR|3VULN|2TLV|2ASPD	1MBVNT|2aTLV|34aVULN|5RCR|6BEXP|7AETHUN|8FEWX|9aASPD|aBPWR
33	57327 41332	 * 	280.46	DCR|3VULN|2TLV|2ASPD	1MBVNT|2aTLV|34aVULN|5BEXP|6RCR|7AETHUN|8FEWX|9aASPD|aBPWR
34	54331 43882	   	280.36	DCR|3VULN|2TLV|2ASPD	1MBVNT|2aASPD|37aVULN|4MDPS|5ERES|6CGEN|8aTLV|9RCR|aBPWR
35	57332 32522	   	279.87	ACR|2TLV|2VULN|1DMG|1CDMG	1MBVNT|29TLV|37VULN|4RCR|5DUR|6DMG|8CDMG|aZMB
36	57223 47432	 * 	278.82	DCR|4VULN|1TLV|1DMG	1MBVNT|2TLV|3DUR|459aVULN|6RCR|7DMG|8MLV
37	57321 47432	   	278.82	DCR|4VULN|1TLV|1DMG	1MBVNT|2TLV|349aVULN|5DUR|6RCR|7DMG|8MLV
38	57332 32432	 * 	278.82	ACR|4VULN|1TLV|1DMG	1MBVNT|2TLV|379aVULN|4RCR|5DUR|6DMG|8MLV
39	57223 47431	 * 	277.84	DCR|3VULN|1TLV|1AEFBLL|1DMG	1MBVNT|2TLV|3DUR|459VULN|6RCR|7DMG|8MLV|aAEFBLL
40	57321 47431	   	277.84	DCR|3VULN|1TLV|1AEFBLL|1DMG	1MBVNT|2TLV|349VULN|5DUR|6RCR|7DMG|8MLV|aAEFBLL
41	57332 32431	 * 	277.84	ACR|3VULN|1TLV|1AEFBLL|1DMG	1MBVNT|2TLV|379VULN|4RCR|5DUR|6DMG|8MLV|aAEFBLL
42	58152 13432	   	277.64	ACR|DCR|1TLV|1VULN|2DUR|1CDMG	1MBVNT|23DUR|4AIRHEL|5aRCR|6VULN|7CDMG|8AME|9TLV
43	58162 13432	   	277.64	ACR|DCR|1TLV|1VULN|2DUR|1CDMG	1MBVNT|23DUR|4BASICY|5aRCR|6VULN|7CDMG|8AME|9TLV
44	54233 11532	   	277.56	DCR|3VULN|2TLV|1ASPD	1MBVNT|2ASPD|3DUR|4AAC|58TLV|69aVULN|7RCR
45	54234 81532	   	277.56	DCR|3VULN|2TLV|1ASPD	1MBVNT|2ASPD|3DUR|4AAC|59aVULN|68TLV|7RCR
46	57317 14332	   	276.87	DCR|2TLV|2VULN|2DMG	1MBVNT|26TLV|3aVULN|4LIT|56DMG|6BPWR|7AEFRZ|8RCR|9DUR
47	57123 47432	   	276.10	DCR|4VULN|1TLV|1DMG	1MBVNT|2TLV|3BEXP|459aVULN|6RCR|7DMG|8ZMB
48	57323 47432	   	276.10	DCR|4VULN|1TLV|1DMG	1MBVNT|2TLV|349aVULN|5LWND|6RCR|7DMG|8ZMB
49	57325 34432	   	276.10	ACR|4VULN|1TLV|1DMG	1MBVNT|2TLV|349aVULN|5RCR|6DMG|7LWND|8ZMB
50	57333 33247	 * 	275.83	ACR|2TLV|2VULN|2ASPD|1DMG	1MBVNT|2aTLV|3aVULN|4RCR|5DMSP|6DMG|7RPLT|8BASARM|9aASPD|aBPWR
51	57331 12412	   	275.50	ACR|4VULN|2TLV	1MBVNT|29TLV|379aVULN|4RCR|5FEWX|6CGEN|89MLV|9BPWR
52	57331 22412	   	275.50	ACR|4VULN|2TLV	1MBVNT|29TLV|379aVULN|4RCR|5FEWX|6AME|89MLV|9BPWR
53	57123 41812	   	275.40	DCR|4VULN|2TLV	1MBVNT|29TLV|39BEXP|459aVULN|6RCR|7AETHUN|8RCVC|9BPWR
54	57336 12412	   	275.40	ACR|4VULN|2TLV	1MBVNT|29TLV|379aVULN|4RCR|5DUST|6CGEN|89MLV|9BPWR
55	57336 22412	   	275.40	ACR|4VULN|2TLV	1MBVNT|29TLV|379aVULN|4RCR|5DUST|6AME|89MLV|9BPWR
56	54363 21418	 * 	275.36	DCR|3VULN|1TLV|3ASPD	1MBVNT|248ASPD|34aVULN|4BPWR|5LWND|6DUR|7RCR|9TLV
57	36333 13422	   	275.30	DCR|4VULN|2TLV	19ERES|2MDPS|34LHND|579aVULN|6RCR|89TLV|9BPWR
58	57123 44532	   	275.30	DCR|4VULN|2TLV	1MBVNT|28TLV|3BEXP|459aVULN|6RCR|7LHND
59	57323 44532	   	275.20	DCR|4VULN|2TLV	1MBVNT|28TLV|349aVULN|5LWND|6RCR|7LEGI
60	57423 44532	   	275.20	DCR|4VULN|2TLV	1MBVNT|28TLV|3DUST|459aVULN|6RCR|7LHND
61	57223 42332	   	275.12	DCR|3VULN|2TLV|1AART	1MBVNT|29TLV|3DUR|459VULN|6RCR|7BELT|89CGEN|9BPWR|aAART
62	63382 23743	   	275.12	DCR|3VULN|2TLV|1AART	1AART|2MBVNT|39LHND|4DUR|59TLV|69aVULN|7RCR|8DMSP|9BPWR
63	57123 47431	   	275.12	DCR|3VULN|1TLV|1AEFBLL|1DMG	1MBVNT|2TLV|3BEXP|459VULN|6RCR|7DMG|8ZMB|aAEFBLL
64	57323 47431	   	275.12	DCR|3VULN|1TLV|1AEFBLL|1DMG	1MBVNT|2TLV|349VULN|5LWND|6RCR|7DMG|8ZMB|aAEFBLL
65	57325 34431	   	275.12	ACR|3VULN|1TLV|1AEFBLL|1DMG	1MBVNT|2TLV|349VULN|5RCR|6DMG|7LWND|8ZMB|aAEFBLL
66	36253 13422	   	275.10	DCR|4VULN|2TLV	19ERES|2MDPS|34DUST|579aVULN|6RCR|89TLV|9BPWR
67	63443 84363	   	275.08	DCR|2VULN|1TLV|1AEFBLL|1DMG|1CDMG|1AART	1AART|2MBVNT|3DMG|4AEFBLL|5TLV|6RAT|79VULN|8RCR|aCDMG
68	57342 22315	   	274.84	DCR|3VULN|2TLV|1CDMG	1MBVNT|26TLV|39aVULN|4AME|5CDMG|7ZMB|8RCR
69	57314 31245	 * 	274.82	DCR|2VULN|1TLV|2DMG|1AEBURN|2RAT	1MBVNT|2TLV|3aVULN|4LIT|5AEBURN|6aRAT|7RCR|8LWND|9aDMG|aBPWR
70	57314 31445	   	274.82	DCR|2VULN|1TLV|2DMG|1AEBURN|2RAT	1MBVNT|2TLV|3aVULN|4LIT|5AEBURN|6aRAT|7RCR|8BEXP|9aDMG|aBPWR
71	57125 42444	 * 	274.52	DCR|3VULN|2TLV|1AEBURN	1MBVNT|29TLV|358BEXP|459VULN|59BPWR|6RCR|7BELT|aAEBURN
72	57331 22411	   	274.52	ACR|3VULN|2TLV|1AEFBLL	1MBVNT|29TLV|379VULN|4RCR|5FEWX|6AME|89MLV|9BPWR|aAEFBLL
