0	Index      	 *	Score 	Summary	Detail	
1	22222 35264	 * 	308.49	DCR|DCR|2TLV|2VULN	1aTLV|2AAC|34VULN|5ZMB|6TSLFST|79RCR|8CGEN
2	23261 16143	 * 	305.23	DCR|4VULN|2TLV|2AEPOI	19TLV|2DUR|39AEPOI|4FEWX|5LWND|679aVULN|8RCR|9BPWR
3	22223 35561	   	298.66	DCR|DCR|2VULN|1TLV|1ASPD	1TLV|2AAC|34VULN|5ASPD|6TSLFST|79RCR|8CGEN|aDUR
4	22222 35265	   	295.94	DCR|DCR|2VULN|1TLV|1CDMG	1TLV|2AAC|34VULN|5ZMB|6TSLFST|79RCR|8CGEN|aCDMG
5	11631 36474	   	295.31	DCR|DCR|2VULN|1TLV|1AEBURN	1AEBURN|2RCVC|3MBVNT|4aVULN|5TLV|6TSLFST|79RCR|8CGEN
6	11631 46474	   	295.21	DCR|DCR|2VULN|1TLV|1AEBURN	1AEBURN|2RCVC|3MBVNT|4aVULN|5TLV|6MSLTOX|79RCR|8CGEN
7	22312 35561	   	295.01	DCR|DCR|2TLV|1VULN|1ASPD	15TLV|2AAC|3ASPD|4VULN|6TSLFST|79RCR|8CGEN|aDUR
8	22231 13143	   	294.21	DCR|4VULN|2TLV|2DUR	19TLV|2AAC|369aVULN|4BEXP|5ERES|79DUR|8RCR|9BPWR
9	22244 13143	   	294.21	DCR|4VULN|2TLV|2DUR	19TLV|2AAC|369aVULN|4ERES|5FEWX|79DUR|8RCR|9BPWR
10	23261 16141	   	293.84	DCR|3VULN|2TLV|2AEPOI	19TLV|2DUR|39AEPOI|4FEWX|5LWND|679VULN|8RCR|9BPWR|aNUKE
11	22231 13142	   	293.22	DCR|3VULN|2TLV|1AEFBLL|2DUR	19TLV|2AAC|369VULN|4BEXP|5ERES|79DUR|8RCR|9BPWR|aAEFBLL
12	22244 13142	   	293.22	DCR|3VULN|2TLV|1AEFBLL|2DUR	19TLV|2AAC|369VULN|4ERES|5FEWX|79DUR|8RCR|9BPWR|aAEFBLL
13	23241 16143	   	293.12	DCR|3VULN|2TLV|2AEPOI|2DUR	19TLV|27DUR|39AEPOI|4DUST|5LWND|69aVULN|8RCR|9BPWR
14	22222 35261	   	291.95	DCR|DCR|2VULN|1TLV	1TLV|2AAC|34VULN|5ZMB|6TSLFST|79RCR|8CGEN|aDUR
