0	Index      	Bounty	 *	Score 	Summary	Detail	
1	33454 13212	5	 * 	302.96	橙4易伤3伤害1等级2暴击	1279易伤37a伤害4攻速5等级67暴击7序列升级8核
2	31412 21453	9	 * 	299.24	橙5易伤2等级2时间	1679a易伤2敌人爆炸39时间4全技能59等级8核9序列升级
3	32412 21453	9	   	299.14	橙5易伤2等级2时间	1679a易伤2挖尘39时间4全技能59等级8核9序列升级
4	33232 36162	9	 * 	298.65	橙5易伤3时间1等级2雷电	12689易伤359时间49雷电7核9序列升级a等级
5	33433 41243	3	 * 	294.30	橙4易伤2等级2伤害1时间	124a易伤3a伤害5矿等6时间7核8随机矿9a等级a序列升级
6	36226 63223	3	 * 	292.87	橙4易伤3等级3时间	179a易伤27a等级3随机矿4攻速5金币生成67a时间7a序列升级8核
7	33232 36164	9	   	292.51	橙5易伤3时间1伤害2雷电	12689易伤359时间49雷电7核9序列升级a伤害
8	33431 44222	3	   	291.60	橙4易伤2等级2伤害1暴击	1247易伤37伤害5额外掉落67等级7序列升级8挖尘9核a暴击
9	33211 54223	4	 * 	289.87	橙4易伤2伤害2时间1等级	129a易伤3a时间4金币生成5等级6a伤害7随机矿8核a序列升级
10	33211 55433	4	   	289.87	橙4易伤2伤害2时间1等级	127a易伤3a时间4金币生成5等级6a伤害8核9随机矿a序列升级
11	33216 54223	5	   	289.87	橙4易伤2伤害2时间1等级	129a易伤3a时间4金币生成5等级6a伤害7随机矿8核a序列升级
12	33413 41243	3	 * 	288.91	橙3易伤3伤害2等级1时间	12a易伤34a伤害5矿等6时间7核8随机矿9a等级a序列升级
13	33454 13211	5	   	287.31	橙4易伤2伤害1等级2暴击	1279易伤37伤害4攻速5等级67暴击7序列升级8核a最后敌人
14	33454 13213	5	   	287.31	橙4易伤2伤害1等级2暴击	1279易伤37伤害4攻速5等级67暴击7序列升级8核a金币生成
15	33233 36166	10	   	287.21	橙5易伤3时间3雷电	12689易伤359时间459雷电59序列升级7核a全技能
16	33431 44331	3	   	286.26	橙4易伤2等级2伤害	1247易伤37伤害5额外掉落67等级7序列升级8攻速9赏金邻近a核
17	33232 36163	10	   	286.10	橙5易伤3时间2雷电1暴击	12689易伤359时间49雷电7核9序列升级a暴击
18	36122 13212	3	   	285.27	橙3易伤2等级2伤害2暴击	179易伤27等级3攻速4a伤害5双倍矿67暴击7序列升级8核
19	33211 54233	4	 * 	284.48	橙3易伤3伤害2时间1等级	12a易伤3a时间4金币生成5等级69a伤害7随机矿8核a序列升级
20	33216 54233	5	   	284.48	橙3易伤3伤害2时间1等级	12a易伤3a时间4金币生成5等级69a伤害7随机矿8核a序列升级
21	33224 62124	9	   	284.46	橙4易伤2等级3时间	127a易伤347时间57等级6双倍矿7序列升级8立即金币9核
22	33454 13232	5	   	281.91	橙3易伤3伤害1等级2暴击	127易伤37a伤害4攻速5等级67暴击7序列升级8核9金币生成
23	36631 21116	10	   	281.91	橙5易伤2等级2雷电	15789易伤27等级3最后敌人4攻速67雷电7序列升级a核
24	31412 21451	9	   	280.90	橙4易伤2等级2时间	1679易伤2敌人爆炸39时间4全技能59等级8核9序列升级a策反
25	31412 21451	10	   	280.90	橙4易伤2等级2时间	1679易伤2敌人爆炸39时间4全技能59等级8核9序列升级a基地爆炸
26	31412 21453	10	   	280.90	橙4易伤2等级2时间	1679易伤2敌人爆炸39时间4全技能59等级8核9序列升级a金币生成
27	31412 21452	9	   	280.80	橙4易伤2等级2时间	1679易伤2敌人爆炸39时间4全技能59等级8核9序列升级a挖青
28	32412 21451	10	   	280.80	橙4易伤2等级2时间	1679易伤2挖尘39时间4全技能59等级8核9序列升级a基地爆炸
29	32412 21451	9	   	280.80	橙4易伤2等级2时间	1679易伤2挖尘39时间4全技能59等级8核9序列升级a策反
30	32412 21453	10	   	280.80	橙4易伤2等级2时间	1679易伤2挖尘39时间4全技能59等级8核9序列升级a金币生成
31	32412 21452	9	   	280.70	橙4易伤2等级2时间	1679易伤2挖尘39时间4全技能59等级8核9序列升级a挖青
32	31412 21452	10	   	280.65	橙4易伤2等级2时间1卖塔	1679易伤2敌人爆炸39时间4全技能59等级8核9序列升级a卖塔
33	33233 36651	7	   	280.63	橙4易伤2时间1等级2雷电1暴击	1269易伤35时间45雷电5序列升级7核8暴击a等级
34	32412 21452	10	   	280.55	橙4易伤2等级2时间1卖塔	1679易伤2挖尘39时间4全技能59等级8核9序列升级a卖塔
35	36631 21133	8	   	279.82	橙4易伤2等级1时间2雷电	1578易伤27等级3最后敌人4攻速67雷电7序列升级9时间a核
36	36631 21143	9	   	279.82	橙4易伤2等级1时间2雷电	1578易伤27等级3最后敌人4攻速67雷电7序列升级9时间a核
37	33235 41262	9	 * 	279.81	橙3易伤3伤害3时间	12a易伤38a时间4雷电5基地爆炸69a伤害7核a序列升级
38	33235 41263	10	   	279.81	橙3易伤3伤害3时间	12a易伤38a时间4雷电5基地爆炸69a伤害7核a序列升级
39	33453 15211	5	 * 	279.45	橙5易伤2伤害2暴击	1279a易伤3a伤害4攻速5策反6a暴击8核a序列升级
40	31452 12333	6	   	279.44	橙4易伤2等级2时间	1789易伤2敌人爆炸37时间4攻速5掉矿67等级7序列升级a核
41	33225 31624	9	   	279.16	橙3易伤3时间2伤害1暴击	12a易伤34a时间5全技能6矿等7核8暴击9a伤害a序列升级
42	33433 21243	3	   	278.05	橙4易伤2等级2伤害	124a易伤3a伤害5矿等6敌人爆炸7核8随机矿9a等级a序列升级
43	33433 31243	3	   	278.05	橙4易伤2等级2伤害	124a易伤3a伤害5矿等6最后敌人7核8随机矿9a等级a序列升级
44	36533 33253	9	   	278.05	橙4易伤2等级2伤害	148a易伤2a等级3金币生成5平台6核7最后敌人9a伤害a序列升级
45	33431 44233	3	   	277.95	橙4易伤2等级2伤害	1247易伤37伤害5额外掉落67等级7序列升级8挖尘9低血量敌人a核
46	33431 44223	3	   	277.95	橙4易伤2等级2伤害	1247易伤37伤害5额外掉落67等级7序列升级8挖尘9核a随机矿
47	33431 44221	3	   	277.85	橙4易伤2等级2伤害	1247易伤37伤害5额外掉落67等级7序列升级8挖尘9核a掉矿
48	33233 36161	9	   	277.55	橙5易伤3时间3雷电	12689易伤359时间459雷电59序列升级7核a敌人爆炸
49	33233 36161	10	   	277.55	橙5易伤3时间3雷电	12689易伤359时间459雷电59序列升级7核a敌人爆炸
