0	Index      	 *	Score 	Summary	Detail	
1	42121 24622	 * 	304.98	DCR|DCR|2LIT|1TLV|1DMG|2AART	16LIT|29AART|3DUR|4TLV|5RMIN|78RCR|aDMG
2	42122 53134	 * 	304.12	DCR|DCR|1TLV|1LIT|1VULN|1MLV	1LIT|2AART|3DUR|4TLV|5TSLHEL|6CGEN|7VULN|89RCR|aMLV
3	42124 34111	 * 	297.58	DCR|2VULN|2TLV|1LIT|1MLV|1ASPD	1LIT|2AART|3DUR|45TLV|6ASPD|7RCR|89VULN|aMLV
4	42121 24611	 * 	294.85	DCR|DCR|3LIT|1TLV	16aLIT|2AART|3DUR|4TLV|5RMIN|78RCR|9LWND
5	12166 33134	   	294.46	DCR|DCR|1TLV|1LIT|1VULN|1MLV	1FEWX|2SPLREG|3LIT|4AART|5CGEN|6TLV|7VULN|89RCR|aMLV
6	42122 53136	   	294.31	DCR|DCR|1TLV|1LIT|1VULN	1LIT|2AART|3DUR|4TLV|5TSLHEL|6CGEN|7VULN|89RCR|aTBNT
7	42122 53131	   	288.75	DCR|DCR|1TLV|1LIT|1VULN	1LIT|2AART|3DUR|4TLV|5TSLHEL|6CGEN|7VULN|89RCR|aLWND
8	42122 53135	   	288.75	DCR|DCR|1TLV|1LIT|1VULN	1LIT|2AART|3DUR|4TLV|5TSLHEL|6CGEN|7VULN|89RCR|aRMIN
9	42122 53132	   	288.65	DCR|DCR|1TLV|1VULN|1LIT	1LIT|2AART|3DUR|4TLV|5TSLHEL|6CGEN|7VULN|89RCR|aERES
10	42122 53133	   	288.65	DCR|DCR|1TLV|1LIT|1VULN	1LIT|2AART|3DUR|4TLV|5TSLHEL|6CGEN|7VULN|89RCR|aDUST
11	52431 23143	 * 	288.52	DCR|2VULN|2TLV|2MLV|1RPLT|1CDMG	1RPLT|27MLV|3CDMG|47VULN|5BBNT|67TLV|7BPWR|8GSSFST|9MDPS|aRCR
12	22231 35536	   	287.62	DCR|DCR|1TLV|1VULN|1DMG|1ASPD	1ASPD|2AIRHEA|3VULN|4DUR|5TBNT|6aRCR|7TLV|8DMG|9ZMB
13	41321 61242	   	285.93	DCR|2VULN|2TLV|1LIT|1MLV|1DMG	1LIT|2ZMB|3MLV|4aTLV|5TSLHEL|67VULN|8DMG|9RCR
14	42121 24623	   	284.92	DCR|DCR|2LIT|1TLV|2AART	16LIT|29AART|3DUR|4TLV|5RMIN|78RCR|aLHND
15	42121 24612	   	284.84	DCR|DCR|2LIT|1TLV|2DUR	16LIT|2AART|3aDUR|4TLV|5RMIN|78RCR|9LWND
16	12166 33136	   	284.65	DCR|DCR|1TLV|1LIT|1VULN	1FEWX|2SPLREG|3LIT|4AART|5CGEN|6TLV|7VULN|89RCR|aTBNT
17	41661 12223	 * 	282.72	DCR|2TLV|2MLV|1LIT|1VULN|1DMG	1LIT|29ZMB|3BBNT|4VULN|5DMG|69TLV|7LHND|89MLV|9BPWR|aRCR
18	12166 33131	   	279.09	DCR|DCR|1TLV|1LIT|1VULN	1FEWX|2SPLREG|3LIT|4AART|5CGEN|6TLV|7VULN|89RCR|aLWND
19	12166 33135	   	279.09	DCR|DCR|1TLV|1LIT|1VULN	1FEWX|2SPLREG|3LIT|4AART|5CGEN|6TLV|7VULN|89RCR|aRMIN
20	42622 53131	   	279.09	DCR|DCR|1TLV|1LIT|1VULN	1LIT|2AART|3FEWX|4TLV|5TSLHEL|6CGEN|7VULN|89RCR|aLWND
21	12166 33132	   	278.99	DCR|DCR|1TLV|1VULN|1LIT	1FEWX|2SPLREG|3LIT|4AART|5CGEN|6TLV|7VULN|89RCR|aERES
22	12166 33133	   	278.99	DCR|DCR|1TLV|1LIT|1VULN	1FEWX|2SPLREG|3LIT|4AART|5CGEN|6TLV|7VULN|89RCR|aDUST
23	42622 53132	   	278.99	DCR|DCR|1TLV|1VULN|1LIT	1LIT|2AART|3FEWX|4TLV|5TSLHEL|6CGEN|7VULN|89RCR|aERES
