0	Index      	 *	Score 	Summary	Detail	
1	21225 41511	 * 	302.25	DCR|DCR|3VULN|1TLV	1CGEN|2BBNT|3TLV|457VULN|6TBNT|8aRCR|9MBVNT
2	21224 41511	 * 	300.66	DCR|DCR|2VULN|2TLV	1CGEN|2BBNT|35TLV|47VULN|6TBNT|8aRCR|9MBVNT
3	54114 32222	 * 	292.09	DCR|DCR|1TLV|1VULN|1MLV|1DMG	1FEWX|2TLV|3DUR|4AART|5DMG|68RCR|7AME|9MLV|aVULN
4	41124 23112	 * 	288.51	DCR|2VULN|2TLV|2MLV|1LIT|1SELL	1SELL|24MLV|34VULN|4BPWR|5DUR|68TLV|7CGEN|9LIT|aRCR
5	41125 42312	 * 	284.55	DCR|DCR|2VULN|2MLV|1LIT|1SELL	1SELL|24MLV|34VULN|4BPWR|5LIT|6TBNT|79RCR|8MDPS|aRPLT
6	21222 31511	   	284.12	DCR|DCR|2VULN|1TLV	1CGEN|2BBNT|3TLV|47VULN|5MDPS|6DUR|8aRCR|9MBVNT
7	21224 36234	 * 	283.93	DCR|2VULN|2TLV|1LIT|1MLV	1CGEN|2BBNT|35TLV|46VULN|7LIT|8RCR|9RPLT|aMLV
8	21221 41511	   	280.11	DCR|DCR|2VULN|1TLV	1CGEN|2BBNT|3TLV|47VULN|5RCVC|6TBNT|8aRCR|9MBVNT
9	13331 32312	 * 	279.97	DCR|DCR|1TLV|1LIT|1CDMG	1BBNT|2DUR|3LIT|4RCVC|5TLV|6CDMG|79RCR|8MDPS|aRPLT
10	11512 62312	   	279.87	DCR|DCR|1TLV|1LIT|1CDMG	1BBNT|2AEFBLL|3CDMG|4DUR|5TLV|6LIT|79RCR|8MDPS|aRPLT
11	11523 62312	   	279.87	DCR|DCR|1TLV|1LIT|1CDMG	1BBNT|2AEFBLL|3CDMG|4TLV|5DUR|6LIT|79RCR|8MDPS|aRPLT
12	13311 32312	   	279.87	DCR|DCR|1TLV|1LIT|1CDMG	1BBNT|2DUR|3LIT|4AEFBLL|5TLV|6CDMG|79RCR|8MDPS|aRPLT
13	13221 35631	   	279.43	DCR|DCR|1TLV|1VULN|2DUR|1ASPD	1BBNT|27DUR|3DLOT|4ASPD|5LWND|6aRCR|8VULN|9TLV
14	41122 23112	 * 	278.85	DCR|2VULN|2TLV|2MLV|1LIT|1SELL	1SELL|24MLV|34VULN|4BPWR|5FEWX|68TLV|7CGEN|9LIT|aRCR
15	41123 23112	 * 	278.75	DCR|2VULN|2TLV|2MLV|1LIT|1SELL	1SELL|24MLV|34VULN|4BPWR|5LEGI|68TLV|7CGEN|9LIT|aRCR
16	13331 32315	   	277.98	DCR|DCR|1TLV|1LIT|2CDMG	1BBNT|2DUR|3LIT|4RCVC|5TLV|6aCDMG|79RCR|8MDPS
17	11512 62315	   	277.88	DCR|DCR|1TLV|1LIT|2CDMG	1BBNT|2AEFBLL|3aCDMG|4DUR|5TLV|6LIT|79RCR|8MDPS
18	11523 62315	   	277.88	DCR|DCR|1TLV|1LIT|2CDMG	1BBNT|2AEFBLL|3aCDMG|4TLV|5DUR|6LIT|79RCR|8MDPS
19	13311 32315	   	277.88	DCR|DCR|1TLV|1LIT|2CDMG	1BBNT|2DUR|3LIT|4AEFBLL|5TLV|6aCDMG|79RCR|8MDPS
20	41113 61622	   	277.55	DCR|2TLV|1LIT|1VULN|1MLV|1DMG|1SELL	1SELL|2MLV|3VULN|45TLV|6LIT|7DMG|8DUR|9AART|aRCR
21	41125 42313	 * 	276.24	DCR|DCR|2VULN|2MLV|1LIT|1SELL	1SELL|24MLV|34VULN|4BPWR|5LIT|6TBNT|79RCR|8MDPS|aAAC
22	41125 42311	 * 	276.14	DCR|DCR|2VULN|2MLV|1LIT|1SELL	1SELL|24MLV|34VULN|4BPWR|5LIT|6TBNT|79RCR|8MDPS|aDUST
23	21224 36243	   	275.63	DCR|2VULN|2TLV|1LIT|1MLV	1CGEN|2BBNT|35TLV|46VULN|7LIT|8RCR|9ZMB|aMLV
24	16252 15122	   	275.04	DCR|2TLV|1LIT|1VULN|1MLV|1DMG	1BBNT|2TBNT|3LIT|4MLV|5AAC|6RCR|7DMG|89TLV|aVULN
25	21242 11511	   	274.46	DCR|DCR|2VULN|1TLV	1CGEN|2BBNT|3TLV|4LWND|5MDPS|67VULN|8aRCR|9MBVNT
26	21252 11511	   	274.46	DCR|DCR|2VULN|1TLV	1CGEN|2BBNT|3TLV|4LHND|5MDPS|67VULN|8aRCR|9MBVNT
27	41116 12335	   	274.03	DCR|2VULN|2TLV|1LIT|1MLV|1SELL	1SELL|2MLV|36VULN|4aTLV|5RPLT|7BELT|8LIT|9RCR
28	41124 23312	 * 	273.29	DCR|3VULN|2MLV|1TLV|1LIT|1SELL	1SELL|24MLV|348VULN|4BPWR|5DUR|6TLV|7CGEN|9LIT|aRCR
