0	Index      	 *	Score 	Summary	Detail	
1	34822 43416	 * 	289.81	橙橙2易伤1暴击1全技能1平台	1平台2加一3暴击4全技能5时间69易伤7a核8雷电
2	52171 14483	 * 	276.23	紫橙3易伤2矿等	1加一29挖尘3额外掉落49矿等56核789易伤9序列升级a随机矿
3	52171 14481	   	276.13	紫橙3易伤2矿等1策反	1加一29挖尘3额外掉落49矿等56核789易伤9序列升级a策反
4	52171 14482	   	276.13	紫橙3易伤2矿等	1加一29挖尘3额外掉落49矿等56核789易伤9序列升级a多重对甲
5	52171 14484	   	276.13	紫橙3易伤2矿等	1加一29挖尘3额外掉落49矿等56核789易伤9序列升级a掉矿
6	24333 21137	 * 	274.43	橙橙2易伤3暴击	1a易伤245暴击3加农对壮6基地爆炸7加一89核
7	52171 14181	 * 	266.83	紫橙2易伤3矿等	1加一29挖尘3额外掉落489矿等56核79易伤9序列升级a立即金币
8	52171 14182	   	266.83	紫橙2易伤3矿等	1加一29挖尘3额外掉落489矿等56核79易伤9序列升级a基地爆炸
9	52171 14183	   	266.83	紫橙2易伤3矿等	1加一29挖尘3额外掉落489矿等56核79易伤9序列升级a随机矿
10	52171 14184	   	266.83	紫橙2易伤3矿等	1加一29挖尘3额外掉落489矿等56核79易伤9序列升级a敌人爆炸
11	53311 12418	 * 	266.21	橙橙2伤害1易伤	1加一2雷电36伤害4时间5易伤7a核8基础对冰9电塔对甲
12	58311 12418	   	266.21	橙橙2伤害1易伤	1加一26伤害3雷电4时间5易伤7a核8基础对冰9电塔对甲
13	51171 11633	   	261.07	紫橙2易伤2矿等	1加一2敌人爆炸3额外掉落49矿等56核7时间8a易伤
14	52171 11633	   	260.97	紫橙2易伤2矿等	1加一2挖尘3额外掉落49矿等56核7时间8a易伤
15	51171 14463	   	260.62	紫橙3易伤1矿等	1加一2敌人爆炸3额外掉落4矿等56核78a易伤9低血量敌人
16	51171 14483	   	260.62	紫橙3易伤1矿等	1加一2敌人爆炸3额外掉落4矿等56核78a易伤9基地爆炸
17	51171 14443	   	260.52	紫橙3易伤1矿等	1加一2敌人爆炸3额外掉落4矿等56核78a易伤9挖尘
18	52171 14413	   	260.52	紫橙3易伤1矿等	1加一2挖尘3额外掉落4矿等56核78a易伤9基地爆炸
19	52171 14423	   	260.52	紫橙3易伤1矿等	1加一2挖尘3额外掉落4矿等56核78a易伤9敌人爆炸
20	52171 14463	   	260.52	紫橙3易伤1矿等	1加一2挖尘3额外掉落4矿等56核78a易伤9低血量敌人
21	51171 13343	   	260.47	紫橙2易伤1矿等1暴击1平台	1加一2敌人爆炸3额外掉落4矿等56核7平台8暴击9a易伤
22	52171 14436	   	260.42	紫橙3易伤1矿等	1加一2a挖尘3额外掉落4矿等56核78a易伤9a掉矿a序列升级
23	52171 14445	   	260.37	紫橙2易伤1矿等1攻速1平台	1加一2挖尘3额外掉落4矿等56核78易伤9平台a攻速
