0	Index      	 *	Score 	Summary	Detail	
1	42311 62361	 * 	277.48	紫橙2易伤2矿等2时间1平台	19易伤29矿等3a核4技能点5最后敌人6平台79时间8额外掉落9序列升级
2	62312 53621	 * 	275.53	橙橙2伤害1易伤1矿等	1赏金塔2矿等3挖青45伤害69核7易伤8核弹a随机矿
3	62312 53623	   	275.53	橙橙2伤害1易伤1矿等	1赏金塔2矿等3挖青45伤害69核7易伤8核弹a最后敌人
4	62312 53622	   	275.43	橙橙2伤害1易伤1矿等	1赏金塔2矿等3挖青45伤害69核7易伤8核弹a掉矿
5	22514 31261	 * 	271.46	橙橙1易伤2矿等1平台	19挖尘29掉矿3平台4额外掉落5时间6a核7易伤89矿等9序列升级
6	42343 13633	 * 	269.02	紫橙3易伤1矿等	15a易伤2矿等38核4额外掉落6时间7等级9立即金币
7	42343 13613	   	268.78	紫橙3易伤1矿等1策反	15a易伤2矿等38核4额外掉落6时间7等级9策反
8	21163 53621	 * 	267.46	橙橙3矿等1易伤	125挖尘358矿等4双倍秒伤5序列升级6a核7易伤9金币生成
9	62212 53153	 * 	262.88	橙3易伤3伤害1矿等	1赏金塔2矿等37a易伤459伤害6核8时间
10	62212 53163	   	262.88	橙3易伤3伤害1矿等	1赏金塔2矿等379易伤45a伤害6核8时间
11	42321 33255	   	260.72	紫橙3易伤1矿等	169易伤2矿等3a核4金币生成5最后敌人78立即金币
12	42321 33625	   	260.72	紫橙3易伤1矿等	168易伤2矿等3a核49金币生成5最后敌人7立即金币
13	42311 31255	   	260.52	紫橙3易伤1矿等	169易伤2矿等3a核47技能点5最后敌人8立即金币
14	11166 23521	 * 	257.03	紫橙2易伤1伤害1矿等2策反	18策反28敌人爆炸3赏金塔49核5矿等6伤害78易伤8序列升级a随机矿
15	11166 23523	 * 	257.03	紫橙2易伤1伤害1矿等2策反	18策反28敌人爆炸3赏金塔49核5矿等6伤害78易伤8序列升级a最后敌人
16	11166 23522	 * 	256.93	紫橙2易伤1伤害1矿等2策反	18策反28敌人爆炸3赏金塔49核5矿等6伤害78易伤8序列升级a掉矿
17	52526 31222	 * 	255.97	橙橙1易伤3暴击1平台1策反	167暴击2平台3策反47低血量敌人57基础对甲7序列升级8易伤9a核
18	22514 31231	   	255.85	橙橙1易伤1矿等1平台	1挖尘2掉矿3平台49额外掉落5时间6a核7易伤8矿等
19	31165 22124	   	255.70	橙橙1易伤1矿等1平台1策反	1技能2赏金邻近3毒液对毒4策反5时间6平台79核8矿等a易伤
20	54111 14121	 * 	255.37	橙橙1易伤2暴击2时间	13暴击2等级4雷电5a时间6易伤79核8最后敌人
21	42343 13632	   	255.22	紫橙2易伤1矿等1平台	15易伤2矿等38核4额外掉落6时间7等级9立即金币a平台
22	12232 21414	   	254.88	紫橙2易伤1矿等1平台1策反	1策反2a易伤37核4时间5挖尘6平台8矿等9等级
23	12232 21424	   	254.88	紫橙2易伤1矿等1平台1策反	1策反2a易伤37核4时间5挖尘6平台8矿等9技能
24	42412 53331	   	254.57	橙3易伤3伤害1矿等	17a易伤2矿等3赏金塔459伤害6核8等级
25	62212 53331	   	254.57	橙3易伤3伤害1矿等	1赏金塔2矿等37a易伤459伤害6核8等级
26	62212 53431	   	254.47	橙3易伤3伤害1矿等	1赏金塔2矿等37a易伤459伤害6核8技能点
27	62212 53531	   	254.33	橙3易伤3伤害1矿等1策反	1赏金塔2矿等37a易伤459伤害6核8策反
28	12233 51652	 * 	254.15	紫橙2易伤1伤害2时间2策反	17策反27易伤39核48时间5寒冰对甲67掉矿7序列升级a伤害
29	12234 51621	 * 	252.91	紫橙1易伤2矿等1伤害1策反	1策反2易伤39核4时间5赏金塔67矿等8伤害a随机矿
30	12234 51623	 * 	252.91	紫橙1易伤2矿等1伤害1策反	1策反2易伤39核4时间5赏金塔67矿等8伤害a最后敌人
31	12234 51622	 * 	252.81	紫橙1易伤2矿等1伤害1策反	1策反2易伤39核4时间5赏金塔67矿等8伤害a掉矿
32	12254 31222	   	252.50	紫橙3易伤1平台1策反	1策反279易伤3a核4平台58金币生成6技能点
33	12254 31322	   	252.50	紫橙3易伤1平台1策反	1策反279易伤3a核4平台5金币生成6技能点8立即金币
34	12234 22212	 * 	251.01	紫橙2伤害1易伤1暴击1策反	1策反2易伤37核4时间5赏金塔6a伤害8赏金邻近9暴击
35	54111 14122	   	248.82	橙橙1易伤2暴击	13暴击2等级4a雷电5时间6易伤79核8最后敌人
36	54111 14123	   	248.72	橙橙1易伤2暴击	13暴击2等级4雷电5时间6易伤79核8最后敌人a技能点
37	62212 52124	   	248.58	橙3易伤2伤害1矿等1平台	1赏金塔2矿等38a易伤45伤害6核7平台9敌人爆炸
38	62212 52136	   	248.58	橙3易伤2伤害1矿等1平台	1赏金塔2矿等38a易伤45伤害6核7平台9额外掉落
39	62212 52315	   	248.58	橙3易伤2伤害1矿等1平台	1赏金塔2矿等39a易伤45伤害6核7平台8等级
40	62212 52114	   	248.48	橙3易伤2伤害1矿等1平台	1赏金塔2矿等38a易伤45伤害6核7平台9挖尘
41	34162 22233	 * 	247.99	紫橙2易伤1伤害	1技能2时间3赏金塔47核5挖尘6伤害8基地爆炸9a易伤
42	12234 22244	   	247.95	紫橙2易伤1伤害2策反	1a策反2a易伤37核4时间5赏金塔6伤害8赏金邻近9a基地爆炸a序列升级
43	12234 22264	   	247.95	紫橙2易伤1伤害2策反	1a策反2a易伤37核4时间5赏金塔6伤害8赏金邻近9a最后敌人a序列升级
44	42315 32336	   	247.75	紫橙1易伤2矿等1攻速1全技能1卖塔	1易伤25矿等3a核45技能点5序列升级6卖塔7全技能8攻速9最后敌人
45	12234 22116	   	247.75	紫橙2易伤1伤害1策反	1策反2a易伤37核4时间5赏金塔6伤害8技能9掉矿
46	12234 22436	   	247.75	紫橙2易伤1伤害1策反	1策反2a易伤37核4时间5赏金塔6伤害8金币生成9技能点
47	12234 22521	   	247.65	紫橙2易伤1伤害1策反	1策反2a易伤37核4时间5赏金塔6伤害8掉矿9防空对愈
48	32132 52512	   	247.64	橙橙1易伤1矿等1平台	1技能2平台3赏金塔4防空对甲5矿等6易伤7a核8雷电9赏金邻近
49	22515 31231	   	247.54	橙橙1易伤1矿等1平台	1挖尘2掉矿3平台4额外掉落5基地爆炸6a核7易伤8矿等9立即金币
50	22515 31241	   	247.54	橙橙1易伤1矿等1平台	1挖尘2掉矿3平台4额外掉落59基地爆炸6a核7易伤8矿等
