0	Index      	 *	Score 	Summary	Detail	
1	15163 62312	 * 	317.59	DCR|2LIT|2MLV|3VULN|1DMG	12aVULN|3AART|4GSSTOX|5aLIT|6CGEN|7RCR|8DMG|9aMLV|aBPWR
2	61212 53232	 * 	306.69	ACR|3LIT|3VULN|3ASPD|1MLV	1AART|2RCR|39aASPD|4MLV|59aLIT|6ZMB|7VENTOX|89aVULN|9aBPWR
3	47133 42113	 * 	305.82	DCR|3LIT|4VULN|3ASPD	1MBVNT|279aVULN|3RPLT|4DUST|579ASPD|679LIT|79BPWR|8RCR
4	47133 48114	   	305.82	DCR|3LIT|4VULN|3ASPD	1MBVNT|279aVULN|3RPLT|4DUST|59aASPD|69aLIT|8RCR|9aBPWR
5	47133 42118	   	302.91	DCR|3LIT|3VULN|3ASPD|1AART	1MBVNT|279VULN|3RPLT|4DUST|579ASPD|679LIT|79BPWR|8RCR|aAART
6	47512 24114	 * 	302.41	DCR|3LIT|3VULN|3DMG	1MBVNT|29aVULN|3DUR|49aLIT|59aDMG|6RCVC|7RPLT|8RCR|9aBPWR
7	42143 42613	   	298.67	DCR|3LIT|3VULN|3DMG|1SELL	1MBVNT|2SELL|389LIT|489VULN|5BEXP|6FEWX|789DMG|89BPWR|aRCR
8	42143 72613	   	298.67	DCR|3LIT|3VULN|3DMG|1SELL	1MBVNT|2SELL|389LIT|489VULN|5BEXP|6LWND|789DMG|89BPWR|aRCR
9	42143 82613	   	298.67	DCR|3LIT|3VULN|3DMG|1SELL	1MBVNT|2SELL|389LIT|489VULN|5BEXP|6LHND|789DMG|89BPWR|aRCR
10	42144 72613	   	298.67	DCR|3LIT|3VULN|3DMG|1SELL	1MBVNT|2SELL|389LIT|489VULN|5FEWX|6LWND|789DMG|89BPWR|aRCR
11	42144 82613	   	298.67	DCR|3LIT|3VULN|3DMG|1SELL	1MBVNT|2SELL|389LIT|489VULN|5FEWX|6LHND|789DMG|89BPWR|aRCR
12	42142 42613	   	298.57	DCR|3LIT|3VULN|3DMG|1SELL	1MBVNT|2SELL|389LIT|489VULN|5DUR|6FEWX|789DMG|89BPWR|aRCR
13	42142 72613	   	298.57	DCR|3LIT|3VULN|3DMG|1SELL	1MBVNT|2SELL|389LIT|489VULN|5DUR|6LWND|789DMG|89BPWR|aRCR
14	42142 82613	   	298.57	DCR|3LIT|3VULN|3DMG|1SELL	1MBVNT|2SELL|389LIT|489VULN|5DUR|6LHND|789DMG|89BPWR|aRCR
15	11133 11332	 * 	296.35	DCR|3LIT|3VULN|1MLV|1CDMG	139VULN|2CDMG|468LIT|5DUST|7RCR|aMLV
16	11135 11332	   	296.35	DCR|3LIT|3VULN|1MLV|1CDMG	139VULN|2CDMG|458LIT|6DUST|7RCR|aMLV
17	11135 22233	 * 	292.23	DCR|3LIT|4VULN|3CDMG|1SELL	138aVULN|268CDMG|458LIT|7SELL|8BPWR|9RCR
18	11135 22235	 * 	292.23	DCR|3LIT|4VULN|3CDMG|1SELL	138aVULN|268CDMG|458LIT|7SELL|8aBPWR|9RCR
19	47123 22114	   	288.43	DCR|3LIT|4VULN|1DMG	1MBVNT|269aVULN|3RPLT|4DMG|59aLIT|79aLWND|8RCR|9aBPWR
20	47123 24114	 * 	288.13	DCR|3LIT|4VULN|3DUR|1DMG	1MBVNT|269aVULN|3RPLT|4DMG|59aLIT|79aDUR|8RCR|9aBPWR
21	46463 22113	   	288.13	DCR|3LIT|4VULN|3ZMB	1MBVNT|279LIT|3DUST|4RPLT|579ZMB|679aVULN|79BPWR|8RCR
