0	Index      	 *	Score 	Summary	Detail	
1	15343 22226	 * 	275.45	DCR|3LIT|2DMG|1VULN|1MLV	1TLV|27DMG|368LIT|4ZMB|5MLV|9RCR|aVULN
2	22232 24662	 * 	272.34	DCR|2LIT|3VULN|1MLV	1LWND|2ZMB|3MLV|46LIT|59aVULN|7RCR|8LSRREG
3	15234 32261	 * 	271.87	ACR|2LIT|2VULN|2DMG|1MLV|1CDMG	1TLV|28DMG|3RCR|46LIT|5CDMG|7aVULN|9MLV
4	25332 41131	 * 	271.79	DCR|1LIT|2VULN|2DMG|1MLV|1CDMG	1LWND|2LHND|3CDMG|49DMG|58VULN|6MLV|7RCR|aLIT
5	15234 32613	 * 	271.57	ACR|3LIT|2VULN|1MLV|1DMG|1CDMG	1TLV|2DMG|3RCR|469LIT|5CDMG|7aVULN|8MLV
6	25332 41151	 * 	270.30	DCR|2MLV|1LIT|2VULN|1DMG|1CDMG	1LWND|2LHND|3CDMG|4DMG|58VULN|69MLV|7RCR|aLIT
7	21332 41156	   	270.30	DCR|2MLV|1LIT|2VULN|1DMG|1CDMG	1LWND|2FEWX|3CDMG|4DMG|58VULN|6aMLV|7RCR|9LIT
8	22232 24661	 * 	270.27	DCR|2LIT|2VULN|1MLV|1DMG	1LWND|2ZMB|3MLV|46LIT|59VULN|7RCR|8LSRREG|aDMG
9	15331 13326	   	268.57	DCR|2LIT|2VULN|1MLV|1DMG	1TLV|2DMG|37LIT|4MLV|5RMIN|6ZMB|8RCR|9aVULN
10	15312 35381	 * 	268.51	DCR|2LIT|2MLV|2DMG|1VULN	19TLV|2aDMG|39LIT|4DUST|5VULN|6MBVNT|79MLV|8RCR|9BPWR
11	15331 23124	 * 	268.39	DCR|3LIT|3MLV|1VULN|1DMG	168TLV|2DMG|378LIT|468MLV|5RMIN|68BPWR|9VULN|aRCR
12	22232 24156	   	266.45	DCR|2LIT|2VULN|1MLV|1AART	1LWND|2ZMB|3MLV|46LIT|59VULN|7RCR|8ERES|aAART
13	22234 62161	   	266.06	DCR|2LIT|1VULN|1MLV|1DMG|1CDMG|1ASPD	1LWND|2ZMB|3MLV|46LIT|5CDMG|7VULN|8ASPD|9DMG|aRCR
14	22234 62261	   	266.06	DCR|2LIT|1VULN|1MLV|1DMG|1CDMG|1ASPD	1LWND|2ZMB|3MLV|46LIT|5CDMG|7VULN|8DMG|9ASPD|aRCR
15	15234 32153	 * 	265.78	ACR|3LIT|2VULN|2ASPD|1DMG|1CDMG	19TLV|2DMG|3RCR|469LIT|5CDMG|7aVULN|89ASPD|9BPWR
16	15234 32263	 * 	265.73	ACR|2LIT|2DMG|1VULN|1MLV|1NUKE|1CDMG	1TLV|28DMG|3RCR|46LIT|5CDMG|7VULN|9MLV|aNUKE
17	22223 61441	   	265.08	DCR|1LIT|2VULN|2DMG|1MLV	1LWND|2ZMB|3MLV|4LHND|5aDMG|68VULN|7RCR|9LIT
18	22232 24622	 * 	264.44	DCR|2LIT|2MLV|2VULN	19LWND|2ZMB|39MLV|46LIT|5aVULN|7RCR|89LSRREG|9BPWR
19	22236 33625	 * 	263.47	DCR|2LIT|1FLTARM|1MLV|1DMG|1ASPD	1LWND|2ZMB|3MLV|4aLIT|5ASPD|6FRZICY|7RCR|8DMG|9FLTARM
20	12232 44135	   	263.33	DCR|2LIT|2VULN|1MLV|1DMG|1DUR	1TLV|2DUR|3MLV|49LIT|5DMG|6CGEN|7RCR|8aVULN
21	15331 12326	   	263.28	DCR|1LIT|2VULN|2DMG|1MLV	1TLV|27DMG|3LIT|4MLV|5RMIN|6ZMB|8RCR|9aVULN
22	15312 35382	   	262.60	DCR|2LIT|2MLV|1VULN|1DMG|1CDMG	19TLV|2DMG|39LIT|4DUST|5VULN|6MBVNT|79MLV|8RCR|9BPWR|aCDMG
23	11335 23625	 * 	261.74	DCR|3VULN|1LIT|2DMG|1ASPD	1TLV|2MULHEA|3ASPD|48DMG|59aVULN|6LIT|7RCR
24	12256 22326	   	261.63	DCR|2LIT|2VULN|1MLV|1DMG|1DUR	16TLV|2DUR|3MLV|4RCVC|56LIT|6BPWR|7DMG|8RCR|9aVULN
25	15343 13226	   	261.15	DCR|3LIT|1VULN|1MLV|1DMG|2ZMB	1TLV|2DMG|378LIT|46ZMB|5MLV|9RCR|aVULN
26	22223 61442	   	261.15	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG	1LWND|2ZMB|3MLV|4LHND|5DMG|68VULN|7RCR|9LIT|aCDMG
27	22236 12462	 * 	260.88	DCR|2LIT|2MLV|1VULN|2CDMG|1ASPD	1LWND|2ZMB|39MLV|49LIT|5ASPD|69CDMG|7CGEN|8VULN|9BPWR|aRCR
28	21332 41153	 * 	260.52	DCR|1LIT|2VULN|1MLV|2CDMG|1DMG	1LWND|2FEWX|3aCDMG|4DMG|58VULN|6MLV|7RCR|9LIT
29	22252 53225	 * 	259.23	DCR|1LIT|2FLTARM|2VULN|1MLV|2ZMB	1LWND|29ZMB|3MLV|4RCVC|5LHND|69FLTARM|7LIT|89VULN|9BPWR|aRCR
30	16242 23322	 * 	259.19	DCR|1LIT|2VULN|2DMG|2ASPD	1TLV|29VULN|3SNITOX|4ZMB|59DMG|6LIT|7RCR|89ASPD|9BPWR|aCGEN
31	16242 23324	   	259.19	DCR|1LIT|2VULN|2DMG|2ASPD	1TLV|29VULN|3SNITOX|4ZMB|59DMG|6LIT|7RCR|89ASPD|9BPWR|aRCVC
32	16242 23325	   	259.19	DCR|1LIT|2VULN|2DMG|2ASPD	1TLV|29VULN|3SNITOX|4ZMB|59DMG|6LIT|7RCR|89ASPD|9BPWR|aRMIN
33	16242 23326	   	259.19	DCR|1LIT|2VULN|2DMG|2ASPD	1TLV|29VULN|3SNITOX|4ZMB|59DMG|6LIT|7RCR|89ASPD|9BPWR|aBEXP
34	46242 23322	   	259.09	DCR|1LIT|2VULN|2DMG|2ASPD	1ERES|29VULN|3SNITOX|4ZMB|59DMG|6LIT|7RCR|89ASPD|9BPWR|aCGEN
35	16242 23323	   	259.09	DCR|1LIT|2VULN|2DMG|2ASPD	1TLV|29VULN|3SNITOX|4ZMB|59DMG|6LIT|7RCR|89ASPD|9BPWR|aDUST
36	46242 23323	   	258.99	DCR|1LIT|2VULN|2DMG|2ASPD	1ERES|29VULN|3SNITOX|4ZMB|59DMG|6LIT|7RCR|89ASPD|9BPWR|aDUST
37	16242 23321	   	258.95	DCR|1LIT|2VULN|2DMG|2ASPD|1SELL	1TLV|29VULN|3SNITOX|4ZMB|59DMG|6LIT|7RCR|89ASPD|9BPWR|aSELL
38	46242 23321	   	258.85	DCR|1LIT|2VULN|2DMG|2ASPD|1SELL	1ERES|29VULN|3SNITOX|4ZMB|59DMG|6LIT|7RCR|89ASPD|9BPWR|aSELL
39	15233 35381	   	258.32	ACR|2LIT|2VULN|2DMG|1MLV	19TLV|2aDMG|3RCR|49LIT|5BEXP|6MBVNT|7MLV|89VULN|9BPWR
40	15511 21341	   	258.14	DCR|1LIT|2VULN|2DMG|1MLV	1TLV|2aDMG|3MLV|4LWND|58VULN|6LHND|7RCR|9LIT
41	15232 63226	   	258.12	ACR|2LIT|2VULN|2DMG|1MLV	1TLV|25DMG|3RCR|48LIT|6MLV|7DUST|9aVULN
42	14231 41341	   	258.04	DCR|1LIT|2VULN|2DMG|1MLV|1DUR	1TLV|2LHND|3MLV|4aDMG|58VULN|6DUR|7RCR|9LIT
43	15521 21341	   	258.04	DCR|1LIT|2VULN|2DMG|1MLV|1DUR	1TLV|2aDMG|3MLV|4DUR|58VULN|6LHND|7RCR|9LIT
44	12453 21341	   	258.04	DCR|1LIT|2VULN|2DMG|1MLV|1DUR	1TLV|2DUR|38VULN|4MLV|5aDMG|6LHND|7RCR|9LIT
45	25532 41131	   	257.90	DCR|1LIT|2VULN|2DMG|1MLV|1SELL	1LWND|2LHND|3SELL|49DMG|58VULN|6MLV|7RCR|aLIT
46	15333 62335	   	257.53	DCR|2MLV|1LIT|2VULN|1DMG	1TLV|2DMG|3LIT|45MLV|6aVULN|7RCVC|8RCR|9ZMB
47	12224 61342	   	256.91	DCR|2LIT|2VULN|1MLV|1ASPD|1DUR	1TLV|2DUR|3MLV|4LHND|58VULN|6ASPD|7RCR|9aLIT
48	24333 31156	   	256.91	DCR|2LIT|2VULN|1MLV|1CDMG|1DUR	1LWND|28VULN|3CDMG|4MLV|5DUR|6CGEN|7RCR|9aLIT
49	11335 23325	 * 	256.61	DCR|3VULN|1LIT|2ASPD|1DMG	1TLV|2MULHEA|38ASPD|4DMG|59aVULN|6LIT|7RCR
50	41335 23325	   	256.51	DCR|3VULN|1LIT|2ASPD|1DMG	1ERES|2MULHEA|38ASPD|4DMG|59aVULN|6LIT|7RCR
51	46263 13321	 * 	256.51	DCR|3VULN|1LIT|2ASPD|1NUKE	19ERES|269VULN|3SNITOX|4MBVNT|5LIT|7RCR|89ASPD|9BPWR|aNUKE
