0	Index      	 *	Score 	Summary	Detail	
1	52612 11337	 * 	288.54	ACR|2LIT|2MLV|3VULN|1DMG	1RCR|278VULN|38MLV|4MBVNT|5RCVC|68LIT|8BPWR|9ERES|aDMG
2	56621 11321	 * 	285.73	ACR|2LIT|4VULN|1MLV|1DMG	1RCR|248FEWX|3MLV|5789VULN|68LIT|8BPWR|aDMG
3	52612 11353	 * 	284.54	ACR|3LIT|2MLV|3VULN	1RCR|278VULN|38MLV|4MBVNT|5RCVC|68aLIT|8BPWR|9RMIN
4	52663 22312	 * 	284.24	ACR|3VULN|1LIT|2FLTARM|1MLV|1DMG	1RCR|269VULN|3MLV|4ZMB|56FLTARM|6BPWR|7FEWX|8DMG|aLIT
5	52652 11333	 * 	282.36	ACR|5VULN|2LIT|1MLV	1RCR|2789aVULN|3MLV|48DUST|5RCVC|68LIT|8BPWR
6	52612 11354	   	274.80	ACR|2LIT|2MLV|3VULN|1AART	1RCR|278VULN|38MLV|4MBVNT|5RCVC|68LIT|8BPWR|9RMIN|aAART
7	52612 11362	   	274.80	ACR|2LIT|2MLV|3VULN|1AART	1RCR|278VULN|38MLV|4MBVNT|5RCVC|68LIT|8BPWR|9TLV|aAART
8	52612 11372	   	274.80	ACR|2LIT|2MLV|3VULN|1AART	1RCR|278VULN|38MLV|4MBVNT|5RCVC|68LIT|8BPWR|9CGEN|aAART
9	52612 11332	   	274.65	ACR|2LIT|2MLV|3VULN|1AART	1RCR|278VULN|38MLV|4MBVNT|5RCVC|68LIT|8BPWR|9ERES|aAART
10	52616 34113	 * 	274.63	ACR|3VULN|1LIT|2DMG|1MLV|1ASPD	1RCR|278VULN|3MLV|4MBVNT|57ERES|67DMG|7BPWR|9LIT|aASPD
11	52641 21113	   	274.63	ACR|3VULN|1LIT|2DMG|1MLV|1ASPD	1RCR|245VULN|3MLV|6LEGI|7ASPD|8LIT|9aDMG
12	52643 23113	   	274.63	ACR|3VULN|1LIT|2DMG|1MLV|1ASPD|1DUR	1RCR|248VULN|3MLV|5ASPD|6aDMG|7DUR|9LIT
13	52523 11223	 * 	272.41	ACR|2LIT|3VULN|1MLV|2ASPD	1RCR|279VULN|35ASPD|4FEWX|6aLIT|8MLV
14	52513 11223	   	272.31	ACR|2LIT|3VULN|1MLV|2ASPD	1RCR|279VULN|35ASPD|4MBVNT|6aLIT|8MLV
15	52553 11223	   	272.31	ACR|2LIT|3VULN|1MLV|2ASPD	1RCR|279VULN|35ASPD|4DUST|6aLIT|8MLV
