0	Index      	 *	Score 	Summary	Detail	
1	21526 32611	 * 	300.15	DCR|3LIT|2MLV|2DMG|1VULN	13aCGEN|23MLV|3aBPWR|4aDMG|5VULN|6RCR|7ERES|89aLIT
2	13221 36143	 * 	294.11	DCR|3LIT|2VULN|3DMG|2ZMB	1RCVC|2aZMB|347DMG|5aVULN|6RCR|89aLIT|aBPWR
3	33221 36143	   	294.11	DCR|3LIT|2VULN|3DMG|2ZMB	1DMSP|2aZMB|347DMG|5aVULN|6RCR|89aLIT|aBPWR
4	13221 36123	   	276.81	DCR|2LIT|2VULN|3DMG|2ZMB	19RCVC|2aZMB|347DMG|5aVULN|6RCR|8aLIT|aBPWR
5	33221 36123	   	276.81	DCR|2LIT|2VULN|3DMG|2ZMB	1DMSP|2aZMB|347DMG|5aVULN|6RCR|8aLIT|9RCVC|aBPWR
6	21145 22153	 * 	275.55	DCR|2LIT|3VULN|1MLV|1ASPD	1CGEN|2MLV|36LIT|45aVULN|7RPLT|8ASPD|9RCR
7	21141 16261	 * 	273.38	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	1CGEN|2MLV|37LIT|4aVULN|5ASPD|6DMG|8MULHEA|9RCR
8	13221 36141	   	273.32	DCR|2LIT|2VULN|3DMG	1RCVC|2ZMB|347DMG|5aVULN|6RCR|89LIT
9	33221 36141	   	273.32	DCR|2LIT|2VULN|3DMG	1DMSP|2ZMB|347DMG|5aVULN|6RCR|89LIT
10	12515 22153	 * 	272.75	DCR|3VULN|1LIT|1MLV|1DMG|1ASPD	1RCVC|2DMG|35aVULN|4RPLT|6LIT|7MLV|8ASPD|9RCR
11	12516 22153	   	272.75	DCR|3VULN|1LIT|1MLV|1DMG|1ASPD	1RCVC|2DMG|36aVULN|4RPLT|5LIT|7MLV|8ASPD|9RCR
12	32515 22153	   	272.75	DCR|3VULN|1LIT|1MLV|1DMG|1ASPD	1DMSP|2DMG|35aVULN|4RPLT|6LIT|7MLV|8ASPD|9RCR
13	32516 22153	   	272.75	DCR|3VULN|1LIT|1MLV|1DMG|1ASPD	1DMSP|2DMG|36aVULN|4RPLT|5LIT|7MLV|8ASPD|9RCR
14	21144 12153	   	271.20	DCR|1LIT|2VULN|1MLV|1DMG|1CDMG|1ASPD	1CGEN|2MLV|3LIT|4aVULN|5ZMB|6DMG|7CDMG|8ASPD|9RCR
15	15132 16125	 * 	271.16	DCR|2LIT|3VULN|1FLTARM	1RCVC|29aVULN|3aLIT|4SNITOX|5FLTARM|6aBEXP|7RCR|8DLOT|aBPWR
16	35132 16125	   	271.16	DCR|2LIT|3VULN|1FLTARM	1DMSP|29aVULN|3aLIT|4SNITOX|5FLTARM|6aBEXP|7RCR|8DLOT|aBPWR
17	14222 16522	   	271.06	DCR|2LIT|3VULN|1FLTARM	1RCVC|2CANTOX|39aVULN|48LIT|5FLTARM|6BEXP|7RCR
18	15132 16522	   	271.06	DCR|2LIT|3VULN|1FLTARM	1RCVC|29aVULN|38LIT|4SNITOX|5FLTARM|6BEXP|7RCR
19	34222 16522	   	271.06	DCR|2LIT|3VULN|1FLTARM	1DMSP|2CANTOX|39aVULN|48LIT|5FLTARM|6BEXP|7RCR
20	35132 16522	   	271.06	DCR|2LIT|3VULN|1FLTARM	1DMSP|29aVULN|38LIT|4SNITOX|5FLTARM|6BEXP|7RCR
