0	Index      	 *	Score 	Summary	Detail	
1	13145 33326	 * 	281.66	ACR|4VULN|1LIT|1MLV|2ASPD|2CDMG	147aVULN|2TLV|3aASPD|5RCR|6MLV|8LIT|9aCDMG|aBPWR
2	12342 11344	 * 	279.13	DCR|4VULN|2MLV|1LIT	1459VULN|237BEXP|69MLV|8RCR|9BPWR|aLIT
3	32242 11344	   	279.13	DCR|4VULN|2MLV|1LIT	127BEXP|3459VULN|69MLV|8RCR|9BPWR|aLIT
4	33242 11344	   	279.13	DCR|4VULN|2MLV|1LIT	127BEXP|29BPWR|3459VULN|69MLV|8RCR|aLIT
5	13533 65333	 * 	278.43	ACR|2LIT|4VULN|1MLV|2CDMG	179aVULN|2TLV|3aLIT|4BEXP|5RCR|6MLV|8aCDMG|aBPWR
6	13533 14233	 * 	276.56	ACR|3LIT|3VULN|1MLV|2CDMG	16aVULN|2TLV|37aLIT|4BEXP|5RCR|8MLV|9aCDMG|aBPWR
7	14222 16364	 * 	274.93	DCR|2LIT|2VULN|1MLV|1DMG|1CDMG|1SELL	1aVULN|2SELL|3DMG|4MLV|5CDMG|67LIT|8RCR|9MBVNT
8	14226 16323	 * 	272.73	DCR|2LIT|2DMG|1VULN|1MLV|2CDMG|1SELL	1VULN|2SELL|3aDMG|4MLV|57LIT|69CDMG|8RCR
9	14222 16323	 * 	272.73	DCR|2LIT|2DMG|1VULN|1MLV|2CDMG|1SELL	1VULN|2SELL|3aDMG|4MLV|59CDMG|67LIT|8RCR
10	14222 16324	 * 	272.44	DCR|3LIT|1VULN|1MLV|2CDMG|1DMG|1SELL	1VULN|2SELL|3DMG|4MLV|59CDMG|67aLIT|8RCR
11	11145 34323	 * 	270.84	ACR|2LIT|2VULN|1MLV|2CDMG|1DMG|1ASPD	14VULN|2aCGEN|3ASPD|5RCR|6MLV|7aLIT|8DMG|9aCDMG|aBPWR
12	13145 34323	   	270.84	ACR|2LIT|2VULN|1MLV|1DMG|2CDMG|1ASPD	14VULN|2aTLV|3ASPD|5RCR|6MLV|7aLIT|8DMG|9aCDMG|aBPWR
13	14232 16214	 * 	266.62	DCR|2LIT|3DMG|1VULN|1MLV|1SELL	1VULN|2SELL|345DMG|6CGEN|7aLIT|8MLV|9RCR
14	14226 16333	 * 	266.42	DCR|2LIT|2DMG|1VULN|1MLV|1CDMG|1SELL	1VULN|2SELL|3aDMG|4MLV|57LIT|6CDMG|8RCR|9RCVC
15	14222 16333	 * 	266.42	DCR|2LIT|2DMG|1VULN|1MLV|1CDMG|1SELL	1VULN|2SELL|3aDMG|4MLV|5CDMG|67LIT|8RCR|9RCVC
16	14222 16334	 * 	266.13	DCR|3LIT|1VULN|1MLV|1DMG|1CDMG|1SELL	1VULN|2SELL|3DMG|4MLV|5CDMG|67aLIT|8RCR|9RCVC
17	16536 12113	 * 	265.27	DCR|3LIT|3VULN|1DMG	189VULN|2ERES|367LIT|4BEXP|5DMG|aRCR
18	14226 16311	 * 	264.98	DCR|2LIT|1VULN|1MLV|1DMG|1AART|1CDMG|1SELL	1VULN|2SELL|3DMG|4MLV|57LIT|6CDMG|8RCR|9CANTOX|aAART
19	14222 16311	 * 	264.98	DCR|2LIT|1VULN|1MLV|1DMG|1AART|1CDMG|1SELL	1VULN|2SELL|3DMG|4MLV|5CDMG|67LIT|8RCR|9CANTOX|aAART
20	16141 13623	 * 	264.76	DCR|1LIT|2VULN|1MLV|2ASPD|1DMG	14VULN|2ERES|35ASPD|6MLV|7DMSP|8RCR|9DMG|aLIT
21	11115 34126	 * 	263.23	ACR|2LIT|2VULN|1MLV|2ASPD|2CDMG	1aVULN|2CGEN|3aASPD|4DMSP|5RCR|6MLV|78LIT|9aCDMG|aBPWR
22	13115 34126	   	263.23	ACR|2LIT|2VULN|1MLV|2ASPD|2CDMG	1aVULN|2TLV|3aASPD|4DMSP|5RCR|6MLV|78LIT|9aCDMG|aBPWR
23	25331 63611	 * 	262.56	DCR|3LIT|2VULN|1MLV	19LWND|2RPLT|3DUST|4BELT|59VULN|6RCR|789LIT|9BPWR|aMLV
24	13115 33326	   	262.50	ACR|3VULN|1LIT|1MLV|2ASPD|2CDMG	17aVULN|2TLV|3aASPD|4DMSP|5RCR|6MLV|8LIT|9aCDMG|aBPWR
25	14222 16342	 * 	262.48	DCR|2LIT|1VULN|1MLV|1DMG|1CDMG|1ASPD|1SELL	1VULN|2SELL|3DMG|4MLV|5CDMG|67LIT|8RCR|9LHND|aASPD
26	14222 16352	 * 	262.48	DCR|2LIT|1VULN|1MLV|1DMG|1CDMG|1ASPD|1SELL	1VULN|2SELL|3DMG|4MLV|5CDMG|67LIT|8RCR|9BEXP|aASPD
27	13145 33623	 * 	262.40	ACR|3VULN|1LIT|1MLV|2ASPD|1DMG	147VULN|2TLV|38ASPD|5RCR|6MLV|9DMG|aLIT
28	14222 16362	 * 	262.38	DCR|2LIT|1VULN|1MLV|1DMG|1CDMG|1ASPD|1SELL	1VULN|2SELL|3DMG|4MLV|5CDMG|67LIT|8RCR|9MBVNT|aASPD
29	14336 24122	 * 	262.20	DCR|1LIT|2VULN|1FLTARM|1MLV|1CDMG|1ASPD|1SELL	15VULN|2SELL|3LIT|4ASPD|6CDMG|7FLTARM|8MLV|9BEXP|aRCR
30	14222 16314	 * 	262.09	DCR|2LIT|2MLV|1VULN|1DMG|1CDMG|1SELL	1VULN|2SELL|3DMG|4aMLV|5CDMG|67LIT|8RCR|9CANTOX
31	13533 65233	   	259.27	ACR|2LIT|3VULN|1MLV|2CDMG	17aVULN|28TLV|3aLIT|4BEXP|5RCR|6MLV|9aCDMG|aBPWR
32	13533 66333	   	259.27	ACR|2LIT|3VULN|1MLV|2CDMG	19aVULN|2TLV|3aLIT|47BEXP|5RCR|6MLV|8aCDMG|aBPWR
33	13543 11243	   	259.27	ACR|2LIT|3VULN|1MLV|2CDMG	16aVULN|2TLV|3aLIT|47FEWX|5RCR|8MLV|9aCDMG|aBPWR
34	11145 34321	   	257.71	ACR|1LIT|2VULN|1MLV|1DMG|1AART|1CDMG|1ASPD	14VULN|2CGEN|3ASPD|5RCR|6MLV|7LIT|8DMG|9CDMG|aAART
35	13145 34321	   	257.71	ACR|1LIT|2VULN|1MLV|1DMG|1AART|1ASPD|1CDMG	14VULN|2TLV|3ASPD|5RCR|6MLV|7LIT|8DMG|9CDMG|aAART
