0	Index      	 *	Score 	Summary	Detail	
1	13631 52233	 * 	287.20	DCR|2LIT|2MLV|3VULN|3DUR	159DUR|2AART|3BELT|45LIT|59BPWR|69aVULN|7RCR|89MLV
2	21461 32131	 * 	280.17	DCR|2LIT|3VULN|1MLV|2CDMG|1DUR	1RCVC|27CDMG|379VULN|4MLV|5DUR|67LIT|7BPWR|8BELT|aRCR
3	54314 32131	   	278.93	DCR|2LIT|2MLV|3VULN|1SELL	1RMIN|2SELL|37MLV|4ERES|579VULN|67LIT|7BPWR|8BELT|aRCR
4	23351 22265	 * 	277.88	DCR|3LIT|2MLV|2VULN	12RCVC|37aLIT|47VULN|57aCGEN|6RPLT|7aBPWR|8RCR|9aMLV
5	21675 32231	   	277.88	DCR|2LIT|2VULN|1MLV|2CDMG|1AART	1RCVC|27CDMG|3MBVNT|4MLV|57VULN|67LIT|7BPWR|8RCR|9BEXP|aAART
6	21675 32241	   	277.88	DCR|2LIT|2VULN|1MLV|2CDMG|1AART	1RCVC|27CDMG|3MBVNT|4MLV|57VULN|67LIT|7BPWR|8RCR|9FEWX|aAART
7	43122 16321	 * 	276.51	DCR|2LIT|1FLTARM|1MLV|1VULN|1DMG	1FEWX|2AART|3ZMB|4DMG|5FLTARM|6VULN|7MLV|89LIT|aRCR
8	13122 16321	   	276.41	DCR|2LIT|1FLTARM|1MLV|1VULN|1DMG|1DUR	1DUR|2AART|3ZMB|4DMG|5FLTARM|6VULN|7MLV|89LIT|aRCR
9	21615 32383	   	275.98	DCR|2LIT|2VULN|1MLV|2CDMG|1AART	1RCVC|27CDMG|3MBVNT|4ERES|57VULN|67LIT|7BPWR|8MLV|9RCR|aAART
10	12434 42131	 * 	275.88	DCR|2LIT|2MLV|2VULN|2CDMG|2DUR	17DUR|27CDMG|34LIT|59VULN|67MLV|7BPWR|8BELT|aRCR
11	23624 43222	 * 	274.93	DCR|2MLV|3VULN|1LIT|1DMG	12RCVC|3DMG|457VULN|68MLV|9LIT|aRCR
12	23351 22325	   	272.48	DCR|3LIT|2MLV|2VULN	12RCVC|379LIT|47VULN|579CGEN|6RPLT|79BPWR|89MLV|aRCR
13	13631 52253	 * 	272.11	DCR|3LIT|1FLTARM|1MLV|1VULN|2DUR	15DUR|2AART|3BELT|459LIT|5BPWR|6VULN|7RCR|8MLV|aFLTARM
