0	Index      	 *	Score 	Summary	Detail	Bounty	
1	33128 37321	 * 	271.27	橙4易伤3等级3雷电1核弹	18a雷电2敌人爆炸378a易伤4加一58a等级6核弹8a序列升级9核	5
2	21114 36336	 * 	270.85	橙3易伤2伤害1等级1时间	18基地爆炸2雷电378易伤4时间5攻速68伤害8序列升级9等级a核	6
3	62513 23321	 * 	270.34	橙3易伤3时间3攻速1伤害	1策反28a攻速3伤害4雷电58a时间6金币生成78a易伤8a序列升级9核	1
4	62513 53321	   	270.34	橙3易伤3时间3攻速1伤害	1策反28a攻速3伤害4雷电58a时间6矿等78a易伤8a序列升级9核	1
5	31343 63431	 * 	265.09	橙3易伤3攻速1伤害3雷电1时间1核弹	19a雷电2金币生成39a攻速4伤害5时间6核79a易伤8核弹9a序列升级	3
6	21412 23135	   	262.45	橙3易伤2伤害1等级1时间	19基地爆炸259易伤3攻速4赏金塔6核7时间89伤害9序列升级a等级	1
7	21313 61361	   	262.36	橙4易伤2等级1暴击	1a基地爆炸235a易伤4雷电6核7暴击8a等级9平台a序列升级	1
8	11412 23135	   	262.25	橙3易伤2伤害1等级1时间	19挖尘259易伤3攻速4赏金塔6核7时间89伤害9序列升级a等级	1
9	33146 31336	 * 	261.17	橙3易伤2等级1伤害1暴击	1雷电2敌人爆炸367易伤49等级5暴击8核a伤害	7
10	11146 31336	   	261.07	橙3易伤2等级1伤害1暴击	1挖尘2雷电367易伤49等级5暴击8核a伤害	7
11	21114 35336	 * 	260.74	橙2易伤2伤害2时间1等级	18基地爆炸2雷电38易伤47时间5攻速68伤害8序列升级9等级a核	7
12	21128 37321	   	259.71	橙4易伤3等级1核弹	18a基地爆炸2雷电378a易伤4加一58a等级6核弹8a序列升级9核	5
13	63162 14223	 * 	259.65	橙3易伤3等级2时间1全技能	1策反246等级34时间4序列升级59a易伤7全技能8核	6
14	11363 61131	 * 	259.11	橙4易伤3时间1伤害	1挖尘2689易伤3低血量敌人4伤害567时间6序列升级a核	1
15	11643 21131	   	259.11	橙4易伤3时间1伤害	1挖尘2359易伤458时间5序列升级6低血量敌人7伤害a核	1
16	13613 21131	   	259.11	橙4易伤3时间1伤害	1挖尘258时间3459易伤5序列升级6低血量敌人7伤害a核	2
17	11643 11131	   	259.01	橙4易伤3时间1伤害	1挖尘2359易伤458时间5序列升级6挖青7伤害a核	1
18	13613 11131	   	259.01	橙4易伤3时间1伤害	1挖尘258时间3459易伤5序列升级6挖青7伤害a核	2
19	33128 37327	   	258.76	橙3易伤2等级2雷电1暴击1核弹	18雷电2敌人爆炸378易伤4加一58等级6核弹8序列升级9核a暴击	5
20	33132 31336	   	258.41	橙3易伤1等级1伤害1时间1暴击	1雷电2敌人爆炸367易伤4伤害5暴击8核9等级a时间	7
21	11132 31336	   	258.31	橙3易伤1等级1伤害1时间1暴击	1挖尘2雷电367易伤4伤害5暴击8核9等级a时间	7
22	21134 13336	   	257.65	橙2易伤2时间1等级1伤害2攻速2雷电	18基地爆炸26雷电38易伤4伤害56时间68序列升级78攻速9等级a核	5
23	21135 13336	   	257.65	橙2易伤2时间1等级1伤害2攻速2雷电	18基地爆炸26雷电38易伤4伤害56时间68序列升级78攻速9等级a核	4
24	21134 32326	 * 	256.87	橙2易伤2等级2伤害1时间	18基地爆炸2雷电38易伤46伤害5时间78等级8序列升级9策反a核	7
25	21134 52326	   	256.87	橙2易伤2等级2伤害1时间	18基地爆炸2雷电38易伤47伤害5时间68等级8序列升级9策反a核	5
26	21135 52326	   	256.87	橙2易伤2等级2伤害1时间	18基地爆炸2雷电38易伤47伤害5时间68等级8序列升级9策反a核	4
27	22513 13143	 * 	255.85	橙3易伤3时间2伤害	19基地爆炸2额外掉落36a时间459易伤7核89伤害9序列升级	4
28	22515 13143	   	255.85	橙3易伤3时间2伤害	19基地爆炸2额外掉落36a时间459易伤7核89伤害9序列升级	5
29	22523 13143	   	255.85	橙3易伤3时间2伤害	19基地爆炸2额外掉落36a时间459易伤7核89伤害9序列升级	3
30	12513 13143	   	255.65	橙3易伤3时间2伤害	19挖尘2额外掉落36a时间459易伤7核89伤害9序列升级	4
31	12515 13143	   	255.65	橙3易伤3时间2伤害	19挖尘2额外掉落36a时间459易伤7核89伤害9序列升级	5
32	12523 13143	   	255.65	橙3易伤3时间2伤害	19挖尘2额外掉落36a时间459易伤7核89伤害9序列升级	3
33	13316 61131	   	255.65	橙3易伤3时间2伤害	1挖尘267时间3低血量敌人489易伤56伤害6序列升级a核	2
34	25132 22616	 * 	255.00	橙4易伤1等级1伤害1暴击	168基地爆炸2暴击38掉矿4568易伤68序列升级7核9等级a伤害	10
35	15132 22616	   	254.70	橙4易伤1等级1伤害1暴击	168挖尘2暴击38掉矿4568易伤68序列升级7核9等级a伤害	10
36	21116 23115	   	254.24	橙3易伤2伤害1等级1时间	19基地爆炸259易伤35矿等4赏金塔59序列升级6核7时间89伤害a等级	1
37	21112 23115	   	254.14	橙3易伤2伤害1等级1时间	19基地爆炸259易伤3矿等4赏金塔6核7时间89伤害9序列升级a等级	1
38	21143 23115	   	254.14	橙3易伤2伤害1等级1时间	19基地爆炸249易伤3矿等5赏金邻近6核7时间89伤害9序列升级a等级	1
