0	Index      	 *	Score 	Summary	Detail	Bounty	
1	13211 24514	 * 	284.11	橙4易伤3伤害3暴击1全技能1卖塔	1随机矿2卖塔379a易伤4全技能59a暴击69a伤害8核9a序列升级	9
2	14122 62353	 * 	271.14	橙4易伤2等级2时间	1随机矿257a易伤3挖青4a等级6核8立即金币9a时间a序列升级	10
3	13211 26514	 * 	270.83	橙3易伤3伤害3暴击2全技能1卖塔	1随机矿2卖塔39a易伤47全技能59a暴击69a伤害8核9a序列升级	9
4	13211 62514	 * 	270.83	橙3易伤3伤害3暴击2全技能1卖塔	1随机矿2卖塔39a易伤46全技能59a暴击79a伤害8核9a序列升级	9
5	13213 32514	 * 	270.83	橙3易伤3伤害3暴击2全技能1卖塔	1随机矿2卖塔39a易伤45全技能69a暴击79a伤害8核9a序列升级	9
6	13211 24511	 * 	267.37	橙3易伤2伤害1等级2暴击1全技能1卖塔	1随机矿2卖塔379易伤4全技能59暴击69伤害8核9序列升级a等级	9
7	13211 24512	 * 	267.37	橙3易伤2伤害1等级2暴击1全技能1卖塔	1随机矿2卖塔379易伤4全技能59暴击69伤害8核9序列升级a等级	10
8	16126 32262	   	266.24	橙3易伤2等级2时间2攻速	1随机矿28等级3a攻速468易伤5赏金邻近78时间8序列升级9核	1
9	14121 63262	 * 	265.11	橙3易伤2等级2伤害	1随机矿258易伤3挖青48等级68伤害7赏金塔8序列升级9核a攻速	4
10	14122 63262	   	265.11	橙3易伤2等级2伤害	1随机矿258易伤3挖青48等级68伤害7赏金塔8序列升级9核a攻速	5
11	14133 66131	 * 	264.54	橙4易伤3伤害1时间	1随机矿2378易伤47挖尘567伤害7序列升级9时间a核	2
12	16513 32423	 * 	264.15	橙3易伤3时间2伤害	1随机矿24a时间36a易伤5攻速7核8矿等9a伤害a序列升级	10
13	14413 32423	   	264.15	橙3易伤3时间2伤害	1随机矿26a易伤34a时间5攻速7核8矿等9a伤害a序列升级	10
14	14432 32423	 * 	263.67	橙4易伤2伤害2时间	1随机矿256a易伤3a时间4策反7核8矿等9a伤害a序列升级	10
15	16532 32423	   	263.67	橙4易伤2伤害2时间	1随机矿2a时间356a易伤4策反7核8矿等9a伤害a序列升级	10
16	13212 32514	 * 	263.06	橙3易伤3伤害3暴击1全技能1卖塔	1随机矿2卖塔39a易伤4全技能5立即金币69a暴击79a伤害8核9a序列升级	9
17	13211 21513	 * 	262.96	橙3易伤3伤害3暴击1全技能1卖塔	1随机矿2卖塔39a易伤4全技能579暴击69a伤害8核9a序列升级	9
18	14413 32123	 * 	260.45	橙3易伤3时间1等级2攻速	1随机矿269易伤349时间59攻速7核8赏金邻近9序列升级a等级	7
19	16453 32123	   	260.45	橙3易伤3时间1等级2攻速	1随机矿239时间469易伤59攻速7核8赏金邻近9序列升级a等级	7
20	16513 32123	   	260.45	橙3易伤3时间1等级2攻速	1随机矿249时间369易伤59攻速7核8赏金邻近9序列升级a等级	7
21	63314 32131	 * 	260.37	橙4易伤2等级2暴击	19低血量敌人257a易伤3额外掉落49暴击69等级8核9序列升级	9
22	63314 32161	   	260.37	橙4易伤2等级2暴击	19低血量敌人257a易伤3额外掉落49暴击69等级8核9序列升级	8
23	63112 33226	 * 	259.70	橙5易伤1等级1伤害	13低血量敌人23568易伤3序列升级4最后敌人7等级9伤害a核	10
24	63112 33264	   	259.70	橙5易伤1等级1伤害	13低血量敌人23568易伤3序列升级4最后敌人7等级9核a伤害	9
25	63132 33264	   	259.70	橙5易伤1等级1伤害	13低血量敌人23568易伤3序列升级4敌人爆炸7等级9核a伤害	9
26	62126 32235	 * 	259.21	橙4易伤3时间1伤害	18低血量敌人2伤害3468易伤5赏金邻近789时间8序列升级a核	1
27	63344 32131	 * 	258.50	橙5易伤2等级1卖塔	19低血量敌人2579a易伤3额外掉落4卖塔69等级8核9序列升级	9
28	16126 32261	   	258.39	橙3易伤2等级2时间	1随机矿28等级3攻速468易伤5赏金邻近78时间8序列升级9核a敌人爆炸	1
29	35131 16113	   	258.39	橙3易伤2等级2时间	1立即金币2随机矿38等级48时间5赏金邻近678易伤8序列升级9核a雷电	1
30	35131 16113	   	258.39	橙3易伤2等级2时间	1立即金币2随机矿38等级48时间5赏金邻近678易伤8序列升级9核a雷电	2
31	35135 16113	   	258.39	橙3易伤2等级2时间	1立即金币2随机矿38等级48时间5赏金塔678易伤8序列升级9核a雷电	1
32	35135 16113	   	258.39	橙3易伤2等级2时间	1立即金币2随机矿38等级48时间5赏金塔678易伤8序列升级9核a雷电	2
33	12166 31125	 * 	258.27	橙3易伤3伤害2时间	1随机矿29最后敌人356易伤459伤害59序列升级79时间8赏金邻近a核	2
34	13166 31125	   	258.27	橙3易伤3伤害2时间	1随机矿29最后敌人356易伤459伤害59序列升级79时间8赏金邻近a核	1
35	35323 66123	   	258.27	橙3易伤3伤害2时间	1立即金币2随机矿37时间478易伤567伤害7序列升级9矿等a核	1
