0	Index      	 *	Score 	Summary	Detail	
1	41112 46823	 * 	289.99	DCR|3VULN|1LIT|1FLTARM|1MLV|1CDMG	1CDMG|2BEXP|3MBVNT|4LIT|59aVULN|6MLV|7RCR|8FLTARM
2	31624 53212	 * 	287.57	DCR|2LIT|3MLV|3VULN	12aLHND|36aMLV|456VULN|6aBPWR|7LWND|8aLIT|9RCR
3	31624 13212	   	282.15	DCR|2LIT|2MLV|3VULN	12aLHND|3aMLV|456VULN|7LWND|8aLIT|9RCR|aBPWR
4	31624 14212	   	282.15	DCR|2LIT|2MLV|3VULN	12aLHND|3aMLV|456VULN|7BEXP|8aLIT|9RCR|aBPWR
5	31336 36522	 * 	277.43	DCR|3LIT|2MLV|2VULN|1DUR	12aLHND|3aVULN|4DUR|56MLV|79aLIT|8RCR|aBPWR
6	41112 43363	 * 	276.71	DCR|2LIT|1FLTARM|1VULN|1MLV|1CDMG|1ASPD	1CDMG|2BEXP|3MBVNT|49LIT|5VULN|6MLV|7FLTARM|8ASPD|aRCR
7	43112 43363	   	276.71	DCR|2LIT|1FLTARM|1VULN|1MLV|1CDMG|1ASPD	1CDMG|2LWND|3MBVNT|49LIT|5VULN|6MLV|7FLTARM|8ASPD|aRCR
8	46112 43363	   	276.71	DCR|2LIT|1FLTARM|1VULN|1MLV|1CDMG|1ASPD	1CDMG|2FEWX|3MBVNT|49LIT|5VULN|6MLV|7FLTARM|8ASPD|aRCR
9	43112 42442	   	273.65	DCR|2LIT|3VULN|1MLV|1CDMG	1CDMG|2LWND|3MBVNT|49LIT|578VULN|6MLV|aRCR
10	43112 46824	   	271.69	DCR|1LIT|2VULN|1FLTARM|1MLV|1CDMG|1DUR	1CDMG|2LWND|3MBVNT|4LIT|59VULN|6MLV|7RCR|8FLTARM|aDUR
11	42112 46824	   	271.59	DCR|1LIT|2VULN|1FLTARM|1MLV|1CDMG|1DUR	1CDMG|2DUST|3MBVNT|4LIT|59VULN|6MLV|7RCR|8FLTARM|aDUR
12	13234 16432	 * 	270.95	DCR|3VULN|1LIT|1MLV|1DMG|1CDMG	1CGEN|238VULN|4CDMG|5FEWX|6LIT|7MLV|9DMG|aRCR
13	13213 15212	   	270.95	DCR|3VULN|1LIT|1MLV|1DMG|1CDMG	14CGEN|234VULN|4BPWR|5ERES|6MLV|7DMG|8LIT|9CDMG|aRCR
14	41112 43163	   	270.00	DCR|2LIT|1FLTARM|1VULN|1MLV|1CDMG	1CDMG|2BEXP|3MBVNT|49LIT|5VULN|6MLV|7FLTARM|8ZMB|aRCR
15	43112 43163	   	270.00	DCR|2LIT|1FLTARM|1VULN|1MLV|1CDMG	1CDMG|2LWND|3MBVNT|49LIT|5VULN|6MLV|7FLTARM|8ZMB|aRCR
16	46112 43163	   	270.00	DCR|2LIT|1FLTARM|1VULN|1MLV|1CDMG	1CDMG|2FEWX|3MBVNT|49LIT|5VULN|6MLV|7FLTARM|8ZMB|aRCR
17	41112 43143	   	269.39	DCR|1LIT|2VULN|1FLTARM|1MLV|1CDMG	1CDMG|2BEXP|3MBVNT|4LIT|59VULN|6MLV|7FLTARM|8ZMB|aRCR
18	32231 63346	 * 	268.68	ACR|2LIT|2MLV|2DMG|1VULN|1CDMG|1ASPD	1LHND|2BELT|3aLIT|4RCR|5ASPD|6CDMG|7aDMG|8VULN|9aMLV|aBPWR
