0	Index      	 *	Score 	Summary	Detail	
1	24241 26313	 * 	288.63	ACR|4VULN|2MLV|1LIT|1DMG|1ASPD	1ASPD|26MLV|3RCVC|4RCR|5678VULN|6BPWR|9DMG|aLIT
2	22223 15234	 * 	287.96	DCR|3LIT|2VULN|1MLV|1CDMG|1ASPD	1ASPD|26aLIT|3MLV|4LHND|5CDMG|7RCR|89VULN
3	23416 41311	 * 	287.84	DCR|2LIT|2VULN|2ASPD|1DMG|1NUKE|2ZMB	18ASPD|2DUST|38ZMB|49VULN|5DMG|68LIT|7RCR|8BPWR|aNUKE
4	31213 41432	 * 	285.96	DCR|3LIT|3DMG|1VULN|1MLV	1SPLARM|256DMG|345LIT|5BPWR|7DMSP|8RCR|9MLV|aVULN
5	31216 33623	 * 	281.57	DCR|3LIT|2VULN|2DMG|1CDMG	1SPLARM|25DMG|348LIT|6RCR|7CDMG|9aVULN
6	12261 31356	 * 	281.12	DCR|2LIT|2DMG|1VULN|1MLV|2ASPD	1AART|29ASPD|3FEWX|49LIT|5CGEN|6MLV|7RCR|89DMG|9BPWR|aVULN
7	22213 35211	 * 	274.45	DCR|3VULN|1LIT|1MLV|1DMG|1ASPD	1ASPD|2LIT|3MLV|4RMIN|5DUST|679VULN|8RCR|aDMG
8	22213 35216	 * 	273.55	DCR|4VULN|1LIT|1MLV|1ASPD	1ASPD|2LIT|3MLV|4RMIN|5DUST|679aVULN|8RCR
9	33213 53423	 * 	272.93	DCR|3LIT|2VULN|2ASPD|1DMG	1SPLARM|25ASPD|345LIT|5BPWR|6RPLT|79VULN|8RCR|aDMG
10	24241 23313	 * 	272.29	ACR|2MLV|3VULN|1LIT|2ASPD|1DMG	17ASPD|26MLV|3RCVC|4RCR|568VULN|6BPWR|9DMG|aLIT
11	53412 42211	 * 	272.06	DCR|2LIT|2VULN|1MLV|1DMG|2ZMB	17LWND|2CGEN|37ZMB|49VULN|5MLV|67LIT|7BPWR|8RCR|aDMG
12	31216 33624	   	271.02	DCR|3LIT|3DMG|1VULN|1CDMG	1SPLARM|25aDMG|348LIT|6RCR|7CDMG|9VULN
13	22223 15232	   	270.67	DCR|2LIT|2VULN|1MLV|1CDMG|1ASPD	1ASPD|26LIT|3MLV|4LHND|5CDMG|7RCR|89VULN|aBELT
14	22223 15233	   	270.67	DCR|2LIT|2VULN|1MLV|1CDMG|1ASPD	1ASPD|26LIT|3MLV|4LHND|5CDMG|7RCR|89VULN|aBEXP
15	22223 15235	   	270.67	DCR|2LIT|2VULN|1MLV|1CDMG|1ASPD	1ASPD|26LIT|3MLV|4aLHND|5CDMG|7RCR|89VULN
16	22212 45232	   	270.57	DCR|2LIT|2VULN|1MLV|1ASPD|1CDMG	1ASPD|2aLIT|3MLV|4RMIN|5ERES|6CDMG|7RCR|89VULN
17	22223 15231	   	270.57	DCR|2LIT|2VULN|1MLV|1ASPD|1CDMG	1ASPD|26LIT|3MLV|4LHND|5CDMG|7RCR|89VULN|aERES
18	31465 33323	   	269.77	DCR|3LIT|1VULN|1MLV|1DMG|1CDMG	15SPLARM|2DMG|3ERES|457LIT|5BPWR|6RCR|8MLV|9CDMG|aVULN
19	22225 25234	 * 	269.22	DCR|2LIT|2VULN|1MLV|2ASPD|1SELL	15ASPD|2aLIT|3MLV|4LHND|6SELL|7RCR|89VULN
20	22213 35265	   	268.77	DCR|2LIT|2VULN|1MLV|1ASPD|1CDMG	1ASPD|2aLIT|3MLV|4RMIN|5DUST|67VULN|8RCR|9CDMG
