0	Index      	 *	Score 	Summary	Detail	
1	43366 33123	 * 	284.40	DCR|2LIT|2MLV|3VULN	1FEWX|24MLV|3LSRREG|59aVULN|67LIT|8RCR
2	43342 33123	 * 	282.77	DCR|2LIT|4VULN|1MLV	1FEWX|2MLV|3LSRREG|459aVULN|67LIT|8RCR
3	44236 33123	 * 	282.77	DCR|2LIT|3VULN|1FLTARM|1CDMG|1SELL	1FEWX|2CDMG|3SELL|4FLTARM|59aVULN|67LIT|8RCR
4	45331 13235	 * 	281.16	ACR|3LIT|4VULN|1MLV	18FEWX|2RCR|3MLV|4689VULN|58aLIT|7BELT|8BPWR
5	62362 33123	   	277.25	DCR|2LIT|3VULN|1MLV|1ASPD	1LHND|259VULN|3MLV|4CANARM|67LIT|8RCR|aASPD
6	62362 33126	   	277.25	DCR|2LIT|3VULN|1MLV|1CDMG	1LHND|259VULN|3MLV|4CANARM|67LIT|8RCR|aCDMG
7	63342 33123	   	277.25	DCR|2LIT|3VULN|1MLV|1ASPD	1LHND|2MLV|3LSRREG|459VULN|67LIT|8RCR|aASPD
8	63342 33126	   	277.25	DCR|2LIT|3VULN|1MLV|1CDMG	1LHND|2MLV|3LSRREG|459VULN|67LIT|8RCR|aCDMG
9	63634 22322	 * 	277.08	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	1LHND|2MLV|3FEWX|45VULN|6ASPD|7RCR|8aLIT|9DMG
10	62331 16423	   	273.55	DCR|4VULN|1LIT|1MLV|1ASPD	1LHND|2457VULN|3MLV|6BASARM|8RCR|9LIT|aASPD
11	42332 22224	 * 	271.43	DCR|3VULN|1LIT|1MLV|1DMG	1FEWX|24aVULN|3MLV|5CGEN|6RCR|7ZMB|8DMG|9LIT
12	42335 22224	   	271.43	DCR|3VULN|1LIT|1MLV|1DMG	1FEWX|24aVULN|3MLV|5RMIN|6RCR|7ZMB|8DMG|9LIT
13	62335 22224	   	271.43	DCR|3VULN|1LIT|1MLV|1DMG	1LHND|24aVULN|3MLV|5RMIN|6RCR|7ZMB|8DMG|9LIT
14	43322 12352	 * 	270.66	DCR|2MLV|1LIT|2VULN|2DMG	1FEWX|2aMLV|3LSRREG|4LIT|5aDMG|6ERES|7aVULN|8MBVNT|9RCR|aBPWR
15	42232 33113	 * 	269.26	DCR|2LIT|3VULN|2DMG	1FEWX|25aVULN|3VENTOX|49DMG|67LIT|8RCR
16	41334 22334	   	266.54	DCR|2MLV|3VULN|1LIT|1ASPD	1FEWX|2LWND|39MLV|45aVULN|6ASPD|7RCR|8LIT
17	42314 22334	   	266.54	DCR|2MLV|3VULN|1LIT|1ASPD	1FEWX|25aVULN|39MLV|4BEXP|6ASPD|7RCR|8LIT
18	43141 34122	   	265.38	DCR|2MLV|1LIT|2DMG|1VULN|1CDMG	17FEWX|27MLV|3RPLT|4LIT|5VULN|67DMG|7BPWR|8RCR|9ZMB|aCDMG
19	63141 34122	   	265.38	DCR|2MLV|1LIT|2DMG|1VULN|1CDMG	17LHND|27MLV|3RPLT|4LIT|5VULN|67DMG|7BPWR|8RCR|9ZMB|aCDMG
20	62335 26322	   	265.23	DCR|2LIT|2VULN|1MLV|1DMG	1LHND|24VULN|3MLV|5RMIN|6RCR|7FEWX|8aLIT|9DMG
21	62335 21322	   	265.13	DCR|2LIT|2VULN|1MLV|1DMG	1LHND|24VULN|3MLV|5RMIN|6RCR|7DUST|8aLIT|9DMG
22	42232 36133	   	265.08	DCR|1LIT|2VULN|2DMG|1MLV	1FEWX|25VULN|3VENTOX|4aDMG|6LIT|7RCR|8ZMB|9MLV
23	62232 36133	   	265.08	DCR|1LIT|2VULN|2DMG|1MLV	1LHND|25VULN|3VENTOX|4aDMG|6LIT|7RCR|8ZMB|9MLV
24	42335 23224	   	264.50	DCR|3VULN|1LIT|1MLV|1DMG	1FEWX|24aVULN|3MLV|5RMIN|6RCR|7CGEN|8DMG|9LIT
25	45331 13231	   	263.87	ACR|2LIT|4VULN|1MLV	18FEWX|2RCR|3MLV|4689VULN|58LIT|7BELT|8BPWR|aRPLT
26	45331 13236	   	263.87	ACR|2LIT|4VULN|1MLV	18FEWX|2RCR|3MLV|4689VULN|58LIT|7BELT|8BPWR|aTLV
27	45331 13232	   	263.77	ACR|2LIT|4VULN|1MLV	18FEWX|2RCR|3MLV|4689VULN|58LIT|7BELT|8BPWR|aBASHEA
28	45331 13233	   	263.77	ACR|2LIT|4VULN|1MLV|1DUR	18FEWX|2RCR|3MLV|4689VULN|58LIT|7BELT|8BPWR|aDUR
29	45331 13234	   	263.77	ACR|2LIT|4VULN|1MLV	18FEWX|2RCR|3MLV|4689VULN|58LIT|7BELT|8BPWR|aERES
30	43342 33121	   	263.60	DCR|2LIT|3VULN|1MLV	1FEWX|2MLV|3LSRREG|459VULN|67LIT|8RCR|aLHND
31	43342 33124	   	263.60	DCR|2LIT|3VULN|1MLV	1FEWX|2MLV|3LSRREG|459VULN|67LIT|8RCR|aTLV
32	43342 33126	   	263.60	DCR|2LIT|3VULN|1MLV	1FEWX|2MLV|3LSRREG|459VULN|67LIT|8RCR|aCGEN
33	43342 33151	   	263.60	DCR|2LIT|3VULN|1MLV	1FEWX|2MLV|3LSRREG|45aVULN|67LIT|8RCR|9RPLT
34	62362 33121	   	263.60	DCR|2LIT|3VULN|1MLV	1aLHND|259VULN|3MLV|4CANARM|67LIT|8RCR
35	62362 33124	   	263.60	DCR|2LIT|3VULN|1MLV	1LHND|259VULN|3MLV|4CANARM|67LIT|8RCR|aTLV
36	62362 33125	   	263.60	DCR|2LIT|3VULN|1MLV	1LHND|259VULN|3MLV|4CANARM|67LIT|8RCR|aDMSP
37	62362 33151	   	263.60	DCR|2LIT|3VULN|1MLV	1LHND|25aVULN|3MLV|4CANARM|67LIT|8RCR|9RPLT
38	63342 33121	   	263.60	DCR|2LIT|3VULN|1MLV	1aLHND|2MLV|3LSRREG|459VULN|67LIT|8RCR
39	63342 33124	   	263.60	DCR|2LIT|3VULN|1MLV	1LHND|2MLV|3LSRREG|459VULN|67LIT|8RCR|aTLV
40	63342 33125	   	263.60	DCR|2LIT|3VULN|1MLV	1LHND|2MLV|3LSRREG|459VULN|67LIT|8RCR|aDMSP
41	63342 33151	   	263.60	DCR|2LIT|3VULN|1MLV	1LHND|2MLV|3LSRREG|45aVULN|67LIT|8RCR|9RPLT
42	43316 33123	   	263.60	DCR|2LIT|3VULN|1MLV	14FEWX|2MLV|3LSRREG|59aVULN|67LIT|8RCR
43	43636 33123	   	263.60	DCR|2LIT|3VULN|1MLV	13FEWX|2MLV|4LSRICY|59aVULN|67LIT|8RCR
44	43342 33122	   	263.50	DCR|2LIT|3VULN|1MLV|1DUR	1FEWX|2MLV|3LSRREG|459VULN|67LIT|8RCR|aDUR
45	43342 33125	   	263.50	DCR|2LIT|3VULN|1MLV	1FEWX|2MLV|3LSRREG|459VULN|67LIT|8RCR|aLEGI
46	62362 33122	   	263.50	DCR|2LIT|3VULN|1MLV	1LHND|259VULN|3MLV|4CANARM|67LIT|8RCR|aDUST
47	63342 33122	   	263.50	DCR|2LIT|3VULN|1MLV	1LHND|2MLV|3LSRREG|459VULN|67LIT|8RCR|aDUST
48	62332 21624	   	263.50	DCR|4VULN|1LIT|1MLV	1LHND|248aVULN|3MLV|5CGEN|6RCR|7DUST|9LIT
49	62336 52322	   	263.23	DCR|2LIT|2VULN|1MLV|1DMG	1LHND|24VULN|3MLV|5MBVNT|6ERES|7RCR|8aLIT|9DMG
50	42232 36222	   	262.70	DCR|3VULN|1LIT|1MLV|1DMG	1FEWX|259VULN|3VENTOX|4DMG|6LIT|7RCR|8RPLT|aMLV
51	42232 36532	   	262.70	DCR|3VULN|1LIT|1MLV|1DMG	1FEWX|25aVULN|3VENTOX|4DMG|6LIT|7RCR|8CGEN|9MLV
52	62232 36222	   	262.70	DCR|3VULN|1LIT|1MLV|1DMG	1LHND|259VULN|3VENTOX|4DMG|6LIT|7RCR|8RPLT|aMLV
53	23523 34513	   	262.05	DCR|2LIT|2VULN|1MLV|1ASPD	1ERES|2AART|3aLIT|4MLV|57VULN|6ASPD|8RCR|9ZMB
54	23533 24513	   	262.05	DCR|2LIT|2VULN|1MLV|1ASPD	1ERES|2AART|3aLIT|4ASPD|57VULN|6MLV|8RCR|9ZMB
55	45331 63222	   	262.00	ACR|3LIT|3VULN|1MLV	189FEWX|2RCR|3MLV|48aVULN|568LIT|7BELT|8BPWR
56	45331 13335	   	261.80	ACR|3LIT|3VULN|1MLV	1FEWX|2RCR|3MLV|469VULN|58aLIT|7BELT
57	42312 63148	 * 	261.65	ACR|2LIT|2VULN|2DMG|1MLV	1FEWX|2aVULN|3MLV|4BEXP|5RCR|6MBVNT|7aDMG|8ZMB|9aLIT|aBPWR
58	42232 33152	   	261.63	DCR|2LIT|2VULN|1MLV|1DMG	1FEWX|25VULN|3VENTOX|4DMG|67LIT|8RCR|9RPLT|aMLV
59	62232 33152	   	261.63	DCR|2LIT|2VULN|1MLV|1DMG	1LHND|25VULN|3VENTOX|4DMG|67LIT|8RCR|9RPLT|aMLV
60	43342 33111	   	261.53	DCR|2LIT|2VULN|1MLV|1DMG	1FEWX|2MLV|3LSRREG|45VULN|67LIT|8RCR|9DMG|aTLV
61	43342 33113	   	261.53	DCR|2LIT|2VULN|1MLV|1DMG	1FEWX|2MLV|3LSRREG|45VULN|67LIT|8RCR|9DMG|aRPLT
62	43342 33116	   	261.53	DCR|2LIT|2VULN|1MLV|1DMG	1FEWX|2MLV|3LSRREG|45VULN|67LIT|8RCR|9DMG|aLHND
63	43342 33163	   	261.53	DCR|2LIT|2VULN|1MLV|1DMG	1FEWX|2MLV|3LSRREG|45VULN|67LIT|8RCR|9LWND|aDMG
