0	Index      	 *	Score 	Summary	Detail	
1	23312 66236	 * 	329.75	DCR|4VULN|2MLV|1LIT|2DMG	137aVULN|2RMIN|47MLV|5LEGI|67DMG|7BPWR|8LIT|9RCR
2	21351 84148	 * 	316.34	DCR|3LIT|2MLV|3VULN	179VULN|29aLIT|37BEXP|47MGNSTR|5MBVNT|6RCR|79BPWR|89MLV
3	21241 84148	   	316.04	DCR|3LIT|2MLV|3VULN	179VULN|29aLIT|37TSLARM|47BEXP|5MBVNT|6RCR|79BPWR|89MLV
4	21251 84148	   	316.04	DCR|3LIT|2MLV|3VULN	179VULN|29aLIT|37TSLARM|47LWND|5MBVNT|6RCR|79BPWR|89MLV
5	21351 81143	   	316.04	DCR|3LIT|2MLV|3VULN	19aVULN|279LIT|3BEXP|4MGNSTR|5MBVNT|6RCR|89MLV|9BPWR
6	21241 81143	   	315.89	DCR|3LIT|2MLV|3VULN	19aVULN|279LIT|3TSLARM|4BEXP|5MBVNT|6RCR|89MLV|9BPWR
7	21251 81143	   	315.89	DCR|3LIT|2MLV|3VULN	19aVULN|279LIT|3TSLARM|4LWND|5MBVNT|6RCR|89MLV|9BPWR
8	21651 81143	   	315.89	DCR|3LIT|2MLV|3VULN	19aVULN|279LIT|3DUR|4MGNSTR|5MBVNT|6RCR|89MLV|9BPWR
9	21261 81143	   	315.74	DCR|3LIT|2MLV|3VULN	19aVULN|279LIT|3TSLARM|4DUST|5MBVNT|6RCR|89MLV|9BPWR
10	21261 84148	   	315.74	DCR|3LIT|2MLV|3VULN	179VULN|29aLIT|37TSLARM|47DUST|5MBVNT|6RCR|79BPWR|89MLV
11	21351 81144	   	312.93	DCR|3LIT|2MLV|2VULN|1NUKE	19VULN|279LIT|3BEXP|4MGNSTR|5MBVNT|6RCR|89MLV|9BPWR|aNUKE
12	21241 81144	   	312.78	DCR|3LIT|2MLV|2VULN|1NUKE	19VULN|279LIT|3TSLARM|4BEXP|5MBVNT|6RCR|89MLV|9BPWR|aNUKE
