0	Index      	 *	Score 	Summary	Detail	
1	12252 55242	 * 	309.02	DCR|2LIT|2VULN|2DMG|1MLV|2ASPD	1aASPD|29VULN|3aLIT|4MLV|5TLV|6RCR|7MBVNT|8aDMG|aBPWR
2	12256 22326	 * 	306.27	DCR|2LIT|3VULN|1MLV|2ASPD|1DMG	16ASPD|258VULN|37LIT|4MLV|9DMG|aRCR
3	15216 33361	 * 	305.21	ACR|3LIT|3VULN|3ASPD|2DMG	17aASPD|2RCR|378LIT|4RMIN|57aVULN|6DLOT|7aBPWR|9aDMG
4	12211 53562	 * 	300.12	DCR|2LIT|4VULN|1MLV|1ASPD	1ASPD|2789VULN|3aLIT|4RMIN|5MLV|6RCR
5	12233 53561	 * 	294.04	DCR|5VULN|1LIT|1MLV|1ASPD	1ASPD|24789VULN|3LIT|5DUR|6RCR|aMLV
6	33236 35332	   	292.92	DCR|2LIT|4VULN|1MLV|2DUR|1CDMG	17DUR|2MLV|37LIT|4567VULN|7BPWR|8CGEN|9CDMG|aRCR
7	33236 35612	   	292.92	DCR|2LIT|4VULN|1MLV|2DUR|1CDMG	17DUR|2MLV|37LIT|4567VULN|7BPWR|8CDMG|9CGEN|aRCR
8	33236 35632	   	292.92	DCR|2LIT|4VULN|1MLV|2DUR|1CDMG	17DUR|2MLV|37LIT|4567VULN|7BPWR|8CDMG|9RCVC|aRCR
9	12211 35332	 * 	292.72	DCR|2LIT|2MLV|2VULN|2ASPD|1CDMG	17ASPD|26VULN|37LIT|4RMIN|57MLV|7BPWR|8CGEN|9CDMG|aRCR
10	12211 53563	   	290.90	DCR|4VULN|1LIT|1MLV|1ASPD|1CDMG	1ASPD|2789VULN|3LIT|4RMIN|5MLV|6RCR|aCDMG
11	12211 53162	 * 	289.90	DCR|4VULN|1LIT|1MLV|2ASPD	19ASPD|279aVULN|3LIT|4RMIN|5MLV|6RCR|89LHND|9BPWR
12	12211 53262	   	289.90	DCR|4VULN|1LIT|1MLV|2ASPD	19ASPD|279aVULN|3LIT|4RMIN|5MLV|6RCR|89BEXP|9BPWR
13	12211 53362	   	289.90	DCR|4VULN|1LIT|1MLV|2ASPD	19ASPD|279aVULN|3LIT|4RMIN|5MLV|6RCR|89FEWX|9BPWR
14	12211 53462	   	289.70	DCR|4VULN|1LIT|1MLV|2ASPD	19ASPD|279aVULN|3LIT|4RMIN|5MLV|6RCR|89DUST|9BPWR
15	15232 33412	 * 	286.12	ACR|5VULN|2LIT|3ASPD	158ASPD|2RCR|39LIT|4679aVULN|9BPWR
16	15651 13233	 * 	285.61	ACR|2MLV|3VULN|1LIT|1DMG|1CDMG|1ASPD	1ASPD|2RCR|35MLV|4LIT|6CDMG|78aVULN|9DMG
17	12211 35365	   	285.35	DCR|2LIT|2MLV|2VULN|2ASPD	17ASPD|26VULN|37LIT|4RMIN|57MLV|7BPWR|8CGEN|9RCR|aZMB
18	12451 35321	 * 	284.25	DCR|2MLV|3VULN|1LIT|2ASPD	17ASPD|267VULN|3ZMB|4LIT|57MLV|7BPWR|8CGEN|9RCR|aRPLT
19	12451 35323	   	284.25	DCR|2MLV|3VULN|1LIT|2ASPD	17ASPD|267VULN|3ZMB|4LIT|57MLV|7BPWR|8CGEN|9RCR|aBELT
20	12451 35322	   	284.10	DCR|2MLV|3VULN|1LIT|2ASPD	17ASPD|267VULN|3ZMB|4LIT|57MLV|7BPWR|8CGEN|9RCR|aCANTOX
21	12211 55172	   	282.89	DCR|2LIT|2MLV|2VULN|2ASPD	19ASPD|2aVULN|39LIT|4RMIN|59MLV|6RCR|7MBVNT|8DMSP|9BPWR
22	33236 35361	   	281.07	DCR|2LIT|4VULN|1MLV|2DUR	17DUR|2MLV|37LIT|4567VULN|7BPWR|8CGEN|9RCR|aRPLT
23	33236 35363	   	281.07	DCR|2LIT|4VULN|1MLV|2DUR	17DUR|2MLV|37LIT|4567VULN|7BPWR|8CGEN|9RCR|aBELT
24	33236 35362	   	280.97	DCR|2LIT|4VULN|1MLV|2DUR	17DUR|2MLV|37LIT|4567VULN|7BPWR|8CGEN|9RCR|aCANTOX
25	11236 53142	   	280.95	DCR|2LIT|3VULN|1MLV|1ASPD	1ASPD|2LHND|3aLIT|457VULN|6RCR|8LWND|9MLV
26	11236 53242	   	280.95	DCR|2LIT|3VULN|1MLV|1ASPD	1ASPD|2LHND|3aLIT|457VULN|6RCR|8BEXP|9MLV
27	11236 53342	   	280.95	DCR|2LIT|3VULN|1MLV|1ASPD	1ASPD|2LHND|3aLIT|457VULN|6RCR|8FEWX|9MLV
28	12236 53142	   	280.95	DCR|2LIT|3VULN|1MLV|1ASPD	1ASPD|247VULN|3aLIT|5LHND|6RCR|8LWND|9MLV
29	12236 53242	   	280.95	DCR|2LIT|3VULN|1MLV|1ASPD	1ASPD|247VULN|3aLIT|5LHND|6RCR|8BEXP|9MLV
30	12236 53342	   	280.95	DCR|2LIT|3VULN|1MLV|1ASPD	1ASPD|247VULN|3aLIT|5LHND|6RCR|8FEWX|9MLV
31	13236 53142	   	280.95	DCR|2LIT|3VULN|1MLV|1ASPD	1ASPD|2FEWX|3aLIT|457VULN|6RCR|8LWND|9MLV
32	13236 53242	   	280.95	DCR|2LIT|3VULN|1MLV|1ASPD	1ASPD|2FEWX|3aLIT|457VULN|6RCR|8BEXP|9MLV
33	12226 53142	   	280.85	DCR|2LIT|3VULN|1MLV|1ASPD	1ASPD|257VULN|3aLIT|4DUST|6RCR|8LWND|9MLV
34	12226 53242	   	280.85	DCR|2LIT|3VULN|1MLV|1ASPD	1ASPD|257VULN|3aLIT|4DUST|6RCR|8BEXP|9MLV
35	12226 53342	   	280.85	DCR|2LIT|3VULN|1MLV|1ASPD	1ASPD|257VULN|3aLIT|4DUST|6RCR|8FEWX|9MLV
36	12233 53142	   	280.85	DCR|2LIT|3VULN|1MLV|1ASPD	1ASPD|247VULN|3aLIT|5DUR|6RCR|8LWND|9MLV
37	12233 53242	   	280.85	DCR|2LIT|3VULN|1MLV|1ASPD	1ASPD|247VULN|3aLIT|5DUR|6RCR|8BEXP|9MLV
38	12233 53342	   	280.85	DCR|2LIT|3VULN|1MLV|1ASPD	1ASPD|247VULN|3aLIT|5DUR|6RCR|8FEWX|9MLV
39	12233 53442	   	280.75	DCR|2LIT|3VULN|1MLV|1ASPD	1ASPD|247VULN|3aLIT|5DUR|6RCR|8DUST|9MLV
40	12246 53112	 * 	280.58	DCR|2LIT|4VULN|2ASPD	19ASPD|257aVULN|39LIT|4LEGI|6RCR|89LWND|9BPWR
41	12246 53212	   	280.58	DCR|2LIT|4VULN|2ASPD	19ASPD|257aVULN|39LIT|4LEGI|6RCR|89BEXP|9BPWR
42	12246 53312	   	280.58	DCR|2LIT|4VULN|2ASPD	19ASPD|257aVULN|39LIT|4LEGI|6RCR|89FEWX|9BPWR
43	11236 55112	   	280.58	DCR|2LIT|4VULN|2ASPD	19ASPD|2LHND|39LIT|459aVULN|6RCR|7MBVNT|8DMSP|9BPWR
44	13236 55312	   	280.58	DCR|2LIT|4VULN|2ASPD	19ASPD|28FEWX|39LIT|459aVULN|6RCR|7MBVNT|9BPWR
45	11232 53562	   	280.48	DCR|2LIT|4VULN|2ASPD	15ASPD|2LHND|3aLIT|4789VULN|6RCR
46	52231 34421	   	280.42	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	1TLV|24VULN|36LIT|5MLV|7DMG|8ASPD|9RCR|aZMB
47	62231 34421	   	280.42	DCR|2LIT|2VULN|1MLV|1DMG|1ASPD	1CGEN|24VULN|36LIT|5MLV|7DMG|8ASPD|9RCR|aZMB
48	12226 53612	   	280.38	DCR|2LIT|4VULN|2ASPD	19ASPD|257aVULN|39LIT|49DUST|6RCR|8MBVNT|9BPWR
49	15215 13236	   	279.32	ACR|2LIT|2VULN|3ASPD|2DMG|1CDMG	15aASPD|2RCR|3aLIT|4RMIN|6CDMG|78VULN|9aDMG|aBPWR
