0	Index      	 *	Score 	Summary	Detail	
1	62331 15152	 * 	297.04	橙橙2易伤2技能1暴击	1a易伤24技能3赏金塔5随机技能6暴雪减费79核8暴击
2	21632 31356	 * 	295.96	橙橙2易伤1矿等1技能	1随机矿2赏金邻近3技能48易伤5最后敌人69核7时间a矿等
3	62322 31356	   	295.96	橙橙2易伤1矿等1技能	18易伤2技能3赏金塔4金币生成5最后敌人69核7时间a矿等
4	63332 31356	   	295.86	橙橙2易伤1矿等1技能	18易伤2掉矿3赏金塔4技能5最后敌人69核7时间a矿等
5	32331 66152	   	283.99	橙橙1易伤2技能2随机技能1暴击	1时间24技能3赏金塔57随机技能69核8暴击a易伤
6	21632 31355	   	283.41	橙橙2易伤1技能1暴击	1随机矿2赏金邻近3技能48易伤5最后敌人69核7时间a暴击
7	62322 31355	   	283.41	橙橙2易伤1技能1暴击	18易伤2技能3赏金塔4金币生成5最后敌人69核7时间a暴击
8	63332 31355	   	283.31	橙橙2易伤1技能1暴击	18易伤2掉矿3赏金塔4技能5最后敌人69核7时间a暴击
9	12143 43225	 * 	279.87	橙2易伤2伤害1等级1矿等1暴击2随机技能	1金币生成29伤害3暴击4等级59易伤6核7雷电89随机技能9序列升级a矿等
10	32331 61152	   	277.37	橙橙1易伤2技能1暴击	1时间24技能3赏金塔5随机技能69核7立即金币8暴击a易伤
11	32331 15152	   	277.27	橙橙1易伤2技能1暴击	1时间24技能3赏金塔5随机技能6火球减费79核8暴击a易伤
12	32331 65152	   	277.27	橙橙1易伤2技能1暴击	1时间24技能3赏金塔5随机技能69核7风暴减费8暴击a易伤
13	61332 23246	 * 	269.78	橙3易伤3等级3暴击	178易伤2多重对愈378等级4挖尘5低血量敌人678暴击78序列升级9全技能a核
14	21632 31351	   	269.76	橙橙2易伤1技能	1随机矿2赏金邻近3技能48易伤5最后敌人69核7时间a平台
15	21632 33451	   	269.76	橙橙2易伤1技能	1随机矿2赏金邻近3技能47易伤5最后敌人69核8时间a平台
16	62322 31351	   	269.76	橙橙2易伤1技能	18易伤2技能3赏金塔4金币生成5最后敌人69核7时间a平台
17	62322 33451	   	269.76	橙橙2易伤1技能	17易伤2技能3赏金塔4金币生成5最后敌人69核8时间a平台
18	21632 31352	   	269.66	橙橙2易伤1技能	1随机矿2赏金邻近3技能48易伤5最后敌人69核7时间a基地爆炸
19	21632 31353	   	269.66	橙橙2易伤1技能	1随机矿2赏金邻近3技能48易伤5最后敌人69核7时间a掉矿
20	21632 31354	   	269.66	橙橙2易伤1技能1卖塔	1随机矿2赏金邻近3技能48易伤5最后敌人69核7时间a卖塔
21	21632 33452	   	269.66	橙橙2易伤1技能	1随机矿2赏金邻近3技能47易伤5最后敌人69核8时间a基地爆炸
22	21632 33453	   	269.66	橙橙2易伤1技能	1随机矿2赏金邻近3技能47易伤5最后敌人69核8时间a掉矿
23	62322 31352	   	269.66	橙橙2易伤1技能	18易伤2技能3赏金塔4金币生成5最后敌人69核7时间a基地爆炸
24	62322 31353	   	269.66	橙橙2易伤1技能	18易伤2技能3赏金塔4金币生成5最后敌人69核7时间a掉矿
25	62322 31354	   	269.66	橙橙2易伤1技能1卖塔	18易伤2技能3赏金塔4金币生成5最后敌人69核7时间a卖塔
26	62322 33452	   	269.66	橙橙2易伤1技能	17易伤2技能3赏金塔4金币生成5最后敌人69核8时间a基地爆炸
27	62322 33453	   	269.66	橙橙2易伤1技能	17易伤2技能3赏金塔4金币生成5最后敌人69核8时间a掉矿
28	63332 31351	   	269.66	橙橙2易伤1技能	18易伤2掉矿3赏金塔4技能5最后敌人69核7时间a平台
29	63332 33451	   	269.66	橙橙2易伤1技能	17易伤2掉矿3赏金塔4技能5最后敌人69核8时间a平台
30	63332 31352	   	269.56	橙橙2易伤1技能	18易伤2掉矿3赏金塔4技能5最后敌人69核7时间a基地爆炸
31	63332 31353	   	269.56	橙橙2易伤1技能	18易伤2a掉矿3赏金塔4技能5最后敌人69核7时间
32	63332 31354	   	269.56	橙橙2易伤1技能1卖塔	18易伤2掉矿3赏金塔4技能5最后敌人69核7时间a卖塔
33	63332 33452	   	269.56	橙橙2易伤1技能	17易伤2掉矿3赏金塔4技能5最后敌人69核8时间a基地爆炸
34	63332 33453	   	269.56	橙橙2易伤1技能	17易伤2a掉矿3赏金塔4技能5最后敌人69核8时间
