0	Index      	 *	Score 	Summary	Detail	
1	12532 32365	 * 	237.34	DCR|3VULN|1MDPS|2DMG|2ASPD|1AART	19aVULN|2aDMG|3ERES|4AART|5MDPS|6RCR|7FEWX|8aASPD|aBPWR
2	12532 32335	 * 	235.58	DCR|2VULN|2AART|1MDPS|2DMG|2ASPD	1aVULN|2aDMG|3ERES|49AART|5MDPS|6RCR|7FEWX|8aASPD|aBPWR
3	12532 36335	   	235.58	DCR|2VULN|2AART|1MDPS|2DMG|2ASPD	1aVULN|2aDMG|3ERES|49AART|5MDPS|6RCR|7BEXP|8aASPD|aBPWR
4	12652 13632	 * 	235.37	DCR|3VULN|2DMG|1AART|1ASPD|1CDMG	16aVULN|27DMG|3CDMG|4AART|5ASPD|8RCR|9FEWX
5	22452 13632	   	235.37	DCR|3VULN|2DMG|1AART|1ASPD|1CDMG	1CDMG|27DMG|36aVULN|4AART|5ASPD|8RCR|9FEWX
6	12652 13631	 * 	233.19	DCR|3DMG|2VULN|1AART|1ASPD|1CDMG	16VULN|27aDMG|3CDMG|4AART|5ASPD|8RCR|9FEWX
7	22452 13631	   	233.19	DCR|3DMG|2VULN|1AART|1ASPD|1CDMG	1CDMG|27aDMG|36VULN|4AART|5ASPD|8RCR|9FEWX
8	12224 61136	   	225.46	DCR|3DMG|2VULN|1AART|1CDMG|1ZMB	14VULN|248DMG|3BELT|4BPWR|5ZMB|6TSLFST|7RCR|9CDMG|aAART
9	13424 33413	 * 	221.82	DCR|4VULN|3DMG|1ZMB|1DUR	1289VULN|389MLV|4ZMB|5DUR|689DMG|7RPLT|89BPWR|aRCR
10	13624 33413	   	221.52	DCR|4VULN|3DMG|1ZMB|1DUR	1289VULN|389TLV|4ZMB|5DUR|689DMG|7RPLT|89BPWR|aRCR
11	12224 61135	 * 	219.52	DCR|3VULN|3DMG|1CDMG|1ZMB	14aVULN|248DMG|3BELT|4BPWR|5ZMB|6TSLFST|7RCR|9CDMG
12	12652 13623	   	217.87	DCR|2VULN|2DMG|1AART|1ASPD|1CDMG	16VULN|27DMG|3CDMG|4AART|5ASPD|8RCR|9MLV|aRCVC
13	22452 13623	   	217.87	DCR|2VULN|2DMG|1AART|1ASPD|1CDMG	1CDMG|27DMG|36VULN|4AART|5ASPD|8RCR|9MLV|aRCVC
14	23452 11342	   	217.78	DCR|3VULN|1AART|1ASPD|1DMG|1CDMG	1CDMG|2AME|36aVULN|4AART|5ASPD|7CGEN|8RCR|9DMG
15	12652 13613	   	217.77	DCR|2VULN|2DMG|1AART|1ASPD|1CDMG	16VULN|27DMG|3CDMG|4AART|5ASPD|8RCR|9ERES|aRCVC
16	22452 13613	   	217.77	DCR|2VULN|2DMG|1AART|1ASPD|1CDMG	1CDMG|27DMG|36VULN|4AART|5ASPD|8RCR|9ERES|aRCVC
17	12652 13621	   	217.54	DCR|2VULN|2DMG|1AART|1ASPD|1CDMG	16VULN|27DMG|3CDMG|4AART|5ASPD|8RCR|9MLV|aLHND
18	22452 13621	   	217.54	DCR|2VULN|2DMG|1AART|1ASPD|1CDMG	1CDMG|27DMG|36VULN|4AART|5ASPD|8RCR|9MLV|aLHND
19	23452 11341	   	217.54	DCR|2VULN|2DMG|1AART|1ASPD|1CDMG	1CDMG|2AME|36VULN|4AART|5ASPD|7CGEN|8RCR|9aDMG
20	12652 13611	   	217.44	DCR|2VULN|2DMG|1AART|1ASPD|1CDMG	16VULN|27DMG|3CDMG|4AART|5ASPD|8RCR|9ERES|aLHND
21	12652 13622	   	217.44	DCR|2VULN|2DMG|1AART|1ASPD|1CDMG|1MSE	16VULN|27DMG|3CDMG|4AART|5ASPD|8RCR|9MLV|aMSE
22	12652 13633	   	217.44	DCR|2VULN|2DMG|1AART|1ASPD|1CDMG	16VULN|27DMG|3CDMG|4AART|5ASPD|8RCR|9FEWX|aERES
23	22452 13611	   	217.44	DCR|2VULN|2DMG|1AART|1ASPD|1CDMG	1CDMG|27DMG|36VULN|4AART|5ASPD|8RCR|9ERES|aLHND
24	22452 13622	   	217.44	DCR|2VULN|2DMG|1AART|1ASPD|1CDMG|1MSE	1CDMG|27DMG|36VULN|4AART|5ASPD|8RCR|9MLV|aMSE
25	22452 13633	   	217.44	DCR|2VULN|2DMG|1AART|1ASPD|1CDMG	1CDMG|27DMG|36VULN|4AART|5ASPD|8RCR|9FEWX|aERES
26	12652 13612	   	217.34	DCR|2VULN|2DMG|1AART|1ASPD|1CDMG|1MSE	16VULN|27DMG|3CDMG|4AART|5ASPD|8RCR|9ERES|aMSE
27	22452 13612	   	217.34	DCR|2VULN|2DMG|1AART|1ASPD|1CDMG|1MSE	1CDMG|27DMG|36VULN|4AART|5ASPD|8RCR|9ERES|aMSE
28	13214 35832	 * 	216.94	DCR|5VULN|2DMG|2DUR	1238aVULN|4LEGI|5aDUR|6aDMG|7MBVNT|9RCR|aBPWR
29	13241 35832	   	216.94	DCR|5VULN|2DMG|2DUR	1238aVULN|4aDUR|5LEGI|6aDMG|7MBVNT|9RCR|aBPWR
