0	Index      	 *	Score 	Summary	Detail	
1	56313 14322	 * 	244.81	DCR|4VULN|3DMG|1AART|1CDMG	157DMG|2358VULN|4AART|5BPWR|6TLV|9RCR|aCDMG
2	56313 51212	   	238.97	DCR|4VULN|3DMG|1AART|1DUR	159DMG|235aVULN|4AART|5BPWR|6DUR|7RPLT|8RCR
3	56313 14321	   	235.34	DCR|4VULN|3DMG|1AART|1AAC	157DMG|2358VULN|4AART|5BPWR|6TLV|9RCR|aAAC
4	56314 13233	 * 	235.11	DCR|2VULN|2AART|2DMG|1ASPD|2DUR	18DMG|23VULN|4aAART|58LIT|6RCR|78DUR|8BPWR|9ASPD
5	56313 41212	   	230.66	DCR|4VULN|3DMG|1AART	159DMG|235aVULN|4AART|5BPWR|6FEWX|7RPLT|8RCR
6	56313 61212	   	230.66	DCR|4VULN|3DMG|1AART	159DMG|235aVULN|4AART|5BPWR|6LWND|7RPLT|8RCR
7	56312 14322	   	228.86	DCR|3VULN|3DMG|1AART|1CDMG	157DMG|238VULN|4AART|6TLV|9RCR|aCDMG
8	56313 14323	   	228.46	DCR|4VULN|3DMG|1AART	157DMG|2358VULN|4AART|5BPWR|6TLV|9RCR|aDUST
9	56313 51221	 * 	226.19	DCR|3VULN|2DMG|1MDPS|1AART|1DUR	15DMG|235VULN|4AART|5BPWR|6DUR|7RPLT|8RCR|9MDPS|aDUST
10	56313 51222	 * 	226.19	DCR|4VULN|2DMG|1MDPS|1AART|1DUR	15DMG|235aVULN|4AART|5BPWR|6DUR|7RPLT|8RCR|9MDPS
11	56313 51223	   	226.19	DCR|3VULN|2DMG|1MDPS|1AART|1DUR	15DMG|235VULN|4AART|5BPWR|6DUR|7RPLT|8RCR|9MDPS|aRMIN
12	56313 51213	   	223.12	DCR|3VULN|3DMG|1AART|1DUR	159DMG|235VULN|4AART|5BPWR|6DUR|7RPLT|8RCR|aRMIN
13	56313 51211	   	223.02	DCR|3VULN|3DMG|1AART|1DUR	159DMG|235VULN|4AART|5BPWR|6DUR|7RPLT|8RCR|aDUST
14	56312 51212	   	223.02	DCR|3VULN|3DMG|1AART|1DUR	159DMG|23aVULN|4AART|6DUR|7RPLT|8RCR
15	56313 33222	   	221.61	DCR|3VULN|2DMG|1MDPS|1AART|1CDMG|1DUR	15DMG|235VULN|4AART|5BPWR|6MDPS|7CGEN|8CDMG|9RCR|aDUR
16	56313 12222	   	221.51	DCR|3VULN|2DMG|1MDPS|1AART|1CDMG|1DUR	15DMG|235VULN|4AART|5BPWR|6TLV|7MDPS|8CDMG|9RCR|aDUR
17	56313 31222	   	221.51	DCR|3VULN|2DMG|1MDPS|1AART|1CDMG|1DUR	15DMG|235VULN|4AART|5BPWR|6MDPS|7ERES|8CDMG|9RCR|aDUR
18	56312 14321	   	219.39	DCR|3VULN|3DMG|1AART|1AAC	157DMG|238VULN|4AART|6TLV|9RCR|aAAC
19	56314 13232	   	219.04	DCR|2VULN|2DMG|1AART|1ASPD|2DUR	18DMG|23VULN|4AART|58LIT|6RCR|78DUR|8BPWR|9ASPD|aLWND
20	56314 13231	   	218.94	DCR|2VULN|2DMG|1AART|1ASPD|2DUR	18DMG|23VULN|4AART|58LIT|6RCR|78DUR|8BPWR|9ASPD|aTLV
21	56313 14223	   	218.92	DCR|3VULN|3DMG|1AART|1DUR	157DMG|235VULN|4AART|5BPWR|6TLV|8MBVNT|9DUR|aRCR
22	56313 41221	   	217.88	DCR|3VULN|2DMG|1MDPS|1AART	15DMG|235VULN|4AART|5BPWR|6FEWX|7RPLT|8RCR|9MDPS|aDUST
23	56313 41222	   	217.88	DCR|4VULN|2DMG|1MDPS|1AART	15DMG|235aVULN|4AART|5BPWR|6FEWX|7RPLT|8RCR|9MDPS
24	56313 41223	   	217.88	DCR|3VULN|2DMG|1MDPS|1AART	15DMG|235VULN|4AART|5BPWR|6FEWX|7RPLT|8RCR|9MDPS|aRMIN
25	56313 61221	   	217.88	DCR|3VULN|2DMG|1MDPS|1AART	15DMG|235VULN|4AART|5BPWR|6LWND|7RPLT|8RCR|9MDPS|aDUST
26	56313 61222	   	217.88	DCR|4VULN|2DMG|1MDPS|1AART	15DMG|235aVULN|4AART|5BPWR|6LWND|7RPLT|8RCR|9MDPS
27	56313 61223	   	217.88	DCR|3VULN|2DMG|1MDPS|1AART	15DMG|235VULN|4AART|5BPWR|6LWND|7RPLT|8RCR|9MDPS|aRMIN
28	56313 41213	   	214.81	DCR|3VULN|3DMG|1AART	159DMG|235VULN|4AART|5BPWR|6FEWX|7RPLT|8RCR|aRMIN
29	56313 61213	   	214.81	DCR|3VULN|3DMG|1AART	159DMG|235VULN|4AART|5BPWR|6LWND|7RPLT|8RCR|aRMIN
