0	Index      	 *	Score 	Summary	Detail	
1	51444 37413	 * 	222.63	DCR|3VULN|2AART|1DMG|1CDMG	1MBVNT|25aVULN|3RMIN|48AART|6CDMG|7RCR|9DMG
2	51444 37433	 * 	222.63	DCR|3VULN|2AART|1ASPD|1CDMG	1MBVNT|25aVULN|3RMIN|48AART|6CDMG|7RCR|9ASPD
3	54343 33363	 * 	222.46	DCR|2VULN|2DMG|2ASPD|3CDMG	1MBVNT|245CDMG|34ASPD|4BPWR|69DMG|7aVULN|8RCR
4	51444 83743	 * 	222.46	DCR|2VULN|2DMG|1AART|1ASPD|1ZMB	1MBVNT|25VULN|3RMIN|4AART|6RCR|7ASPD|8aDMG|9ZMB
5	51444 84148	 * 	220.95	DCR|2VULN|2AART|1ASPD|1DMG|1ZMB	1MBVNT|25VULN|3RMIN|47AART|6RCR|8ASPD|9ZMB|aDMG
6	51444 83733	 * 	219.09	DCR|2VULN|2ASPD|1AART|1DMG|1ZMB	1MBVNT|25VULN|3RMIN|4AART|6RCR|79ASPD|8DMG|aZMB
7	51444 84173	   	218.92	DCR|2VULN|2AART|1ASPD|1DMG|1DUR	1MBVNT|25VULN|3RMIN|47AART|6RCR|8ASPD|9DUR|aDMG
8	51744 83243	 * 	217.40	DCR|3VULN|2ASPD|1AART|2ZMB	1MBVNT|25aVULN|3TLV|4AART|6RCR|7aASPD|8RMIN|9aZMB|aBPWR
9	51444 83731	   	217.07	DCR|2VULN|2ASPD|1AART|1DMG|1DUR	1MBVNT|25VULN|3RMIN|4AART|6RCR|79ASPD|8DMG|aDUR
10	51744 84123	 * 	215.77	DCR|3VULN|2AART|2ASPD	1MBVNT|25aVULN|3TLV|47AART|6RCR|8aASPD|9aFEWX|aBPWR
11	51744 84233	   	215.77	DCR|3VULN|2AART|2ASPD	1MBVNT|25aVULN|3TLV|47AART|6RCR|8aLHND|9aASPD|aBPWR
12	51744 84433	   	215.57	DCR|3VULN|2AART|2ASPD	1MBVNT|25aVULN|3TLV|47AART|6RCR|8aDUST|9aASPD|aBPWR
13	54343 33376	 * 	215.01	DCR|3ASPD|2DMG|3CDMG|1VULN	1MBVNT|245CDMG|349ASPD|4BPWR|6aDMG|7VULN|8RCR
14	51444 37332	   	214.87	DCR|3VULN|1AART|1ASPD|1CDMG|1DUR	1MBVNT|25aVULN|3RMIN|4AART|6CDMG|7RCR|8DUR|9ASPD
15	51444 37362	   	214.87	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1MBVNT|25aVULN|3RMIN|4AART|6CDMG|7RCR|8DUR|9DMG
16	51444 84115	 * 	213.65	DCR|3VULN|3AART|1ASPD	1MBVNT|25aVULN|3RMIN|479AART|6RCR|8ASPD
17	54344 81833	 * 	213.42	DCR|2ASPD|1VULN|1AART|2CDMG|1DMG|1DUR	1MBVNT|24CDMG|34ASPD|4BPWR|5DUST|6RCR|7DMG|8DUR|9AART|aVULN
18	51117 44234	 * 	213.24	DCR|3VULN|1MDPS|2ASPD|1AART|2DUR	1MBVNT|25aVULN|3FEWX|4MDPS|6RCR|7AART|8aDUR|9aASPD|aBPWR
19	51444 83744	   	213.18	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1MBVNT|25VULN|3RMIN|4AART|6RCR|7ASPD|8DMG|9ZMB|aDUR
20	51744 83133	 * 	212.62	DCR|3VULN|3ASPD|1AART	1MBVNT|25aVULN|3TLV|4AART|6RCR|79aASPD|8aLHND|aBPWR
21	51444 83713	   	212.13	DCR|2VULN|2DMG|1AART|1ASPD	1MBVNT|25VULN|3RMIN|4AART|6RCR|7ASPD|8aDMG|9CGEN
22	51444 84111	 * 	212.07	DCR|3AART|2VULN|1ASPD|1CDMG	1MBVNT|25VULN|3RMIN|479AART|6RCR|8ASPD|aCDMG
23	54723 12345	 * 	211.97	DCR|2VULN|2ASPD|1AART|2CDMG|1ZMB	1MBVNT|2aCDMG|3RPLT|4ZMB|5BELT|6AART|7aASPD|8RCR|9aVULN|aBPWR
24	51444 83612	   	211.88	DCR|2VULN|2AART|1ASPD|1DMG|2RMIN	1MBVNT|25VULN|38RMIN|49AART|6RCR|7ASPD|aDMG
25	51444 83512	   	211.80	DCR|2VULN|2AART|1ASPD|1DMG	1MBVNT|25VULN|3RMIN|49AART|6RCR|7ASPD|8RCVC|aDMG
26	51444 84123	   	210.62	DCR|2VULN|2AART|1ASPD|1DMG	1MBVNT|25VULN|3RMIN|47AART|6RCR|8ASPD|9FEWX|aDMG
27	51444 84132	   	210.62	DCR|2VULN|2AART|1ASPD|1DMG	1MBVNT|25VULN|3RMIN|47AART|6RCR|8ASPD|9AELBLL|aDMG
28	51444 84163	   	210.62	DCR|2VULN|2AART|1ASPD|1DMG	1MBVNT|25VULN|3RMIN|47AART|6RCR|8ASPD|9LHND|aDMG
29	51444 84233	   	210.62	DCR|2VULN|2AART|1ASPD|1DMG	1MBVNT|25VULN|3RMIN|47AART|6RCR|8LWND|9ASPD|aDMG
30	51444 84433	   	210.52	DCR|2VULN|2AART|1ASPD|1DMG	1MBVNT|25VULN|3RMIN|47AART|6RCR|8DUST|9ASPD|aDMG
31	54348 14383	   	209.77	DCR|2VULN|2ASPD|1AART|2CDMG|1ZMB	1MBVNT|24CDMG|34ASPD|4BPWR|5ZMB|6DUST|7AART|8aVULN|9RCR
32	54722 34318	 * 	209.29	DCR|3VULN|2DMG|2CDMG|1AAC|1ZMB	1MBVNT|2aCDMG|3RPLT|4ZMB|59aVULN|6aDMG|7AAC|8RCR|aBPWR
33	51444 84141	   	209.19	DCR|2VULN|2AART|1ASPD|1ZMB|1DUR	1MBVNT|25VULN|3RMIN|47AART|6RCR|8ASPD|9ZMB|aDUR
34	54342 83823	 * 	209.08	DCR|3DMG|3ASPD|3CDMG	1MBVNT|246CDMG|34aASPD|4aBPWR|5aLIT|7RCR|89aDMG
35	51444 37124	 * 	208.79	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1MBVNT|25VULN|3RMIN|4AART|6CDMG|7RCR|8SPLJET|9ASPD|aDMG
36	51444 83133	   	208.76	DCR|2VULN|2ASPD|1AART|1DMG	1MBVNT|25VULN|3RMIN|4AART|6RCR|79ASPD|8LHND|aDMG
37	51444 83333	   	208.76	DCR|2VULN|2ASPD|1AART|1DMG	1MBVNT|25VULN|3RMIN|4AART|6RCR|79ASPD|8FEWX|aDMG
38	51444 83734	   	208.76	DCR|2VULN|2ASPD|1AART|1DMG	1MBVNT|25VULN|3RMIN|4AART|6RCR|79ASPD|8DMG|aLWND
39	51444 83233	   	208.66	DCR|2VULN|2ASPD|1AART|1DMG	1MBVNT|25VULN|3RMIN|4AART|6RCR|79ASPD|8DUST|aDMG
40	51444 83732	   	208.66	DCR|2VULN|2ASPD|1AART|1DMG	1MBVNT|25VULN|3RMIN|4AART|6RCR|79ASPD|8DMG|aDUST
41	51544 37433	   	207.93	DCR|3VULN|1AART|1ASPD|1CDMG|1DUR	1MBVNT|25aVULN|3AME|4AART|6CDMG|7RCR|8DUR|9ASPD
42	51444 37213	   	207.83	DCR|3VULN|1AART|1DMG|1CDMG|2RMIN	1MBVNT|25aVULN|38RMIN|4AART|6CDMG|7RCR|9DMG
43	51444 37233	   	207.83	DCR|3VULN|1AART|1ASPD|1CDMG|2RMIN	1MBVNT|25aVULN|38RMIN|4AART|6CDMG|7RCR|9ASPD
44	51744 37433	   	207.83	DCR|3VULN|1AART|1ASPD|1CDMG|1DUR	1MBVNT|25aVULN|3TLV|4AART|6CDMG|7RCR|8DUR|9ASPD
45	51444 37813	   	207.74	DCR|3VULN|1AART|1DMG|1CDMG	1MBVNT|25aVULN|3RMIN|4AART|6CDMG|7RCR|8RCVC|9DMG
46	51444 37833	   	207.74	DCR|3VULN|1AART|1ASPD|1CDMG	1MBVNT|25aVULN|3RMIN|4AART|6CDMG|7RCR|8RCVC|9ASPD
47	51444 37337	   	207.37	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	1MBVNT|25VULN|3RMIN|4AART|6CDMG|7RCR|8DUR|9ASPD|aZMB
48	51481 44422	 * 	207.16	DCR|3VULN|2DMG|1AART|2RMIN	1MBVNT|256VULN|34RMIN|6BPWR|7AART|8RCR|9aDMG
49	51362 32145	 * 	207.00	DCR|2VULN|2DMG|1AART|2CDMG	1MBVNT|2aVULN|3aCDMG|4AART|5AME|6RPLT|7RCR|8LWND|9aDMG|aBPWR
50	51361 32145	   	206.90	DCR|2VULN|2DMG|1AART|2CDMG	1MBVNT|2aVULN|3aCDMG|4AART|5ERES|6RPLT|7RCR|8LWND|9aDMG|aBPWR
51	51444 84237	   	206.80	DCR|2VULN|2AART|1ASPD|1CDMG	1MBVNT|25VULN|3RMIN|47AART|6RCR|8LWND|9ASPD|aCDMG
52	54213 17643	   	206.70	DCR|2VULN|2DMG|1AART|2CDMG|1AAC	1MBVNT|29CDMG|3AART|4AAC|56DMG|7RCR|8aVULN
53	51444 37632	   	206.56	DCR|3VULN|1AART|1ASPD|1CDMG	1MBVNT|25aVULN|3RMIN|4AART|6CDMG|7RCR|8LHND|9ASPD
54	54213 17634	 * 	206.39	DCR|2DMG|1VULN|1AART|2CDMG|1ASPD|1AAC	1MBVNT|2aCDMG|3AART|4AAC|56DMG|7RCR|8VULN|9ASPD
55	54343 33364	   	206.25	DCR|2DMG|2ASPD|3CDMG|1VULN	1MBVNT|245CDMG|34ASPD|4BPWR|69DMG|7VULN|8RCR|aRMIN
