0	Index      	 *	Score 	Summary	Detail	
1	42563 22133	 * 	227.29	DCR|2VULN|2DMG|1AART|1ASPD|1CDMG|2DUR	17DUR|27DMG|3CDMG|4ASPD|57VULN|6AART|7BPWR|8CGEN|9LIT|aRCR
2	42213 63632	 * 	221.48	ACR|2VULN|2DMG|3CDMG|1AART|1ASPD|2DUR	17DUR|27DMG|3ASPD|4RCR|58VULN|679CDMG|7BPWR|aAART
3	22242 25231	 * 	219.11	DCR|3DMG|2ASPD|1AART|1VULN|1ZMB	1FEWX|24aDMG|34ASPD|4BPWR|5VULN|6LEGI|7AART|8ZMB|9RCR
4	42213 63335	 * 	219.06	ACR|3DMG|1MDPS|1VULN|1AART|2CDMG|1ASPD|2DUR	17DUR|278DMG|3ASPD|4RCR|5VULN|67CDMG|7BPWR|9AART|aMDPS
5	22241 53123	 * 	217.72	DCR|3DMG|2VULN|2ASPD|1ZMB	1FEWX|249DMG|34ASPD|4BPWR|5CANSTR|6aVULN|7ZMB|8RCR
6	22242 35331	   	217.19	DCR|3DMG|2ASPD|1VULN|1AART|1DUR	1FEWX|24aDMG|34ASPD|4BPWR|5VULN|6CGEN|7AART|8DUR|9RCR
7	22242 45331	   	217.19	DCR|3DMG|2ASPD|1VULN|1AART|1DUR	1FEWX|24aDMG|34ASPD|4BPWR|5VULN|6MLV|7AART|8DUR|9RCR
8	42242 11131	   	217.19	DCR|3DMG|2ASPD|1VULN|1AART|1DUR	1DUR|24aDMG|34ASPD|4BPWR|5VULN|6BEXP|7RMIN|8AART|9RCR
9	42242 31131	   	217.19	DCR|3DMG|2ASPD|1VULN|1AART|1DUR	1DUR|24aDMG|34ASPD|4BPWR|5VULN|6CGEN|7FEWX|8AART|9RCR
10	42242 35231	   	217.19	DCR|3DMG|2ASPD|1AART|1VULN|1DUR	1DUR|24aDMG|34ASPD|4BPWR|5VULN|6CGEN|7AART|8LWND|9RCR
11	42242 41131	   	217.19	DCR|3DMG|2ASPD|1VULN|1AART|1DUR	1DUR|24aDMG|34ASPD|4BPWR|5VULN|6MLV|7FEWX|8AART|9RCR
12	42242 51131	   	217.19	DCR|3DMG|2ASPD|1VULN|1AART|1DUR	1DUR|24aDMG|34ASPD|4BPWR|5VULN|6FEWX|7RMIN|8AART|9RCR
13	11333 66522	 * 	217.11	DCR|3ASPD|2VULN|2DMG|1CDMG	1BELT|29DMG|39CGEN|4CDMG|58VULN|679ASPD|9BPWR|aRCR
14	22242 65331	   	217.09	DCR|3DMG|2ASPD|1VULN|1AART|1DUR	1FEWX|24aDMG|34ASPD|4BPWR|5VULN|6ERES|7AART|8DUR|9RCR
15	42242 15131	   	217.09	DCR|3DMG|2ASPD|1VULN|1AART|1DUR	1DUR|24aDMG|34ASPD|4BPWR|5VULN|6BEXP|7ERES|8AART|9RCR
16	42242 21131	   	217.09	DCR|3DMG|2ASPD|1AART|1VULN|1DUR	1DUR|24aDMG|34ASPD|4BPWR|5VULN|6LEGI|7RMIN|8AART|9RCR
17	42242 25331	   	216.99	DCR|3DMG|2ASPD|1VULN|1AART|1DUR	1DUR|24aDMG|34ASPD|4BPWR|5VULN|6LEGI|7AART|8TLV|9RCR
