0	Index      	 *	Score 	Summary	Detail	
1	14334 58433	 * 	227.01	DCR|2VULN|2DMG|1MDPS|3ZMB|1AART|2CDMG	1MBVNT|248ZMB|34CDMG|48BPWR|58VULN|6MDPS|78DMG|9AART|aRCR
2	17334 53236	 * 	221.62	DCR|3ASPD|2VULN|1MDPS|3CDMG|1AART	1MBVNT|24aASPD|34aCDMG|4aBPWR|5aVULN|6MDPS|7RPLT|8RCR|9AART
3	14367 43228	 * 	220.56	DCR|2VULN|2ASPD|2CDMG|1DMG|1ZMB|1DUR	1MBVNT|2ZMB|3aCDMG|4LIT|5DUR|6RCR|7aVULN|8DMG|9aASPD|aBPWR
4	14384 43228	   	220.56	DCR|2VULN|2ASPD|2CDMG|1DMG|1ZMB|1DUR	1MBVNT|2ZMB|3aCDMG|4DUR|5LIT|6RCR|7aVULN|8DMG|9aASPD|aBPWR
5	24342 32216	 * 	214.55	DCR|3VULN|2DMG|3CDMG|1ZMB	14aVULN|2CGEN|37aCDMG|5ZMB|6LIT|8aDMG|9RCR|aBPWR
6	33235 32135	 * 	213.72	DCR|3DMG|2VULN|1ASPD|3DUR|1SELL	1SELL|245DUR|348DMG|48BPWR|68VULN|7RCR|9BELT|aASPD
7	33235 32151	 * 	212.39	DCR|3DMG|2VULN|1MDPS|3DUR|1SELL|1MSE	1SELL|245DUR|348DMG|48BPWR|68VULN|7RCR|9MDPS|aMSE
8	33235 32152	 * 	212.39	DCR|3DMG|2VULN|1MDPS|3DUR|1SELL	1SELL|245DUR|348DMG|48BPWR|68VULN|7RCR|9MDPS|aAELBLL
9	33235 32153	 * 	212.39	DCR|3DMG|2VULN|1MDPS|3DUR|1SELL	1SELL|245DUR|348DMG|48BPWR|68VULN|7RCR|9MDPS|aDMSP
10	33235 32154	 * 	212.39	DCR|3DMG|2VULN|1MDPS|3DUR|1SELL	1SELL|245DUR|348DMG|48BPWR|68VULN|7RCR|9MDPS|aLWND
11	33235 32156	 * 	212.39	DCR|3DMG|2VULN|1MDPS|3DUR|1SELL	1SELL|245DUR|348DMG|48BPWR|68VULN|7RCR|9MDPS|aFEWX
12	14344 43228	   	212.25	DCR|2VULN|2ASPD|2CDMG|1DMG|1ZMB	1MBVNT|2ZMB|3aCDMG|4LHND|5LIT|6RCR|7aVULN|8DMG|9aASPD|aBPWR
13	33235 32124	 * 	211.49	DCR|3VULN|3DMG|3DUR|1SELL	1SELL|245DUR|348DMG|48BPWR|68aVULN|7RCR|9CGEN
14	33235 32144	 * 	211.39	DCR|3VULN|3DMG|3DUR|1SELL	1SELL|245DUR|348DMG|48BPWR|68aVULN|7RCR|9ERES
15	24342 32316	 * 	211.18	DCR|3VULN|2ASPD|3CDMG|1ZMB	14aVULN|2CGEN|37aCDMG|5ZMB|6LIT|8aASPD|9RCR|aBPWR
16	14334 58413	 * 	210.28	DCR|2VULN|2DMG|1MDPS|3CDMG|3ZMB	1MBVNT|248ZMB|349CDMG|48BPWR|58VULN|6MDPS|78DMG|aRCR
17	23114 86337	 * 	210.06	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	19VULN|2DUR|3ERES|4MBVNT|5ASPD|6DMG|7RCR|8CDMG|aAART
18	25422 12361	 * 	209.14	DCR|3VULN|2ASPD|1AART|2ZMB	146VULN|25ZMB|39ASPD|7TLV|8RCR|aAART
19	12118 45411	 * 	207.16	DCR|3VULN|2DMG|1MDPS|1AART|1DUR	1MBVNT|2MDPS|35DMG|4DUR|6AART|79aVULN|8RCR
20	24424 13212	 * 	206.22	DCR|3VULN|2ASPD|1DMG|1CDMG	14aVULN|2CGEN|37ASPD|5LIT|6CDMG|8DMG|9RCR
21	12541 43444	 * 	205.33	DCR|3VULN|1MDPS|1AART|1ASPD|1DMG	1MBVNT|2MDPS|3BEXP|458VULN|6RCR|7AART|9ASPD|aDMG
22	12831 43444	   	205.33	DCR|3VULN|1MDPS|1AART|1ASPD|1DMG	1MBVNT|2MDPS|358VULN|4BEXP|6RCR|7AART|9ASPD|aDMG
23	31218 82153	   	205.29	DCR|2VULN|2ASPD|1AART|2CDMG|1SELL	1SELL|29ASPD|39CDMG|4MBVNT|5DUST|6RCR|7BEXP|89VULN|9BPWR|aAART
24	12118 45414	 * 	204.99	DCR|3DMG|2VULN|1MDPS|1AART|1DUR	1MBVNT|2MDPS|35aDMG|4DUR|6AART|79VULN|8RCR
25	23613 43161	 * 	204.13	DCR|3VULN|1ASPD|1DMG|1NUKE|1DUR	178VULN|2DUR|3BEXP|4DMG|5LHND|6ASPD|9RCR|aNUKE
26	24342 33316	   	204.12	DCR|3VULN|2ASPD|2CDMG|1ZMB	14aVULN|2CGEN|3aCDMG|5ZMB|6LIT|7aASPD|8DMSP|9RCR|aBPWR
27	23214 43161	   	204.03	DCR|3VULN|1ASPD|1DMG|1NUKE|1DUR	178VULN|2DUR|3LHND|4DMG|5DUST|6ASPD|9RCR|aNUKE
28	33235 32132	 * 	203.99	DCR|3DMG|2VULN|3DUR|1ZMB|1SELL	1SELL|245DUR|348DMG|48BPWR|68VULN|7RCR|9BELT|aZMB
29	33235 32166	 * 	203.99	DCR|3DMG|2VULN|3DUR|1ZMB|1SELL	1SELL|245DUR|348DMG|48BPWR|68VULN|7RCR|9LIT|aZMB
30	22417 42428	   	203.81	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	17VULN|27LHND|3ZMB|4MBVNT|5CDMG|67DMG|7BPWR|8DUST|9AART|aRCR
31	23213 43161	 * 	203.78	DCR|2VULN|2DMG|1ASPD|1NUKE|1DUR	18VULN|2DUR|3LHND|47DMG|5LEGI|6ASPD|9RCR|aNUKE
32	14353 42638	   	203.76	DCR|2VULN|2ASPD|1AART|1CDMG|2ZMB	1MBVNT|29ZMB|3CDMG|49VULN|5AART|6LHND|7BEXP|89ASPD|9BPWR|aRCR
33	14366 43273	 * 	203.59	DCR|3DMG|2VULN|1CDMG|1ZMB	1MBVNT|2ZMB|3CDMG|4LIT|57VULN|6RCR|89aDMG
34	12541 43844	 * 	203.58	DCR|2VULN|2AART|1MDPS|1ASPD|1DMG	1MBVNT|2MDPS|3BEXP|45VULN|6RCR|78AART|9ASPD|aDMG
35	12831 43844	   	203.58	DCR|2VULN|2AART|1MDPS|1ASPD|1DMG	1MBVNT|2MDPS|35VULN|4BEXP|6RCR|78AART|9ASPD|aDMG
36	12112 38847	   	203.11	DCR|2VULN|2DMG|1MDPS|1AART|2DUR|1ZMB	1MBVNT|2MDPS|38DMG|48DUR|5ZMB|6BEXP|78VULN|8BPWR|9RCR|aAART
