0	Index      	 *	Score 	Summary	Detail	
1	32562 11123	 * 	220.68	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	1RMIN|2AART|3DUR|489VULN|5DUST|6RCR|7ASPD|aDMG
2	32322 11111	 * 	220.38	DCR|3VULN|2ASPD|1AART|2DUR	1RMIN|2AART|38aVULN|4LWND|5aDUR|6RCR|7aASPD|9BELT|aBPWR
3	26121 33434	 * 	216.19	DCR|4VULN|1ASPD|1DMG|1CDMG|1ZMB	1LWND|2568VULN|3CDMG|4DMG|7ASPD|9ZMB|aRCR
4	26121 33234	 * 	214.56	DCR|3VULN|2ASPD|1DMG|1CDMG|1ZMB	1LWND|256VULN|3CDMG|4DMG|78ASPD|9ZMB|aRCR
5	32261 11123	   	212.47	DCR|3VULN|1AART|1ASPD|1DMG	1RMIN|2AART|3FEWX|489VULN|5LWND|6RCR|7ASPD|aDMG
6	32262 11123	   	212.37	DCR|3VULN|1AART|1ASPD|1DMG	1RMIN|2AART|3FEWX|489VULN|5DUST|6RCR|7ASPD|aDMG
7	32262 11523	 * 	210.62	DCR|2VULN|2AART|1ASPD|1DMG	1RMIN|28AART|3FEWX|49VULN|5DUST|6RCR|7ASPD|aDMG
8	52236 12152	 * 	208.32	DCR|3ASPD|2DMG|1VULN|2CDMG	1RCVC|269ASPD|3LHND|49CDMG|5VULN|7LIT|89DMG|9BPWR|aRCR
9	32562 11423	   	208.09	DCR|2VULN|1AART|1ASPD|1DMG|2DUR	1RMIN|2AART|38DUR|49VULN|5DUST|6RCR|7ASPD|aDMG
10	13163 62252	 * 	207.87	DCR|3VULN|2AART|1CDMG|1AAC|1ZMB	18AART|2ZMB|3AAC|4DLOT|5CDMG|6RCR|79aVULN
11	26122 33434	 * 	207.77	DCR|3VULN|2CDMG|1ASPD|1DMG|1ZMB	1LWND|268VULN|35CDMG|4DMG|7ASPD|9ZMB|aRCR
12	32313 26341	 * 	207.76	DCR|3AART|2DMG|1VULN|1ZMB|1DUR	1RMIN|267AART|3VULN|4ZMB|59DMG|8RCR|aDUR
13	26121 33616	   	207.61	DCR|4VULN|1ASPD|1DMG|1CDMG|1SELL	1LWND|256aVULN|3CDMG|4DMG|7ASPD|8SELL|9RCR
14	32322 11411	 * 	207.60	DCR|2VULN|2ASPD|1AART|3DUR	1RMIN|2AART|3aVULN|4LWND|58aDUR|6RCR|7aASPD|9BELT|aBPWR
15	13134 34314	 * 	206.23	DCR|2VULN|2AART|1DMG|1CDMG|1AAC|1ZMB	14AART|2ZMB|3AAC|5aVULN|6RCVC|7DMG|8CDMG|9RCR
16	26121 33354	   	205.75	DCR|4VULN|1ASPD|1DMG|1CDMG	1LWND|2569VULN|3CDMG|4DMG|7ASPD|8ERES|aRCR
17	26121 33424	   	205.75	DCR|4VULN|1ASPD|1DMG|1CDMG	1LWND|2568VULN|3CDMG|4DMG|7ASPD|9ERES|aRCR
18	32335 24275	 * 	204.96	DCR|2VULN|2ASPD|1AART|1DMG	1RMIN|2AART|3aVULN|4aVENFST|5MBVNT|6LWND|7DMG|8RCR|9aASPD|aBPWR
19	32335 44275	   	204.96	DCR|2VULN|2ASPD|1AART|1DMG	1RMIN|2AART|3aVULN|4aVENFST|5MBVNT|6FEWX|7DMG|8RCR|9aASPD|aBPWR
20	32513 61136	 * 	204.87	DCR|2DMG|3ZMB|1AART|1ASPD|3DUR	1RMIN|2AART|367DUR|478ZMB|57DMG|7BPWR|9ASPD|aRCR
21	13135 11314	 * 	204.82	DCR|2AART|2DMG|1VULN|1CDMG|2ZMB|1AAC	14AART|27ZMB|3AAC|57LHND|67DMG|7BPWR|8CDMG|9RCR|aVULN
22	13213 21314	   	204.62	DCR|2AART|2DMG|1VULN|1CDMG|1AAC|2ZMB	16AART|27ZMB|3LEGI|4AAC|57DMG|7BPWR|8CDMG|9RCR|aVULN
23	32335 61381	   	204.53	DCR|3VULN|2ASPD|1AART	1RMIN|2AART|39aVULN|4VENFST|5MBVNT|68ASPD|7RCR
24	26121 33254	   	204.22	DCR|3VULN|2ASPD|1DMG|1CDMG	1LWND|256VULN|3CDMG|4DMG|78ASPD|9MLV|aRCR
25	26121 16234	 * 	204.15	DCR|2VULN|2ASPD|2CDMG|1DMG|1ZMB	1LWND|25VULN|37CDMG|4DMG|68ASPD|9ZMB|aRCR
26	26122 33234	   	204.15	DCR|2VULN|2ASPD|2CDMG|1DMG|1ZMB	1LWND|26VULN|35CDMG|4DMG|78ASPD|9ZMB|aRCR
27	26121 33224	   	204.12	DCR|3VULN|2ASPD|1DMG|1CDMG	1LWND|256VULN|3CDMG|4DMG|78ASPD|9ERES|aRCR
28	26542 11133	   	203.70	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1LWND|28VULN|3AART|4RMIN|5DUR|6RCR|7ASPD|9RCVC|aDMG
29	32322 11133	   	203.70	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1RMIN|2AART|38VULN|4LWND|5DUR|6RCR|7ASPD|9RCVC|aDMG
30	32561 11133	   	203.70	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1RMIN|2AART|3DUR|48VULN|5LWND|6RCR|7ASPD|9RCVC|aDMG
31	32562 11113	   	203.60	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1RMIN|2AART|3DUR|48VULN|5DUST|6RCR|7ASPD|9RCVC|aDMG
32	11223 54484	   	203.43	DCR|3VULN|1AART|1ASPD|1DMG	1AART|2LIT|3MLV|4ASPD|5MBVNT|689VULN|7RCR|aDMG
33	32261 13123	   	202.74	DCR|3VULN|1AART|1DMG|1ZMB	1RMIN|2AART|3FEWX|489VULN|5LWND|6RCR|7ZMB|aDMG
34	26542 11111	   	202.55	DCR|2VULN|2ASPD|1AART|2DUR	1aLWND|28VULN|3AART|4RMIN|5aDUR|6RCR|7aASPD|9BELT|aBPWR
35	32322 12211	   	202.55	DCR|2VULN|2ASPD|1AART|2DUR	1RMIN|2AART|3aVULN|4LWND|5aDUR|6RCR|7DMSP|8aASPD|9BELT|aBPWR
36	32561 11111	   	202.55	DCR|2VULN|2ASPD|1AART|2DUR	1RMIN|2AART|3aDUR|48VULN|5aLWND|6RCR|7aASPD|9BELT|aBPWR
37	22121 33341	 * 	202.07	DCR|2VULN|2DMG|1ASPD|1CDMG|1DUR	1LWND|2LHND|3CDMG|49DMG|56VULN|7ASPD|8RCR|aDUR
38	24221 33341	   	202.07	DCR|2VULN|2DMG|1ASPD|1CDMG|1DUR	1LWND|2CDMG|3LHND|49DMG|56VULN|7ASPD|8RCR|aDUR
39	11111 26115	 * 	202.00	DCR|2ASPD|1AART|1VULN|1DMG|1CDMG|1DUR	1AART|2LIT|3DUR|4DUST|5aASPD|6VULN|7CDMG|8RCR|9DMG
40	26111 16433	 * 	200.90	DCR|1SPLARM|2VULN|1ASPD|1DMG|1CDMG|1DUR	1LWND|25VULN|3CDMG|4ERES|6ASPD|7RCR|8SPLARM|9DUR|aDMG
41	26542 11112	   	200.72	DCR|3VULN|1AART|1ASPD|1DUR	1LWND|28aVULN|3AART|4RMIN|5DUR|6RCR|7ASPD|9BELT
42	32322 11112	   	200.72	DCR|3VULN|1AART|1ASPD|1DUR	1RMIN|2AART|38aVULN|4LWND|5DUR|6RCR|7ASPD|9BELT
43	32561 11112	   	200.72	DCR|3VULN|1AART|1ASPD|1DUR	1RMIN|2AART|3DUR|48aVULN|5LWND|6RCR|7ASPD|9BELT
44	32562 11121	   	200.62	DCR|3VULN|1AART|1ASPD|1DUR	1RMIN|2AART|3DUR|489VULN|5DUST|6RCR|7ASPD|aRPLT
45	32562 11122	   	200.62	DCR|3VULN|1AART|1ASPD|1DUR	1RMIN|2AART|3DUR|489VULN|5DUST|6RCR|7ASPD|aLIT
46	32562 11124	   	200.62	DCR|3VULN|1AART|1ASPD|1DUR	1RMIN|2AART|3DUR|489VULN|5DUST|6RCR|7ASPD|aLHND
47	32562 11125	   	200.62	DCR|3VULN|1AART|1ASPD|1DUR	1RMIN|2AART|3DUR|489VULN|5DUST|6RCR|7ASPD|aBEXP
48	32562 11126	   	200.62	DCR|3VULN|1AART|1ASPD|1DUR	1RMIN|2AART|3DUR|489VULN|5DUST|6RCR|7ASPD|aFEWX
49	32562 15123	   	200.52	DCR|3VULN|1AART|1DMG|1AAC|1DUR	1RMIN|2AART|3DUR|489VULN|5DUST|6RCR|7AAC|aDMG
50	26515 13332	   	200.18	DCR|2ASPD|1VULN|1AART|1DMG|1ZMB|1DUR	1LWND|2VULN|3AART|4DUR|5CGEN|6RCR|7ZMB|8DMG|9aASPD
51	14623 32521	   	199.82	DCR|2VULN|2ASPD|1AART|1DMG	1AART|25LWND|3BASARM|4DMG|69ASPD|7RCR|8aVULN
52	32322 13111	   	199.65	DCR|3VULN|1AART|2DUR|2ZMB	1RMIN|2AART|38aVULN|4LWND|5aDUR|6RCR|7aZMB|9BELT|aBPWR
53	11223 54488	 * 	199.62	DCR|3VULN|1AART|1ASPD|1CDMG	1AART|2LIT|3MLV|4ASPD|5MBVNT|689VULN|7RCR|aCDMG
54	53112 12552	 * 	199.60	DCR|3VULN|3DMG|1MDPS|2RMIN	1RCVC|24RMIN|3MDPS|589LIT|689DMG|789VULN|89BPWR|aRCR
55	11221 52512	 * 	199.55	DCR|2DMG|1VULN|1AART|1ASPD|1ZMB|1DUR	1AART|2LIT|3MLV|4ASPD|5ZMB|67DMG|8RCR|9DUR|aVULN
