0	Index      	 *	Score 	Summary	Detail	
1	12731 11724	 * 	402.33	DCR|3VULN|1MDPS|1CDMG|1DUR	1LIT|2MBVNT|3CDMG|4ZMB|569VULN|7DUR|8RCR|aMDPS
2	33243 41213	 * 	384.85	DCR|2VULN|1MDPS|2CDMG|1DUR|1AART	1AART|25VULN|3BELT|45CDMG|5BPWR|6RCR|7DUR|8RCVC|9DMSP|aMDPS
3	33243 41243	   	384.85	DCR|2VULN|1MDPS|2CDMG|1DUR|1AART	1AART|25VULN|3BELT|45CDMG|5BPWR|6RCR|7DUR|89RCVC|aMDPS
4	33243 41263	   	384.85	DCR|2VULN|1MDPS|2CDMG|1DUR|1AART	1AART|25VULN|3BELT|45CDMG|5BPWR|6RCR|7DUR|8RCVC|9LWND|aMDPS
5	33243 41433	   	384.85	DCR|2VULN|1MDPS|2CDMG|1DUR|1AART	1AART|25VULN|39BELT|45CDMG|5BPWR|6RCR|7DUR|8RPLT|aMDPS
6	33243 41251	   	384.75	DCR|2VULN|1MDPS|2CDMG|1DUR|1AART	1AART|25VULN|3BELT|45CDMG|5BPWR|6RCR|7DUR|8RCVC|9MDPS|aSPLREG
7	33243 41252	   	384.75	DCR|2VULN|1MDPS|2CDMG|1DUR|1AART	1AART|25VULN|3BELT|45CDMG|5BPWR|6RCR|7DUR|8RCVC|9MDPS|aAEPOI
8	33243 41253	   	384.75	DCR|2VULN|1MDPS|2CDMG|1DUR|1AART	1AART|25VULN|3BELT|45CDMG|5BPWR|6RCR|7DUR|8RCVC|9MDPS|aLIT
9	33243 41313	   	384.75	DCR|2VULN|1MDPS|2CDMG|1DUR|1AART	1AART|25VULN|3BELT|45CDMG|5BPWR|6RCR|7DUR|8AEBURN|9DMSP|aMDPS
10	33243 41343	   	384.75	DCR|2VULN|1MDPS|2CDMG|1DUR|1AART	1AART|25VULN|3BELT|45CDMG|5BPWR|6RCR|7DUR|8AEBURN|9RCVC|aMDPS
11	33243 41363	   	384.75	DCR|2VULN|1MDPS|2CDMG|1DUR|1AART	1AART|25VULN|3BELT|45CDMG|5BPWR|6RCR|7DUR|8AEBURN|9LWND|aMDPS
12	33242 31651	   	384.65	DCR|2VULN|1MDPS|1CDMG|2DUR|1AART	1AART|28VULN|3BELT|4CDMG|58DUR|68LSRICY|7RCR|8BPWR|9MDPS|aCGEN
13	33242 31652	   	384.65	DCR|2VULN|1MDPS|1CDMG|2DUR|2AART	1aAART|28VULN|3BELT|4CDMG|58DUR|68LSRICY|7RCR|8BPWR|9MDPS
14	33242 31653	   	384.65	DCR|2VULN|1MDPS|1CDMG|2DUR|1AART	1AART|28VULN|3BELT|4CDMG|58DUR|68LSRICY|7RCR|8BPWR|9MDPS|aERES
15	33243 41125	   	384.65	DCR|2VULN|1MDPS|2CDMG|1DUR|1AART	1AART|25VULN|3BELT|45CDMG|5BPWR|6RCR|7DUR|8TBNT|9VENICY|aMDPS
16	33243 41351	   	384.65	DCR|2VULN|1MDPS|2CDMG|1DUR|1AART	1AART|25VULN|3BELT|45CDMG|5BPWR|6RCR|7DUR|8AEBURN|9MDPS|aSPLREG
17	33243 41352	   	384.65	DCR|2VULN|1MDPS|2CDMG|1DUR|1AART	1AART|25VULN|3BELT|45CDMG|5BPWR|6RCR|7DUR|8AEBURN|9MDPS|aAEPOI
18	33243 41353	   	384.65	DCR|2VULN|1MDPS|2CDMG|1DUR|1AART	1AART|25VULN|3BELT|45CDMG|5BPWR|6RCR|7DUR|8AEBURN|9MDPS|aLIT
19	33132 64243	 * 	382.44	DCR|2VULN|1MDPS|2DMG|1DUR|1AART	1AART|29VULN|3AME|46DMG|5FEWX|7RCR|8DUR|aMDPS
20	11116 41523	   	375.23	DCR|3VULN|1MDPS|1DUR	18LIT|28LWND|3DUR|4RAT|589VULN|6RCR|7BELT|8BPWR|aMDPS
21	13116 41523	   	375.23	DCR|3VULN|1MDPS|1DUR	18LIT|28LHND|3DUR|4RAT|589VULN|6RCR|7BELT|8BPWR|aMDPS
