0	Index      	 *	Score 	Summary	Detail	
1	43251 21523	 * 	411.63	DCR|2MDPS|2VULN|1DUR|1SELL	1SELL|28VULN|3MLV|4MSLTOX|5LHND|6DUR|7RCR|9aMDPS
2	14315 32335	 * 	401.45	ACR|4VULN|1MDPS|1CDMG|1DUR	1CGEN|2369VULN|4DUR|5RCR|7RMIN|8CDMG|aMDPS
3	14315 31312	 * 	387.26	ACR|DCR|4VULN|2DUR|1DMG|1SELL	17CGEN|2367VULN|47DUR|59RCR|7BPWR|8SELL|aDMG
4	14315 31231	   	386.60	ACR|4VULN|1MDPS|2DUR|1MSE	17CGEN|2367VULN|47DUR|5RCR|7BPWR|8AAC|9MDPS|aMSE
5	14315 31232	   	386.60	ACR|4VULN|1MDPS|2DUR	17CGEN|2367VULN|47DUR|5RCR|7BPWR|8AAC|9MDPS|aLHND
6	14315 31233	   	386.60	ACR|4VULN|1MDPS|2DUR	17CGEN|2367VULN|47DUR|5RCR|7BPWR|8AAC|9MDPS|aZMB
7	14315 31234	   	386.60	ACR|4VULN|1MDPS|2DUR	17CGEN|2367VULN|47DUR|5RCR|7BPWR|8AAC|9MDPS|aLIT
8	14315 31235	   	386.60	ACR|4VULN|1MDPS|2DUR	17CGEN|2367VULN|47DUR|5RCR|7BPWR|8AAC|9MDPS|aTBNT
9	14315 31236	   	386.60	ACR|4VULN|1MDPS|2DUR	17CGEN|2367VULN|47DUR|5RCR|7BPWR|8AAC|9MDPS|aAIRHEA
10	14315 31342	   	386.50	ACR|4VULN|1MDPS|2DUR|1SELL	17CGEN|2367VULN|47DUR|5RCR|7BPWR|8SELL|9LIT|aMDPS
11	14315 31431	   	386.50	ACR|4VULN|1MDPS|1CDMG|2DUR|1MSE	17CGEN|2367VULN|47DUR|5RCR|7BPWR|8MSE|9MDPS|aCDMG
12	14315 31432	 * 	386.50	ACR|5VULN|1MDPS|2DUR|1MSE	17CGEN|2367aVULN|47DUR|5RCR|7BPWR|8MSE|9MDPS
13	14315 31433	   	386.50	ACR|4VULN|1MDPS|2DUR|1MSE	17CGEN|2367VULN|47DUR|5RCR|7BPWR|8MSE|9MDPS|aLHND
14	14315 31631	   	386.50	ACR|4VULN|1MDPS|2DUR|1MSE	17CGEN|2367VULN|47DUR|5RCR|7BPWR|8ERES|9MDPS|aMSE
15	14315 31632	   	386.50	ACR|4VULN|1MDPS|2DUR	17CGEN|2367VULN|47DUR|5RCR|7BPWR|8ERES|9MDPS|aLHND
16	14315 31633	   	386.50	ACR|4VULN|1MDPS|2DUR	17CGEN|2367VULN|47DUR|5RCR|7BPWR|8ERES|9MDPS|aZMB
