0	Index      	 *	Score 	Summary	Detail	
1	32154 16222	 * 	386.79	DCR|2VULN|1MDPS|2TLV|2DUR	17DUR|2CGEN|3LEGI|4AAC|57VULN|67TLV|7BPWR|8TBNT|9RCR|aMDPS
2	32431 34324	 * 	381.55	DCR|2VULN|1MDPS|3DUR|1TLV	168DUR|28CGEN|3TLV|4ZMB|5RCVC|78VULN|8BPWR|9RCR|aMDPS
3	32311 34324	   	381.45	DCR|2VULN|1MDPS|3DUR|1TLV	168DUR|28CGEN|3ERES|4TLV|5RCVC|78VULN|8BPWR|9RCR|aMDPS
4	32313 34324	   	381.45	DCR|2VULN|1MDPS|3DUR|1TLV	168DUR|28CGEN|3ERES|4TLV|5DMSP|78VULN|8BPWR|9RCR|aMDPS
5	32312 34324	   	381.35	DCR|2VULN|1MDPS|3DUR|1TLV	168DUR|28CGEN|35ERES|4TLV|78VULN|8BPWR|9RCR|aMDPS
6	36412 21232	   	377.41	DCR|2VULN|1MDPS|1TLV|1DMG|1DUR	1DUR|2DMG|3TLV|4TBNT|5LHND|6RCR|7CGEN|89VULN|aMDPS
7	36212 26232	   	377.31	DCR|2VULN|1MDPS|1TLV|1DMG|1DUR	1DUR|2DMG|3ERES|4TBNT|5LHND|6RCR|7TLV|89VULN|aMDPS
8	36352 26232	   	377.31	DCR|2VULN|1MDPS|1TLV|1DMG|1DUR	1DUR|2DMG|3BBNT|4ERES|5LHND|6RCR|7TLV|89VULN|aMDPS
9	36416 23132	   	377.31	DCR|2VULN|1MDPS|1TLV|1DMG|1DUR	1DUR|2DMG|3TLV|4TBNT|5BEXP|6RCR|79VULN|8AME|aMDPS
10	66621 23132	 * 	375.63	DCR|DCR|3VULN|1DMG|1DUR	17aVULN|2DMG|3RCVC|4DUST|5DUR|68RCR|9AIRARM
11	62514 22322	 * 	375.13	DCR|3VULN|1MDPS|1DUR	139VULN|237CGEN|3BPWR|4LHND|5BEXP|6RCR|8DUR|aMDPS
12	62514 23322	   	375.13	DCR|3VULN|1MDPS|1DUR	139VULN|23CGEN|3BPWR|47LHND|5BEXP|6RCR|8DUR|aMDPS
13	62524 22322	   	375.03	DCR|3VULN|1MDPS|1DUR	139VULN|237CGEN|3BPWR|4DUST|5BEXP|6RCR|8DUR|aMDPS
14	62614 22322	   	375.03	DCR|3VULN|1MDPS|1DUR	139VULN|27CGEN|4LHND|5BEXP|6RCR|8DUR|aMDPS
15	62614 23322	   	375.03	DCR|3VULN|1MDPS|1DUR	139VULN|2CGEN|47LHND|5BEXP|6RCR|8DUR|aMDPS
16	62624 22322	   	374.93	DCR|3VULN|1MDPS|1DUR	139VULN|27CGEN|4DUST|5BEXP|6RCR|8DUR|aMDPS
17	64314 23322	   	374.83	DCR|3VULN|1MDPS|1DUR	179VULN|2AEFRZ|3ERES|4LHND|5BEXP|6RCR|8DUR|aMDPS
18	65611 23322	   	374.83	DCR|3VULN|1MDPS|1DUR	179VULN|2DUST|3ERES|45LWND|6RCR|8DUR|aMDPS
19	65612 23322	   	374.83	DCR|3VULN|1MDPS|1DUR	179VULN|2DUST|3ERES|4LWND|5DMSP|6RCR|8DUR|aMDPS
20	64324 23322	   	374.73	DCR|3VULN|1MDPS|1DUR	179VULN|2AEFRZ|3ERES|4DUST|5BEXP|6RCR|8DUR|aMDPS
21	63451 53144	   	374.04	DCR|2VULN|1MDPS|2TLV|1DUR	15VULN|2MBVNT|3MULHEA|4ASPD|69TLV|7DUR|8RCR|aMDPS
22	35224 13224	   	369.70	DCR|2VULN|1MDPS|2DUR|1TLV	14DUR|2DUST|3BEXP|57VULN|6TLV|8TBNT|9RCR|aMDPS
23	35324 13224	   	369.70	DCR|2VULN|1MDPS|2DUR|1TLV	14DUR|2DUST|3FEWX|57VULN|6TLV|8TBNT|9RCR|aMDPS
24	36422 51213	 * 	363.70	DCR|1MDPS|1VULN|1CDMG|2DUR|1TLV|1DMG	15DUR|2DMG|3TLV|4CDMG|6LIT|7VULN|8RCR|9RMIN|aMDPS
25	31211 62213	 * 	358.54	DCR|2VULN|1MDPS|1CDMG|1DUR	1DUR|2CDMG|3CGEN|47VULN|5BOSS|6ASPD|8RCR|9RMIN|aMDPS
26	23336 22142	   	357.55	DCR|2VULN|1MDPS|1TLV|1DUR	1TBNT|28MLV|3TLV|4RCVC|58VULN|6RCR|78CGEN|8BPWR|9DUR|aMDPS
27	62414 22322	   	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	19VULN|27CGEN|3AME|4TLV|5BEXP|6RCR|8DUR|aMDPS
28	23421 26232	   	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	1TBNT|2MLV|3LHND|4DUR|5AAC|6RCR|7TLV|89VULN|aMDPS
29	23423 26232	   	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	1TBNT|2MLV|3LHND|4DUR|5ZMB|6RCR|7TLV|89VULN|aMDPS
30	23424 26232	   	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	1TBNT|2MLV|3LHND|4DUR|5RMIN|6RCR|7TLV|89VULN|aMDPS
31	63343 33743	   	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	19VULN|2MBVNT|3FEWX|4TLV|5DUR|6LIT|7BEXP|8RCR|aMDPS
32	15226 26123	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1LWND|2DUST|3BEXP|4DUR|59VULN|6RCR|7TLV|8VENICY|aMDPS
33	15326 26123	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1LWND|2DUST|3FEWX|4DUR|59VULN|6RCR|7TLV|8VENICY|aMDPS
34	23425 26232	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1TBNT|2MLV|3LHND|4DUR|5ERES|6RCR|7TLV|89VULN|aMDPS
35	26521 26232	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1TBNT|2LHND|3AME|4DUR|5AAC|6RCR|7TLV|89VULN|aMDPS
36	26523 26232	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1TBNT|2LHND|3AME|4DUR|5ZMB|6RCR|7TLV|89VULN|aMDPS
37	32314 21232	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1DUR|2CGEN|3ERES|4TLV|5BEXP|6RCR|7TBNT|89VULN|aMDPS
38	32362 26232	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1DUR|2CGEN|3ERES|4BBNT|5LHND|6RCR|7TLV|89VULN|aMDPS
39	32412 23132	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1DUR|2CGEN|3TLV|4TBNT|5LHND|6RCR|79VULN|8AME|aMDPS
40	32412 23232	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1DUR|2CGEN|3TLV|4TBNT|5LHND|6RCR|79VULN|8ASPD|aMDPS
41	32412 24232	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1DUR|2CGEN|3TLV|4TBNT|5LHND|6RCR|7ASPD|89VULN|aMDPS
42	32414 23134	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1DUR|2CGEN|3TLV|4TBNT|5LWND|6RCR|79VULN|8AME|aMDPS
43	32414 23234	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1DUR|2CGEN|3TLV|4TBNT|5LWND|6RCR|79VULN|8ASPD|aMDPS
44	35236 26123	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1DUR|2DUST|3BEXP|4LWND|59VULN|6RCR|7TLV|8VENICY|aMDPS
45	35336 26123	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1DUR|2DUST|3FEWX|4LWND|59VULN|6RCR|7TLV|8VENICY|aMDPS
46	63345 33311	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	17VULN|2MBVNT|35FEWX|4TLV|6RCR|8DUR|9MDPS|aTBNT
47	63345 33312	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	17VULN|2MBVNT|35FEWX|4TLV|6RCR|8DUR|9MDPS|aLIT
48	63345 33313	   	357.25	DCR|2VULN|1MDPS|2DUR|1TLV	17VULN|2MBVNT|35FEWX|4TLV|6RCR|8aDUR|9MDPS
49	63345 33314	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	17VULN|2MBVNT|35FEWX|4TLV|6RCR|8DUR|9MDPS|aMLV
50	63345 33315	 * 	357.25	DCR|3VULN|1MDPS|1TLV|1DUR	17aVULN|2MBVNT|35FEWX|4TLV|6RCR|8DUR|9MDPS
51	63345 33316	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	17VULN|2MBVNT|35aFEWX|4TLV|6RCR|8DUR|9MDPS
52	63345 33317	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	17VULN|2MBVNT|35FEWX|4TLV|6RCR|8DUR|9MDPS|aERES
53	63345 33318	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	17VULN|2MBVNT|35FEWX|4TLV|6RCR|8DUR|9MDPS|aAAC
54	65221 13224	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	17VULN|2DUST|35BEXP|4DUR|6TLV|8TBNT|9RCR|aMDPS
55	65323 13224	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	17VULN|2DUST|3FEWX|4DUR|5RCVC|6TLV|8TBNT|9RCR|aMDPS
56	63411 53154	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	15VULN|2MBVNT|3MULHEA|49AAC|6TLV|7DUR|8RCR|aMDPS
57	63411 53173	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	15VULN|2MBVNT|3MULHEA|4AAC|6TLV|7DUR|8RCR|9LIT|aMDPS
58	21521 23132	   	357.15	DCR|2VULN|1MDPS|1TLV|1DUR	1TBNT|2NUKE|3MLV|4DUST|5DUR|6RCR|79VULN|8TLV|aMDPS
59	32324 13222	   	357.15	DCR|2VULN|1MDPS|1TLV|1DUR	1DUR|2CGEN|3ERES|4DUST|57VULN|6TLV|8TBNT|9RCR|aMDPS
