0	Index      	 *	Score 	Summary	Detail	
1	46431 12312	 * 	372.19	DCR|2VULN|1MDPS|1CDMG|1DUR|1AART	1ASPD|2VENTOX|3AART|48VULN|5DUR|6CDMG|7LIT|9RCR|aMDPS
2	13413 11255	 * 	361.13	ACR|3VULN|1MDPS|1TLV|1DUR	1AEFRZ|2RCR|3LIT|4DUR|5RPLT|689VULN|7TLV|aMDPS
3	13211 43635	   	361.03	ACR|3VULN|1MDPS|1TLV|1DUR	1AEFRZ|2RCR|378VULN|4BBNT|5LHND|6TLV|9DUR|aMDPS
4	13216 33635	   	361.03	ACR|3VULN|1MDPS|1TLV|1DUR	1AEFRZ|2RCR|378VULN|4BBNT|5TLV|6LHND|9DUR|aMDPS
5	13221 43635	   	361.03	ACR|3VULN|1MDPS|1TLV|1DUR	1AEFRZ|2RCR|378VULN|4LHND|5BBNT|6TLV|9DUR|aMDPS
6	13231 43635	   	361.03	ACR|3VULN|1MDPS|1TLV|1DUR	1AEFRZ|2RCR|378VULN|4TBNT|5LHND|6TLV|9DUR|aMDPS
7	13236 33635	   	361.03	ACR|3VULN|1MDPS|1TLV|1DUR	1AEFRZ|2RCR|378VULN|4TBNT|5TLV|6LHND|9DUR|aMDPS
8	11312 22635	 * 	357.15	DCR|2VULN|1MDPS|1TLV|1DUR	1AEFRZ|2LEGI|38VULN|4TLV|5BBNT|6DMSP|7RCR|9DUR|aMDPS
9	33312 12635	   	357.15	DCR|2VULN|1MDPS|1TLV|1DUR	1CGEN|2ERES|36VULN|4TLV|5BBNT|7RCR|8AEFBLL|9DUR|aMDPS
10	26431 12312	   	344.45	DCR|2VULN|1MDPS|1DUR|1AART|1SELL	1AME|2BLASTR|3AART|48VULN|5DUR|6SELL|7LIT|9RCR|aMDPS
11	13211 41361	 * 	344.12	ACR|2MDPS|1VULN|1TLV|1DUR	1AEFRZ|2RCR|3VULN|4BBNT|5LHND|6TLV|7DUR|8aMDPS|9LIT
12	13216 31361	   	344.12	ACR|2MDPS|1VULN|1TLV|1DUR	1AEFRZ|2RCR|3VULN|4BBNT|5TLV|6LHND|7DUR|8aMDPS|9LIT
13	13221 41361	   	344.12	ACR|2MDPS|1VULN|1TLV|1DUR	1AEFRZ|2RCR|3VULN|4LHND|5BBNT|6TLV|7DUR|8aMDPS|9LIT
14	13225 41361	   	344.12	ACR|2MDPS|1VULN|1TLV|1DUR	1AEFRZ|2RCR|3VULN|4LHND|5TBNT|6TLV|7DUR|8aMDPS|9LIT
15	13231 41361	   	344.12	ACR|2MDPS|1VULN|1TLV|1DUR	1AEFRZ|2RCR|3VULN|4TBNT|5LHND|6TLV|7DUR|8aMDPS|9LIT
16	13236 31361	   	344.12	ACR|2MDPS|1VULN|1TLV|1DUR	1AEFRZ|2RCR|3VULN|4TBNT|5TLV|6LHND|7DUR|8aMDPS|9LIT
