0	Index      	 *	Score 	Summary	Detail	
1	11222 62414	 * 	374.73	DCR|3VULN|1MDPS|1DUR	19DUST|256VULN|36ERES|4BOSS|6BPWR|7DUR|8RCR|aMDPS
2	11241 13516	 * 	374.14	DCR|2VULN|1MDPS|2TLV|1DUR	1DUST|26VULN|3ERES|4RAT|56TLV|6BPWR|7AME|8RCR|9DUR|aMDPS
3	33322 13444	 * 	358.11	DCR|2MDPS|1VULN|1DUR	1FLTFST|2RMIN|3ZMB|45BEXP|6RCR|7VULN|8DUR|9aMDPS
4	33323 13444	   	358.11	DCR|2MDPS|1VULN|1DUR	1FLTFST|2RMIN|3ZMB|4BEXP|5RCVC|6RCR|7VULN|8DUR|9aMDPS
5	33222 13444	   	358.01	DCR|2MDPS|1VULN|1DUR	1FLTFST|2RMIN|3ASPD|45BEXP|6RCR|7VULN|8DUR|9aMDPS
6	33223 13444	   	358.01	DCR|2MDPS|1VULN|1DUR	1FLTFST|2RMIN|3ASPD|4BEXP|5RCVC|6RCR|7VULN|8DUR|9aMDPS
7	11241 23516	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	1DUST|27VULN|3ERES|4RAT|5TLV|6CGEN|8RCR|9DUR|aMDPS
8	21351 33551	   	357.15	DCR|2VULN|1MDPS|1TLV|1DUR	1ERES|2DUR|3RAT|47VULN|5TLV|6ASPD|8RCR|9MDPS|aMGNBOS
9	21351 33552	   	357.15	DCR|2VULN|1MDPS|1TLV|1DUR	1ERES|2DUR|3RAT|47VULN|5TLV|6ASPD|8RCR|9MDPS|aLHND
10	21351 33553	   	357.15	DCR|2VULN|1MDPS|1TLV|1DUR	1ERES|2DUR|3RAT|47VULN|5TLV|6ASPD|8RCR|9MDPS|aCGEN
11	34421 33232	   	357.15	DCR|2VULN|1MDPS|1TLV|1DUR	1FLTFST|2DUR|3SNITOX|49VULN|5RAT|6RCR|7ERES|8TLV|aMDPS
12	34452 33232	   	357.15	DCR|2VULN|1MDPS|1TLV|1DUR	1FLTFST|2DUR|3SNITOX|4RAT|59VULN|6RCR|7ERES|8TLV|aMDPS
13	51435 11233	 * 	351.53	DCR|DCR|1MDPS|2TLV|1DUR|1AART|1SELL	1BBNT|24TLV|34BASICY|4BPWR|5AART|6DUR|78RCR|9SELL|aMDPS
14	52514 61231	   	351.11	DCR|2VULN|1MDPS|1DMG|1DUR	1BBNT|2RPLT|3MBVNT|4DMG|5DUR|67VULN|8RCR|9BELT|aMDPS
15	11614 12532	 * 	347.33	5VULN|1MDPS|1DUR|1SELL	1DUST|24567VULN|3SELL|8LIT|9DUR|aMDPS
16	26123 23331	 * 	344.75	ACR|2VULN|1MDPS|1CDMG|1TLV|1DUR	17ERES|27VULN|3CDMG|4TLV|5RCR|67FEWX|7BPWR|8CANTOX|9DUR|aMDPS
17	26123 53331	   	344.75	ACR|2VULN|1MDPS|1CDMG|1TLV|1DUR	17ERES|27VULN|3CDMG|4TLV|5RCR|67BEXP|7BPWR|8CANTOX|9DUR|aMDPS
