0	Index      	 *	Score 	Summary	Detail	
1	35424 31132	 * 	374.83	DCR|3VULN|1MDPS|1DUR	138VULN|2AEFBLL|4DUR|5ERES|6RCR|7RPLT|9CGEN|aMDPS
2	33413 15234	 * 	369.70	4VULN|1MDPS|2TLV|2DUR	1589VULN|2BBNT|3TBNT|4LWND|69DUR|79TLV|9BPWR|aMDPS
3	31211 33422	   	364.76	DCR|2VULN|1MDPS|1DMG|1DUR|1AART	15VULN|2VENICY|3DMG|4BLAICY|6AART|7RCR|8RPLT|9DUR|aMDPS
4	31214 33422	   	364.76	DCR|2VULN|1MDPS|1DMG|1DUR|1AART	15VULN|2VENICY|3DMG|45BLAICY|5BPWR|6AART|7RCR|8RPLT|9DUR|aMDPS
5	34411 33422	   	364.76	DCR|2VULN|1MDPS|1DMG|1DUR|1AART	15VULN|2DMG|3FRZFST|4BLAICY|6AART|7RCR|8RPLT|9DUR|aMDPS
6	11263 46122	 * 	358.44	DCR|2VULN|1MDPS|1CDMG|1DUR	1BBNT|2CDMG|3DUST|45VULN|6RCR|7DUR|8FEWX|9RPLT|aMDPS
7	35324 32141	 * 	357.91	DCR|DCR|1MDPS|1VULN|1DUR	1VULN|2AEFBLL|3aDMSP|4DUR|5ERES|68RCR|7AAC|9MDPS
8	35324 32142	   	357.91	DCR|DCR|1MDPS|1VULN|1DUR	1VULN|2AEFBLL|3DMSP|4DUR|5ERES|68RCR|7AAC|9MDPS|aRCVC
9	35324 32143	   	357.91	DCR|DCR|1MDPS|1VULN|1DUR	1VULN|2AEFBLL|3DMSP|4DUR|5ERES|68RCR|7AAC|9MDPS|aFEWX
10	36151 32141	   	357.91	DCR|DCR|1MDPS|1VULN|1DUR	1VULN|25ERES|3RCVC|4DUR|68RCR|7AAC|9MDPS|aDMSP
11	36151 32142	   	357.91	DCR|DCR|1MDPS|1VULN|1DUR	1VULN|25ERES|3aRCVC|4DUR|68RCR|7AAC|9MDPS
12	36151 32143	   	357.91	DCR|DCR|1MDPS|1VULN|1DUR	1VULN|25ERES|3RCVC|4DUR|68RCR|7AAC|9MDPS|aFEWX
13	33262 42521	 * 	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	18VULN|2BBNT|3RAT|4DUR|5ERES|6RCR|7TLV|9LIT|aMDPS
14	32151 33315	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	19VULN|2AAC|3RCVC|4DUR|5ERES|6RCR|7BBNT|8TLV|aMDPS
15	32151 36315	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	19VULN|2AAC|3RCVC|4DUR|5ERES|6RCR|7TBNT|8TLV|aMDPS
16	35151 33315	   	357.15	DCR|2VULN|1MDPS|1TLV|1DUR	19VULN|2AEFBLL|3AAC|4DUR|5ERES|6RCR|7BBNT|8TLV|aMDPS
