0	Index      	 *	Score 	Summary	Detail	
1	11325 12314	 * 	267.60	紫3攻速3伤害2易伤2基地爆炸	168攻速2核3最后敌人48基地爆炸568伤害68序列升级7双倍秒伤9a易伤
2	11651 21612	 * 	254.41	紫1基础对甲2易伤2伤害1攻速1基地爆炸	1攻速2核3基地爆炸46伤害5a易伤7金币生成8技能9基础对甲
3	11615 12314	   	252.76	紫3攻速3伤害2易伤1基地爆炸	168攻速2核3基地爆炸48低血量敌人568伤害68序列升级7双倍秒伤9a易伤
4	11625 12314	   	252.76	紫3攻速3伤害2易伤1基地爆炸	168攻速2核3基地爆炸48敌人爆炸568伤害68序列升级7双倍秒伤9a易伤
5	11325 12312	   	251.96	紫3攻速3伤害2基地爆炸1易伤	168攻速2核3最后敌人48基地爆炸568伤害68序列升级7双倍秒伤9易伤a低血量敌人
6	11325 12313	   	251.96	紫3攻速3伤害2基地爆炸1易伤	168攻速2核3最后敌人48基地爆炸568伤害68序列升级7双倍秒伤9易伤a敌人爆炸
7	11325 12315	   	251.96	紫3攻速3伤害2基地爆炸1易伤	168攻速2核3最后敌人48基地爆炸568伤害68序列升级7双倍秒伤9易伤a雷电
8	11325 12354	   	251.96	紫3攻速3伤害2基地爆炸1易伤	168攻速2核3最后敌人48基地爆炸568伤害68序列升级7双倍秒伤9矿等a易伤
9	11325 12364	   	251.96	紫3攻速3伤害2基地爆炸1易伤	168攻速2核3最后敌人48基地爆炸568伤害68序列升级7双倍秒伤9金币生成a易伤
10	11325 12316	   	251.86	紫3攻速3伤害2基地爆炸1易伤	168攻速2核3最后敌人48基地爆炸568伤害68序列升级7双倍秒伤9易伤a挖尘
11	11325 12324	   	251.86	紫3攻速3伤害2基地爆炸1易伤	168攻速2核3最后敌人48基地爆炸568伤害68序列升级7双倍秒伤9掉矿a易伤
12	11325 12344	   	251.86	紫3攻速3伤害2基地爆炸1易伤	168攻速2核3最后敌人48基地爆炸568伤害68序列升级7双倍秒伤9技能点a易伤
13	11325 16163	   	251.86	紫3攻速3伤害2基地爆炸1易伤	169攻速2核3最后敌人4a基地爆炸568伤害6序列升级7易伤
14	11116 13526	   	249.94	紫3攻速2伤害2易伤2基地爆炸	18a攻速2核3a技能点45平台68伤害78基地爆炸8a序列升级9a易伤
15	11331 36115	 * 	248.09	紫1基础对甲2伤害1易伤1攻速1基础对冰	1攻速2核3最后敌人4掉矿5易伤6技能78伤害9基础对甲a基础对冰
16	11625 15333	   	246.51	紫2攻速2伤害2基地爆炸1易伤1全技能	16攻速2核3a基地爆炸4敌人爆炸56伤害6序列升级7全技能8易伤9技能
17	11325 12363	   	244.85	紫3攻速3伤害2基地爆炸1暴击	168攻速2核3最后敌人48基地爆炸568伤害68序列升级7双倍秒伤9金币生成a暴击
18	11325 12323	   	244.75	紫3攻速3伤害2基地爆炸1暴击	168攻速2核3最后敌人48基地爆炸568伤害68序列升级7双倍秒伤9掉矿a暴击
19	11325 12343	   	244.75	紫3攻速3伤害2基地爆炸1暴击	168攻速2核3最后敌人48基地爆炸568伤害68序列升级7双倍秒伤9技能点a暴击
20	11611 32415	 * 	244.10	紫2易伤1基础对甲2攻速1基础对冰1基地爆炸	15攻速2核3基地爆炸4低血量敌人67易伤8金币生成9基础对甲a基础对冰
21	11325 12362	 * 	242.66	紫3攻速3伤害3基地爆炸	168攻速2核3a最后敌人48a基地爆炸568伤害68a序列升级7双倍秒伤9a金币生成
22	11325 12322	   	242.46	紫3攻速3伤害3基地爆炸	168攻速2核3a最后敌人48a基地爆炸568伤害68a序列升级7双倍秒伤9a掉矿
23	11325 12342	   	242.46	紫3攻速3伤害3基地爆炸	168攻速2核3a最后敌人48a基地爆炸568伤害68a序列升级7双倍秒伤9a技能点
24	11325 12356	   	242.46	紫3攻速3伤害3基地爆炸	168攻速2核3最后敌人48a基地爆炸568伤害68序列升级7双倍秒伤9矿等
25	11325 12366	   	242.46	紫3攻速3伤害3基地爆炸	168攻速2核3最后敌人48a基地爆炸568伤害68序列升级7双倍秒伤9金币生成
26	11632 25321	   	242.36	紫3攻速3伤害3基地爆炸	17a攻速2核378基地爆炸4掉矿5a挖尘67a伤害7a序列升级9额外掉落
27	11325 12326	   	242.36	紫3攻速3伤害3基地爆炸	168攻速2核3最后敌人48a基地爆炸568伤害68序列升级7双倍秒伤9掉矿
28	11325 12346	   	242.36	紫3攻速3伤害3基地爆炸	168攻速2核3最后敌人48a基地爆炸568伤害68序列升级7双倍秒伤9技能点
29	11632 25332	   	242.26	紫3攻速3伤害3基地爆炸	17a攻速2核378基地爆炸4掉矿5a挖尘67a伤害7a序列升级9双倍秒伤
30	11632 25362	   	242.26	紫3攻速3伤害3基地爆炸	17a攻速2核378基地爆炸4a掉矿5a挖尘679伤害7a序列升级
