0	Index      	 *	Score 	Summary	Detail	
1	15134 42223	 * 	225.92	紫3攻速2易伤2伤害1暴击	19磁铁减费257攻速3雷电4核69伤害89易伤9序列升级a暴击
2	54216 44343	 * 	219.13	紫1基础对甲2伤害2基地爆炸1全技能	1a敌人爆炸2随机矿3核4a伤害5加一6掉矿7基础对甲8a基地爆炸9全技能a序列升级
3	15134 42221	   	210.00	紫3攻速2易伤2伤害	19磁铁减费257攻速3雷电4核69伤害89易伤9序列升级a最后敌人
4	15134 42222	   	209.90	紫3攻速2易伤2伤害	19磁铁减费257攻速3雷电4核69伤害89易伤9序列升级a加一
5	54216 44341	 * 	206.57	紫1基础对甲1攻速1伤害1全技能1基地爆炸	1敌人爆炸2随机矿3核4伤害5加一6掉矿7基础对甲8基地爆炸9全技能a攻速
6	15133 22533	   	206.43	紫2易伤2攻速1伤害1全技能1暴击	1磁铁减费2a攻速3雷电4核5全技能6伤害7a易伤8暴击9a低血量敌人a序列升级
7	15133 22543	   	206.43	紫2易伤2攻速1伤害1全技能1暴击	1磁铁减费2a攻速3雷电4核5全技能6伤害7a易伤8暴击9a敌人爆炸a序列升级
8	54216 44333	   	200.03	紫1基础对甲2基地爆炸1伤害1易伤	1敌人爆炸2随机矿3核4伤害5加一6掉矿7基础对甲89基地爆炸a易伤
9	62213 14342	   	198.65	紫3攻速2易伤1伤害1基地爆炸	1伤害2雷电389攻速4狙击对黄5核6a易伤7基地爆炸
10	54216 44344	 * 	197.75	紫1基础对甲2全技能1伤害1基地爆炸	1敌人爆炸2随机矿3核4伤害5加一6掉矿7基础对甲8基地爆炸9a全技能
11	15133 15121	 * 	196.52	紫2攻速2易伤2基地爆炸1全技能	1磁铁减费2a攻速3雷电4核5全技能6掉矿7a基地爆炸8时间9a易伤a序列升级
12	54225 24343	 * 	195.97	紫2基础对甲2基地爆炸1全技能	1a敌人爆炸2随机矿3核4掉矿5技能6加一7a基础对甲8a基地爆炸9全技能a序列升级
