0	Index      	 *	Score 	Summary	Detail	
1	62123 52513	 * 	321.15	DCR|DCR|2TLV|1LIT|1VULN|1DMG	1BBNT|2VULN|3DMG|4aTLV|5LHND|69RCR|7LIT|8CGEN
2	62421 62331	 * 	313.88	ACR|3VULN|3TLV|3LIT|1MLV	1BBNT|289VULN|3MLV|489TLV|5RCR|689LIT|7TBNT|89BPWR|aDUR
3	62421 62332	   	312.52	ACR|3VULN|3TLV|3LIT|1MLV	1BBNT|289VULN|3MLV|489TLV|5RCR|689LIT|7TBNT|89BPWR|aAART
4	62123 52353	 * 	311.51	DCR|3VULN|2LIT|1TLV|2DMG	1BBNT|289VULN|39DMG|4TLV|5LHND|6RCR|79LIT|9BPWR|aAART
5	22234 51226	 * 	304.80	DCR|3VULN|2TLV|2LIT|1DMG	17aVULN|2LWND|3aLIT|4CGEN|5DMG|6RCR|8aTLV|9AART|aBPWR
6	62421 62333	   	304.21	ACR|3VULN|3TLV|3LIT|1MLV	1BBNT|289VULN|3MLV|489TLV|5RCR|689LIT|7TBNT|89BPWR|aLWND
7	62123 52351	   	303.20	DCR|3VULN|2LIT|1TLV|2DMG	1BBNT|289VULN|39DMG|4TLV|5LHND|6RCR|79LIT|9BPWR|aMGNLIT
8	62123 52352	   	303.20	DCR|3VULN|2LIT|1TLV|2DMG	1BBNT|289VULN|39DMG|4TLV|5LHND|6RCR|79LIT|9BPWR|aFEWX
9	62123 52511	   	300.61	DCR|DCR|1TLV|1LIT|1VULN|1DMG	1BBNT|2VULN|3DMG|4TLV|5LHND|69RCR|7LIT|8CGEN|aAAC
10	62123 52512	   	300.61	DCR|DCR|1TLV|1LIT|1VULN|1DMG	1BBNT|2VULN|3DMG|4TLV|5LHND|69RCR|7LIT|8aCGEN
11	62123 52611	   	300.51	DCR|DCR|1TLV|1LIT|1VULN|1DMG	1BBNT|2VULN|3DMG|4TLV|5LHND|69RCR|7LIT|8AME|aAAC
12	62123 52612	   	300.51	DCR|DCR|1TLV|1LIT|1VULN|1DMG	1BBNT|2VULN|3DMG|4TLV|5LHND|69RCR|7LIT|8AME|aCGEN
13	62123 52613	   	300.51	DCR|DCR|1TLV|1LIT|1VULN|1DMG	1BBNT|2VULN|3DMG|4TLV|5LHND|69RCR|7LIT|8AME|aFEWX
14	62123 52151	 * 	298.84	DCR|3LIT|2VULN|1TLV|2DMG	1BBNT|29VULN|39DMG|4TLV|5aLHND|6RCR|789LIT|9BPWR
15	62123 52152	   	298.84	DCR|3LIT|2VULN|1TLV|2DMG	1BBNT|29VULN|39DMG|4TLV|5LHND|6RCR|789LIT|9BPWR|aZMB
16	62123 52153	   	298.74	DCR|3LIT|2VULN|1TLV|2DMG	1BBNT|29VULN|39DMG|4TLV|5LHND|6RCR|789LIT|9BPWR|aAME
17	62121 32156	   	296.84	ACR|3LIT|2VULN|2TLV|1MLV|1DMG	1BBNT|29VULN|3DMG|49TLV|5RCR|6LEGI|789LIT|9BPWR|aMLV
18	21234 51236	   	296.30	DCR|3VULN|2TLV|2LIT|1DMG	17aVULN|29DUST|3aLIT|4CGEN|5DMG|6RCR|8aTLV|aBPWR
19	23527 64333	   	296.20	DCR|3VULN|2TLV|2LIT|1DMG	178VULN|2NUKE|37LIT|4MBVNT|57TLV|6MDPS|7BPWR|9DMG|aRCR
20	22231 54613	 * 	295.92	DCR|DCR|1TLV|1LIT|1VULN|1MLV	1VULN|2LWND|3LIT|4CGEN|5ZMB|69RCR|7BBNT|8MLV|aTLV
21	21231 54613	   	295.82	DCR|DCR|1TLV|1LIT|1VULN|1MLV	1VULN|2DUST|3LIT|4CGEN|5ZMB|69RCR|7BBNT|8MLV|aTLV
22	22231 51246	 * 	295.60	DCR|4VULN|2TLV|2LIT	179aVULN|2LWND|3aLIT|4CGEN|5ZMB|6RCR|8aTLV|aBPWR
23	21231 51246	   	295.50	DCR|4VULN|2TLV|2LIT	179aVULN|2DUST|3aLIT|4CGEN|5ZMB|6RCR|8aTLV|aBPWR
