0	Index      	 *	Score 	Summary	Detail	
1	64424 41411	 * 	315.90	DCR|DCR|3VULN|1TLV|1CDMG	1TBNT|2TLV|3CDMG|4MBVNT|5BBNT|68RCR|79aVULN
2	64424 41412	   	302.07	DCR|DCR|2VULN|1TLV|1CDMG	1TBNT|2TLV|3CDMG|4MBVNT|5BBNT|68RCR|79VULN|aAART
3	23232 15354	 * 	298.58	ACR|3VULN|2TLV|3DMG|2ASPD|1MLV	167VULN|2AEFBLL|37ASPD|4RCR|567DMG|67BPWR|8MLV|9aTLV
4	64424 41414	   	293.66	DCR|DCR|2VULN|1TLV|1CDMG	1TBNT|2TLV|3CDMG|4MBVNT|5BBNT|68RCR|79VULN|aMULARM
5	64424 41431	   	290.87	DCR|DCR|1TLV|1VULN|1ASPD|1CDMG	1TBNT|2TLV|3CDMG|4MBVNT|5BBNT|68RCR|7VULN|9ASPD|aDUR
6	23513 55111	 * 	290.43	DCR|3VULN|2TLV|1LIT|3CDMG	167VULN|2AEFBLL|37TLV|467CDMG|5RPLT|67BPWR|8RCR|9LIT|aLHND
7	23513 55112	   	290.43	DCR|3VULN|2TLV|1LIT|3CDMG	167VULN|2AEFBLL|37TLV|467CDMG|5RPLT|67BPWR|8RCR|9LIT|aRCVC
8	23513 55113	   	290.43	DCR|3VULN|2TLV|1LIT|3CDMG	167VULN|2AEFBLL|37TLV|467CDMG|5RPLT|67BPWR|8RCR|9LIT|aBEXP
9	64424 41433	   	289.52	DCR|DCR|1TLV|1VULN|1ASPD|1CDMG	1TBNT|2TLV|3CDMG|4MBVNT|5BBNT|68RCR|7VULN|9ASPD|aAART
10	22361 52623	 * 	285.96	DCR|DCR|1TLV|1LIT|1VULN|1MLV	1VULN|25ERES|3TLV|4SPLREG|68RCR|7LHND|9LIT|aMLV
11	23123 52623	   	285.96	DCR|DCR|1TLV|1LIT|1VULN|1MLV	1VULN|2AEFBLL|3FRZFST|4TLV|5AME|68RCR|7LHND|9LIT|aMLV
