0	Index      	Bounty	 *	Score 	Summary	Detail	
1	21126 32523	1	 * 	305.53	橙4易伤3伤害2时间1暴击	1478易伤2策反37时间57a伤害6核7序列升级9暴击
2	21423 31423	10	 * 	305.30	橙4易伤3伤害3时间	179a易伤2最后敌人39a时间4策反5低血量敌人6核89a伤害9a序列升级
3	22423 31423	10	   	305.30	橙4易伤3伤害3时间	179a易伤2基地爆炸39a时间4策反5低血量敌人6核89a伤害9a序列升级
4	21126 32642	1	   	298.71	橙3易伤3伤害3时间1等级	147易伤2策反379时间578伤害6核7序列升级a等级
5	21126 32522	1	   	298.18	橙4易伤2伤害2时间1暴击	1478易伤2策反37时间57伤害6核7序列升级9暴击a雷电
6	21126 32264	1	   	297.76	橙4易伤3时间2伤害	147a易伤2策反378时间57伤害6核7序列升级9雷电
7	26111 22136	9	 * 	296.38	橙4易伤3时间3攻速1暴击	178a易伤28a时间36最后敌人4暴击58a攻速8a序列升级9核
8	26111 32136	9	   	296.38	橙4易伤3时间3攻速1暴击	178a易伤28a时间3最后敌人4暴击58a攻速6立即金币8a序列升级9核
9	24334 32733	5	   	292.15	橙4易伤3伤害1时间2雷电	1579易伤2随机矿3加一457伤害579序列升级6核89雷电a时间
10	24334 32256	5	   	291.78	橙4易伤3伤害2时间	1578易伤2随机矿3加一457伤害57序列升级6核9a时间
11	21126 32262	1	   	291.37	橙3易伤3时间2伤害1等级	147易伤2策反378时间57伤害6核7序列升级9雷电a等级
12	21126 32265	1	   	290.77	橙3易伤3伤害3时间	147易伤2策反378时间57a伤害6核7序列升级9雷电
13	21126 32641	1	   	290.77	橙3易伤3伤害3时间	147易伤2策反379时间578伤害6核7序列升级a雷电
14	21126 32521	1	   	289.87	橙4易伤2伤害2时间1暴击	1478易伤2策反37时间57伤害6核7序列升级9暴击a金币生成
15	21126 32524	1	   	289.87	橙4易伤2伤害2时间1暴击	1478易伤2策反37时间57伤害6核7序列升级9暴击a敌人爆炸
16	21126 32526	1	   	289.87	橙4易伤2伤害2时间1暴击	1478易伤2策反37时间57伤害6核7序列升级9暴击a基地爆炸
