0	Index      	Bounty	 *	Score 	Summary	Detail	
1	33454 13212	5	 * 	308.26	橙4易伤3伤害2暴击1等级1攻速	1279易伤37a伤害4攻速5等级67暴击7序列升级8核
2	33232 36164	9	 * 	306.26	橙5易伤3时间1伤害2雷电	12689易伤359时间49雷电7核9序列升级a伤害
3	33232 36162	9	   	302.45	橙5易伤3时间1等级2雷电	12689易伤359时间49雷电7核9序列升级a等级
4	33233 36166	10	   	300.96	橙5易伤3时间3雷电	12689易伤359时间459雷电59序列升级7核a全技能
5	33232 36163	10	   	299.85	橙5易伤3时间2雷电1暴击	12689易伤359时间49雷电7核9序列升级a暴击
6	33453 15211	5	 * 	295.90	橙5易伤2伤害2暴击1攻速	1279a易伤3a伤害4攻速5策反6a暴击8核a序列升级
7	33454 13211	5	   	292.61	橙4易伤2伤害2暴击1等级1攻速	1279易伤37伤害4攻速5等级67暴击7序列升级8核a最后敌人
8	33454 13213	5	   	292.61	橙4易伤2伤害2暴击1等级1攻速	1279易伤37伤害4攻速5等级67暴击7序列升级8核a金币生成
9	33211 54223	4	 * 	292.47	橙4易伤2伤害2时间1等级	129a易伤3a时间4金币生成5等级6a伤害7随机矿8核a序列升级
10	33211 55433	4	   	292.47	橙4易伤2伤害2时间1等级	127a易伤3a时间4金币生成5等级6a伤害8核9随机矿a序列升级
11	33216 54223	5	   	292.47	橙4易伤2伤害2时间1等级	129a易伤3a时间4金币生成5等级6a伤害7随机矿8核a序列升级
12	23313 13451	6	   	292.01	橙4易伤3伤害3雷电1攻速	179雷电2攻速379伤害4679易伤5平台79序列升级8赏金邻近a核
13	33453 13212	4	   	292.01	橙4易伤3伤害2暴击1攻速	1279易伤37a伤害4攻速5金币生成67暴击7序列升级8核
14	33454 13212	4	   	292.01	橙4易伤3伤害2暴击1攻速	1279易伤37a伤害4攻速5矿等67暴击7序列升级8核
15	33456 13212	5	   	292.01	橙4易伤3伤害2暴击1攻速	1279易伤37a伤害4攻速5金币生成67暴击7序列升级8核
16	33233 36161	10	   	291.30	橙5易伤3时间3雷电	12689易伤359时间459雷电59序列升级7核a敌人爆炸
17	33233 36161	9	   	291.30	橙5易伤3时间3雷电	12689易伤359时间459雷电59序列升级7核a敌人爆炸
18	33233 36162	9	   	291.30	橙5易伤3时间3雷电	12689易伤359时间459雷电59序列升级7核a低血量敌人
19	33233 36163	10	   	291.30	橙5易伤3时间3雷电	12689易伤359时间459雷电59序列升级7核a基地爆炸
20	33233 36165	10	   	291.30	橙5易伤3时间3雷电	12689易伤359时间459雷电59序列升级7核a随机矿
21	33233 36165	9	   	291.30	橙5易伤3时间3雷电	12689易伤359时间459雷电59序列升级7核a最后敌人
22	33233 36162	10	   	291.20	橙5易伤3时间3雷电	12689易伤359时间459雷电59序列升级7核a挖尘
23	33233 36163	9	   	291.20	橙5易伤3时间3雷电	12689易伤359时间459雷电59序列升级7核a挖青
24	33233 36164	9	   	291.20	橙5易伤3时间3雷电	12689易伤359时间459雷电59序列升级7核a挖尘
25	33233 36166	9	   	291.20	橙5易伤3时间3雷电1核弹	12689易伤359时间459雷电59序列升级7核a核弹
26	33235 41262	9	 * 	290.77	橙3易伤3伤害3时间	12a易伤38a时间4雷电5基地爆炸69a伤害7核a序列升级
27	33235 41263	10	   	290.77	橙3易伤3伤害3时间	12a易伤38a时间4雷电5基地爆炸69a伤害7核a序列升级
28	33225 31624	9	   	290.12	橙3易伤3时间2伤害1暴击	12a易伤34a时间5全技能6矿等7核8暴击9a伤害a序列升级
29	31211 21453	9	 * 	288.99	橙5易伤2时间2攻速	1679a易伤2敌人爆炸39攻速4全技能59时间8核9序列升级
30	32211 21453	9	   	288.89	橙5易伤2时间2攻速	1679a易伤2挖尘39攻速4全技能59时间8核9序列升级
31	32222 21453	9	   	288.89	橙5易伤2时间2攻速	1679a易伤2挖尘39攻速49时间5全技能8核9序列升级
32	32252 21453	9	   	288.89	橙5易伤2时间2攻速	1479a易伤2挖尘39攻速5全技能69时间8核9序列升级
33	31412 21453	9	   	287.74	橙5易伤2时间2等级	1679a易伤2敌人爆炸39时间4全技能59等级8核9序列升级
34	32412 21453	9	   	287.64	橙5易伤2时间2等级	1679a易伤2挖尘39时间4全技能59等级8核9序列升级
35	33236 51116	10	   	287.63	橙5易伤2时间2攻速	12789易伤37时间4雷电5金币生成67攻速7序列升级a核
36	33231 51116	10	   	287.53	橙5易伤2时间2攻速	12789易伤37时间4雷电5掉矿67攻速7序列升级a核
37	22312 51673	9	   	286.77	橙3易伤3时间2伤害3雷电	17a雷电2随机矿3a伤害47a易伤567时间7a序列升级8加一9核
38	33233 36111	9	   	286.52	橙5易伤2时间2雷电1暴击	12689易伤35时间45雷电5序列升级7核a暴击
39	33233 36141	8	   	286.52	橙5易伤2时间2雷电1暴击	12689易伤35时间45雷电5序列升级7核a暴击
40	33232 36161	9	   	286.20	橙5易伤3时间2雷电	12689易伤359时间49雷电7核9序列升级a基地爆炸
41	33232 36162	10	   	286.20	橙5易伤3时间2雷电	12689易伤359时间49雷电7核9序列升级a最后敌人
42	33232 36163	9	   	286.20	橙5易伤3时间2雷电	12689易伤359时间49雷电7核9序列升级a随机矿
43	33232 36166	9	   	286.20	橙5易伤3时间2雷电	12689易伤359时间49雷电7核9序列升级a低血量敌人
44	33233 36114	9	   	286.10	橙5易伤3时间2雷电	12689易伤35a时间45雷电5序列升级7核
45	33233 36115	10	   	286.10	橙5易伤3时间2雷电	12689易伤35a时间45雷电5序列升级7核
46	33233 36144	8	   	286.10	橙5易伤3时间2雷电	12689易伤35a时间45雷电5序列升级7核
47	33232 36161	10	   	286.10	橙5易伤3时间2雷电	12689易伤359时间49雷电7核9序列升级a掉矿
48	33232 36165	9	   	286.10	橙5易伤3时间2雷电	12689易伤359时间49雷电7核9序列升级a挖尘
49	33454 13232	5	   	285.62	橙3易伤3伤害2暴击1等级1攻速	127易伤37a伤害4攻速5等级67暴击7序列升级8核9金币生成
50	33211 54233	4	   	285.49	橙3易伤3伤害2时间1等级	12a易伤3a时间4金币生成5等级69a伤害7随机矿8核a序列升级
