0	Index      	Bounty	 *	Score 	Summary	Detail	
1	51112 22552	1	 * 	277.29	橙4易伤3伤害1时间	18低血量敌人2平台358伤害458a易伤58序列升级6核7赏金邻近9时间
2	15236 11161	1	 * 	275.11	橙3易伤2伤害2暴击1等级1时间	1挖青27a易伤37暴击4金币生成5等级67伤害7序列升级8时间9核
3	51112 22526	1	   	274.69	橙4易伤3伤害1暴击	18低血量敌人2平台358伤害458a易伤58序列升级6核7赏金邻近9暴击
4	15236 11222	1	 * 	274.52	橙3易伤3伤害2暴击1等级	1挖青27a易伤37暴击4金币生成5等级678伤害7序列升级9核
5	26223 14316	9	 * 	271.39	橙4易伤2伤害3暴击	18金币生成268暴击3a伤害4掉矿5678易伤68序列升级9核
6	51112 22535	1	   	270.81	橙4易伤3伤害1全技能	18a低血量敌人2平台358伤害458a易伤58a序列升级6核7赏金邻近9全技能
7	26223 14312	9	   	270.06	橙4易伤3暴击1伤害1等级	18金币生成268暴击3伤害4掉矿5678易伤68序列升级9核a等级
8	11311 52452	2	 * 	269.21	橙4易伤3攻速2时间	1挖青2金币生成356a易伤456攻速56序列升级79时间8核
9	11311 55152	2	   	269.21	橙4易伤3攻速2时间	1挖青2金币生成356a易伤456攻速56序列升级7核89时间
10	34422 52814	9	 * 	268.25	橙5易伤2攻速2暴击	1a挖尘2加一35暴击4567a易伤5a序列升级8核9a攻速
11	26353 14313	10	   	266.34	橙4易伤3暴击1等级1时间	18金币生成268暴击3等级4策反5678易伤68序列升级9核a时间
12	34422 53534	9	   	265.15	橙4易伤2伤害2暴击	1a挖尘2加一35暴击456a易伤5a序列升级7a伤害8核9立即金币
13	34422 53524	9	   	265.05	橙4易伤2伤害2暴击	19a挖尘2加一35暴击456a易伤5a序列升级7a伤害8核
14	26123 14316	9	   	264.81	橙4易伤3暴击1伤害1攻速	18金币生成268暴击3攻速4掉矿5678易伤68序列升级9核a伤害
15	26123 14325	9	   	264.81	橙4易伤3暴击1伤害1攻速	18金币生成268暴击3攻速4掉矿5678易伤68序列升级9伤害a核
16	26223 14315	10	   	264.81	橙4易伤3暴击1伤害1攻速	18金币生成268暴击3伤害4掉矿5678易伤68序列升级9核a攻速
17	26223 14325	9	   	264.81	橙4易伤3暴击1伤害1攻速	18金币生成268暴击3伤害4掉矿5678易伤68序列升级9攻速a核
18	15236 11223	1	   	263.86	橙2易伤3伤害2暴击1等级1时间	1挖青27易伤37暴击4金币生成5等级678伤害7序列升级9核a时间
19	34422 53346	9	 * 	261.80	橙3易伤2时间3暴击1伤害	19挖尘2加一359暴击456易伤59序列升级7伤害89时间a核
20	51112 22562	1	   	261.04	橙4易伤3伤害	18低血量敌人2平台358伤害458a易伤58序列升级6核7赏金邻近9敌人爆炸
21	26123 14312	9	   	261.00	橙4易伤3暴击1等级1攻速	18金币生成268暴击3攻速4掉矿5678易伤68序列升级9核a等级
22	66215 13333	6	 * 	260.79	橙2易伤2伤害2时间1等级1全技能	1全技能29易伤3低血量敌人49伤害5雷电6等级79时间8加一9序列升级a核
23	26353 14312	10	   	259.75	橙4易伤3暴击1等级1全技能	18金币生成268暴击3等级4策反5678易伤68序列升级9核a全技能
24	31236 11523	9	 * 	259.11	橙2易伤3时间2伤害1攻速	1挖尘25a时间3攻速4金币生成6a伤害7核8雷电9a易伤a序列升级
25	15235 11161	1	   	258.76	橙3易伤2伤害2暴击1时间	1挖青27a易伤37暴击4金币生成5掉矿67伤害7序列升级8时间9核
26	34422 52811	10	   	258.47	橙4易伤1伤害2暴击1攻速	1挖尘2加一35暴击4567易伤5序列升级8核9攻速a伤害
27	34422 16164	9	 * 	258.24	橙4易伤3攻速2暴击	1a挖尘2加一35暴击459a易伤5a序列升级68a攻速7核
28	15235 11222	1	   	258.17	橙3易伤3伤害2暴击	1挖青27a易伤37暴击4金币生成5掉矿678伤害7序列升级9核
29	52122 43261	8	   	257.60	橙4易伤1伤害1时间1暴击	15低血量敌人2暴击3时间456a易伤5序列升级7伤害8敌人爆炸9核
30	52122 43523	10	   	257.60	橙4易伤1伤害1时间1暴击	15低血量敌人2暴击3时间4569易伤5序列升级7伤害8平台a核
31	52322 42261	10	   	257.50	橙4易伤1伤害1等级1暴击	15低血量敌人2暴击3挖尘4567易伤5序列升级8等级9核a伤害
32	52322 43161	7	   	257.50	橙4易伤1伤害1时间1暴击	15低血量敌人2暴击3挖尘456a易伤5序列升级7伤害8时间9核
33	52322 43361	8	   	257.50	橙4易伤1伤害1时间1暴击	15低血量敌人2暴击3挖尘456a易伤5序列升级7伤害8时间9核
34	66213 12532	10	 * 	257.37	橙2易伤3伤害2等级1时间1全技能	1全技能29易伤3低血量敌人459伤害6金币生成7时间89等级9序列升级a核
35	52522 13713	9	   	257.22	橙4易伤2攻速2暴击	18低血量敌人25暴击3加一4578易伤58序列升级68攻速9雷电a核
36	52522 13733	8	   	257.22	橙4易伤2攻速2暴击	18低血量敌人25暴击3加一4578易伤58序列升级68攻速9雷电a核
37	65122 52121	9	   	256.87	橙3易伤2伤害1等级1全技能	1全技能27伤害3雷电47最后敌人57a易伤6核7序列升级8掉矿9等级
38	65122 52123	10	   	256.87	橙3易伤2伤害1等级1全技能	1全技能27伤害3雷电47最后敌人57a易伤6核7序列升级8掉矿9等级
39	65122 52131	9	   	256.87	橙3易伤2伤害1时间1全技能	1全技能27伤害3雷电47最后敌人579易伤6核7序列升级8掉矿a时间
40	65133 52121	9	   	256.87	橙3易伤2伤害1等级1全技能	1全技能27伤害3雷电47a易伤57最后敌人6核7序列升级8掉矿9等级
41	65133 52123	10	   	256.87	橙3易伤2伤害1等级1全技能	1全技能27伤害3雷电47a易伤57最后敌人6核7序列升级8掉矿9等级
42	65133 52131	9	   	256.87	橙3易伤2伤害1时间1全技能	1全技能27伤害3雷电479易伤57最后敌人6核7序列升级8掉矿a时间
43	31222 55221	6	   	256.67	橙3易伤1伤害1等级1时间1攻速	1挖尘2时间3攻速489易伤5雷电6伤害7核a等级
44	34141 37742	9	 * 	256.60	橙5易伤1伤害1全技能	1挖尘2加一3全技能4589a易伤6核7伤害
45	51112 22534	1	   	256.37	橙3易伤3伤害1全技能	18低血量敌人2平台358伤害458易伤58序列升级6核7赏金邻近9全技能a雷电
46	22235 16214	1	   	256.27	橙3易伤3伤害1全技能	1金币生成256伤害358易伤4平台5序列升级7全技能9核a雷电
47	65122 52132	10	   	256.27	橙3易伤3伤害1全技能	1全技能27a伤害3雷电47最后敌人579易伤6核7序列升级8掉矿
48	65133 52132	10	   	256.27	橙3易伤3伤害1全技能	1全技能27a伤害3雷电479易伤57最后敌人6核7序列升级8掉矿
49	31232 21523	9	 * 	256.09	橙2易伤2伤害2时间2攻速	1挖尘2a时间36攻速4金币生成5a伤害7核8雷电9a易伤a序列升级
50	15236 11231	1	   	255.91	橙2易伤3伤害2暴击1等级	1挖青27易伤37暴击4金币生成5等级678伤害7序列升级9雷电a核
51	66213 35312	6	   	255.84	橙3易伤3伤害2全技能	16全技能29a易伤389低血量敌人459伤害7核9序列升级
52	22235 16211	1	   	255.74	橙3易伤3伤害2全技能	1金币生成256伤害358易伤4平台5序列升级7a全技能9核
53	34422 52841	8	   	255.25	橙5易伤2暴击	1挖尘2加一35暴击45679易伤5序列升级8核a雷电
54	61353 42233	4	 * 	255.17	橙3易伤3时间1等级1全技能	1全技能2额外掉落348最后敌人489序列升级589易伤6核789时间a等级
55	51112 26212	1	   	255.15	橙3易伤2伤害1等级1时间	1低血量敌人2平台35伤害457易伤5序列升级6核8基地爆炸9等级a时间
56	31222 55224	6	   	255.00	橙3易伤2时间1伤害1攻速	1挖尘2a时间3攻速489易伤5雷电6伤害7核
57	26123 14315	10	 * 	254.95	橙4易伤3暴击2攻速	18金币生成268暴击3a攻速4掉矿5678易伤68序列升级9核
58	52221 32612	3	   	254.86	橙2易伤2时间1伤害2暴击1等级1全技能	1低血量敌人2a暴击3全技能4掉矿5伤害6a时间7等级8a易伤9核a序列升级
59	34422 52811	9	   	254.66	橙4易伤2暴击1时间1攻速	1挖尘2加一35暴击4567易伤5序列升级8核9攻速a时间
60	51112 22553	1	   	254.65	橙3易伤3伤害1时间	18低血量敌人2平台358伤害458易伤58序列升级6核7赏金邻近9时间a敌人爆炸
61	34141 37282	7	   	254.65	橙4易伤2伤害1全技能	189挖尘2加一3全技能459a易伤6核79伤害9序列升级
62	11311 55332	2	   	254.62	橙4易伤3攻速1时间	1挖青28金币生成356a易伤456攻速56序列升级7核9时间
63	11611 55332	3	   	254.62	橙4易伤3攻速1时间	1挖青28金币生成356a易伤456攻速56序列升级7核9时间
64	14311 55332	1	   	254.62	橙4易伤3攻速1时间	1挖青28金币生成356a易伤456攻速56序列升级7核9时间
65	51112 22551	1	   	254.41	橙3易伤3伤害1时间1卖塔	18低血量敌人2平台358伤害458易伤58序列升级6核7赏金邻近9时间a卖塔
66	65132 23151	4	   	254.07	橙3易伤2伤害1暴击1全技能	1全技能29伤害3雷电48a易伤5赏金邻近6暴击7核
67	26223 14311	9	   	253.81	橙4易伤3暴击1伤害	18金币生成268暴击3伤害4掉矿5678易伤68序列升级9核a平台
68	26223 14311	10	   	253.81	橙4易伤3暴击1伤害	18金币生成268暴击3伤害4掉矿5678易伤68序列升级9核a策反
69	26223 14312	10	   	253.81	橙4易伤3暴击1伤害	18金币生成268暴击3伤害4掉矿5678易伤68序列升级9核a立即金币
70	26223 14313	9	   	253.81	橙4易伤3暴击1伤害	18金币生成268暴击3伤害4掉矿5678易伤68序列升级9核a低血量敌人
71	26223 14313	10	   	253.81	橙4易伤3暴击1伤害	18金币生成268暴击3伤害4掉矿5678易伤68序列升级9核a敌人爆炸
72	26223 14314	9	   	253.81	橙4易伤3暴击1伤害	18金币生成268暴击3伤害4掉矿5678易伤68序列升级9核a敌人爆炸
73	26223 14315	9	   	253.81	橙4易伤3暴击1伤害	18a金币生成268暴击3伤害4掉矿5678易伤68序列升级9核
74	26223 14316	10	   	253.81	橙4易伤3暴击1伤害	18金币生成268暴击3伤害4掉矿5678易伤68序列升级9核a基地爆炸
75	26353 14312	9	 * 	253.81	橙4易伤3暴击2等级	18金币生成268暴击3a等级4策反5678易伤68序列升级9核
76	52122 42263	10	   	253.79	橙4易伤1等级1时间1暴击	15低血量敌人2暴击3时间4567易伤5序列升级8等级9平台a核
77	52122 52361	7	   	253.79	橙4易伤1等级1时间1暴击	15低血量敌人2暴击3时间458a易伤5序列升级6等级7基地爆炸9核
78	52322 42261	9	   	253.69	橙4易伤1时间1等级1暴击	15低血量敌人2暴击3挖尘4567易伤5序列升级8等级9核a时间
79	52322 53161	7	   	253.69	橙4易伤1时间1等级1暴击	15低血量敌人2暴击3挖尘457a易伤5序列升级6等级8时间9核
80	52322 53361	8	   	253.69	橙4易伤1时间1等级1暴击	15低血量敌人2暴击3挖尘457a易伤5序列升级6等级8时间9核
81	51112 26336	1	   	253.60	橙4易伤2伤害	1低血量敌人2平台35伤害457a易伤5序列升级6核8雷电9策反
82	34422 53522	8	   	253.51	橙4易伤3暴击1伤害	1挖尘2加一359暴击456a易伤5序列升级7伤害8核
83	51112 26316	1	   	253.50	橙4易伤2伤害	1低血量敌人2平台35伤害457a易伤5序列升级6核8雷电9掉矿
84	66113 52313	10	   	253.46	橙2易伤3伤害1等级1时间1全技能	1全技能29易伤3最后敌人45a伤害6核7等级8时间
85	34141 37743	9	   	253.31	橙4易伤1伤害1时间1全技能	1挖尘2加一3全技能4589易伤6核7伤害a时间
86	65623 32311	8	 * 	253.19	橙3伤害1易伤2攻速2暴击2全技能1时间	1a全技能238伤害48暴击5时间6易伤78攻速8序列升级9核
87	52522 13346	9	   	252.94	橙3易伤2时间3暴击1攻速	19低血量敌人259暴击3加一457易伤59序列升级6攻速89时间a核
88	66113 52131	8	   	252.86	橙2易伤2伤害1等级1时间2雷电1全技能	1全技能29易伤39最后敌人45伤害6核7等级89雷电9序列升级a时间
89	34422 18346	9	   	252.74	橙3易伤2时间3暴击1攻速	19挖尘2加一359暴击457易伤59序列升级6攻速89时间a核
90	52122 12661	5	   	252.55	橙3易伤2伤害1时间1暴击	15低血量敌人2暴击3时间45a易伤5序列升级68伤害7敌人爆炸9核
91	52122 43533	10	   	252.55	橙3易伤2伤害1时间1暴击	15低血量敌人2暴击3时间456易伤5序列升级79伤害8平台a核
92	31112 64532	1	   	252.45	橙3易伤2伤害1时间1暴击	1挖尘2平台35伤害45a易伤5序列升级6暴击7时间8核9敌人爆炸
93	52121 12661	4	   	252.45	橙3易伤2伤害1时间1暴击	1低血量敌人2暴击3时间45a易伤68伤害7敌人爆炸9核
94	11311 24251	2	 * 	252.27	橙3易伤2伤害2攻速	1挖青2a金币生成35a易伤45攻速5a序列升级6雷电7核8双倍矿9a伤害
95	11311 24351	2	   	252.27	橙3易伤2伤害2攻速	1挖青28a金币生成35a易伤45攻速5a序列升级6雷电7核9a伤害
96	11611 24251	3	   	252.27	橙3易伤2伤害2攻速	1挖青2a金币生成35a易伤45攻速5a序列升级6雷电7核8双倍矿9a伤害
97	11611 24351	3	   	252.27	橙3易伤2伤害2攻速	1挖青28a金币生成35a易伤45攻速5a序列升级6雷电7核9a伤害
98	14311 24251	1	   	252.27	橙3易伤2伤害2攻速	1挖青2a金币生成35a易伤45攻速5a序列升级6雷电7核8双倍矿9a伤害
99	14311 24351	1	   	252.27	橙3易伤2伤害2攻速	1挖青28a金币生成35a易伤45攻速5a序列升级6雷电7核9a伤害
100	51112 26325	1	   	252.17	橙3易伤2伤害2攻速	1低血量敌人2平台35伤害457易伤5序列升级6核8雷电9a攻速
101	34422 16524	9	   	252.08	橙3易伤1伤害2暴击1时间1攻速	1挖尘2加一35暴击45a易伤5序列升级6攻速7核8时间9伤害
102	34422 45523	7	   	252.07	橙3易伤2伤害2暴击1全技能	1挖尘2加一35暴击457易伤5序列升级6全技能8a伤害9核
103	51112 22522	1	   	252.05	橙3易伤3伤害1暴击	18低血量敌人2平台358伤害458易伤58序列升级6核7赏金邻近9暴击a最后敌人
104	51112 22523	1	   	252.05	橙3易伤3伤害1暴击	18低血量敌人2平台358伤害458易伤58序列升级6核7赏金邻近9暴击a敌人爆炸
105	34422 42217	5	   	251.96	橙4易伤2暴击1时间	1挖尘2加一35暴击457a易伤5序列升级6雷电8核9时间
106	51112 22521	1	   	251.95	橙3易伤3伤害1暴击	18低血量敌人2平台358伤害458易伤58序列升级6核7赏金邻近9暴击a加一
107	51112 22524	1	   	251.95	橙3易伤3伤害1暴击	18低血量敌人2平台358伤害458易伤58序列升级6核7赏金邻近9暴击a挖尘
108	51112 22525	1	   	251.95	橙3易伤3伤害1暴击	18低血量敌人2平台358伤害458易伤58序列升级6核7赏金邻近9暴击a掉矿
109	22235 13535	1	   	251.95	橙3易伤3伤害1暴击	1金币生成256伤害358易伤4平台5序列升级7暴击9基地爆炸a核
110	31113 46332	10	 * 	251.79	橙2易伤3伤害2时间1全技能	1挖尘26时间3全技能456伤害6序列升级79易伤8低血量敌人a核
111	22266 21161	1	   	251.31	橙3易伤1伤害1等级1时间1暴击	17金币生成2伤害37a易伤4暴击5等级67敌人爆炸7序列升级8时间9核
112	31423 11523	9	   	251.13	橙2易伤2伤害2时间1等级	1挖尘2a时间3双倍矿4等级5策反6a伤害7核8雷电9a易伤a序列升级
113	31623 11523	9	   	251.03	橙2易伤2伤害2时间1等级	13挖尘2a时间4等级5策反6a伤害7核8雷电9a易伤a序列升级
114	26225 22133	8	   	251.01	橙3易伤1伤害1等级1时间1暴击	1金币生成2暴击3伤害4掉矿5时间6等级79a易伤8核
115	52522 53233	7	   	250.82	橙3易伤2伤害2暴击	1低血量敌人25暴击3加一456易伤5序列升级78伤害9雷电a核
116	52522 54233	6	   	250.82	橙3易伤2伤害2暴击	1低血量敌人25暴击3加一456易伤5序列升级78伤害9雷电a核
117	31222 55225	6	   	250.63	橙3易伤2攻速1伤害1时间	1挖尘2时间3a攻速489易伤5雷电6伤害7核
118	41311 52136	2	 * 	250.24	紫4易伤3时间3攻速	1核2金币生成356a易伤456攻速56序列升级789时间
119	26353 14311	9	   	250.09	橙4易伤3暴击1等级	18金币生成268暴击3等级4策反5678易伤68序列升级9核a平台
120	26353 14311	10	   	250.09	橙4易伤3暴击1等级	18金币生成268暴击3等级4a策反5678易伤68序列升级9核
121	26353 14313	9	   	250.09	橙4易伤3暴击1等级	18金币生成268暴击3等级4策反5678易伤68序列升级9核a矿等
122	51112 26412	1	   	249.90	橙3易伤2伤害1等级1攻速	1低血量敌人2平台35伤害457易伤5序列升级6核8最后敌人9等级a攻速
123	45532 23131	1	 * 	249.71	紫5易伤2攻速1伤害1暴击	1核24578易伤35攻速5序列升级6暴击9赏金邻近a伤害
124	34422 52281	10	   	249.69	橙4易伤3暴击1等级	1挖尘2加一359暴击4567易伤5序列升级8等级a核
125	34422 63632	9	   	249.69	橙4易伤3暴击1等级	1挖尘2加一359暴击457a易伤5序列升级6等级8核
126	15532 26323	1	 * 	249.35	橙3易伤3攻速1伤害1暴击	1挖青245易伤358攻速5序列升级6暴击7敌人爆炸9核a伤害
127	51112 26623	1	   	249.31	橙3易伤3伤害1攻速	1低血量敌人2平台358伤害457易伤5序列升级6核9最后敌人a攻速
128	52122 41212	7	   	249.30	橙3易伤2时间1伤害1暴击1卖塔	15低血量敌人2暴击3a时间456易伤5序列升级7卖塔8核9伤害
129	51522 31314	3	   	249.21	橙3易伤3伤害1攻速	1低血量敌人2立即金币359伤害45a易伤5序列升级6掉矿7攻速8核
130	51522 31314	4	   	249.21	橙3易伤3伤害1攻速	1低血量敌人2立即金币359伤害45a易伤5序列升级6掉矿7攻速8核
131	33522 31314	3	   	249.01	橙3易伤3伤害1攻速	12挖尘25序列升级359伤害45a易伤6掉矿7攻速8核
132	33522 31314	4	   	249.01	橙3易伤3伤害1攻速	12挖尘25序列升级359伤害45a易伤6掉矿7攻速8核
133	15531 24121	1	 * 	248.91	橙4易伤2攻速3雷电	1挖青248a易伤38攻速5随机矿68a雷电7核8a序列升级9a矿等
134	52522 13534	9	   	248.91	橙4易伤2攻速2暴击	1a低血量敌人25暴击3加一457a易伤5a序列升级6a攻速8核9立即金币
135	52522 13544	9	   	248.91	橙4易伤2攻速2暴击	19a低血量敌人25暴击3加一457a易伤5a序列升级6a攻速8核
136	66113 52313	9	   	248.80	橙2易伤2伤害1等级1时间1攻速1全技能	1全技能29易伤3最后敌人45伤害6核7等级8时间a攻速
137	34422 18534	9	   	248.71	橙4易伤2攻速2暴击	1a挖尘2加一35暴击457a易伤5a序列升级6a攻速8核9立即金币
138	15532 12214	1	 * 	248.71	橙4易伤2攻速1伤害	1挖青245a易伤35攻速5序列升级6随机矿7掉矿8核9伤害
139	65212 31312	8	   	248.65	橙2易伤2时间1伤害1等级1暴击1全技能	1全技能2伤害3a矿等4等级5暴击6a易伤7最后敌人8a时间9核a序列升级
140	65212 31342	9	   	248.65	橙2易伤2时间1伤害1等级1暴击1全技能	1全技能2伤害3a矿等4等级5暴击6a易伤7最后敌人8a时间9核a序列升级
141	34263 21164	9	   	248.61	橙4易伤2攻速2暴击	1a挖尘2加一36攻速459a易伤7核8a暴击a序列升级
142	34422 18524	9	   	248.61	橙4易伤2攻速2暴击	19a挖尘2加一35暴击457a易伤5a序列升级6a攻速8核
143	34422 72814	9	   	248.61	橙4易伤2攻速2暴击	16a挖尘2加一35暴击457a易伤5a序列升级8核9a攻速
144	34422 13546	5	   	248.55	橙3易伤2伤害3暴击	19挖尘2加一357暴击459易伤59序列升级69伤害8随机矿a核
145	65212 33512	8	   	248.55	橙2易伤2时间1伤害1等级1暴击1全技能	1全技能2伤害3a矿等4等级5暴击6a易伤7挖尘8a时间9核a序列升级
146	31113 46522	9	   	248.53	橙3伤害1易伤2时间1等级1暴击1全技能	1挖尘26时间3全技能456伤害6序列升级7易伤8等级9核a暴击
147	66113 51232	9	   	248.46	橙3易伤2伤害1时间1全技能	1全技能29a易伤3最后敌人45伤害6核7时间8低血量敌人
148	52122 35361	6	   	248.44	橙4易伤1时间1暴击1攻速	15低血量敌人2暴击3时间457a易伤5序列升级6挖尘8攻速9核
149	52322 13161	7	   	248.44	橙4易伤1时间1暴击1攻速	15低血量敌人2暴击3挖尘457a易伤5序列升级6攻速8时间9核
150	52322 13361	8	   	248.44	橙4易伤1时间1暴击1攻速	15低血量敌人2暴击3挖尘457a易伤5序列升级6攻速8时间9核
151	52322 35361	5	   	248.44	橙4易伤1时间1暴击1攻速	15低血量敌人2暴击3挖尘457a易伤5序列升级6时间8攻速9核
152	21514 11523	9	   	248.39	橙2易伤2伤害2时间1暴击1卖塔	1金币生成2卖塔3a时间4暴击5基地爆炸6a伤害7核8雷电9a易伤a序列升级
153	31115 52612	5	   	248.35	橙2易伤2时间1伤害1等级1暴击1全技能	1挖尘2a时间3全技能4伤害5暴击6a掉矿7等级8a易伤9核a序列升级
154	31251 25361	2	   	248.34	橙4易伤1时间1暴击1攻速	1挖尘2时间3暴击457a易伤6低血量敌人8攻速9核
155	33251 35361	1	   	248.34	橙4易伤1时间1暴击1攻速	1挖尘2低血量敌人3暴击457a易伤6时间8攻速9核
156	52321 35361	4	   	248.34	橙4易伤1时间1暴击1攻速	1低血量敌人2暴击3挖尘457a易伤6时间8攻速9核
157	21516 11523	9	   	248.29	橙2易伤2伤害2时间1暴击1卖塔	1金币生成2卖塔3a时间4暴击5挖尘6a伤害7核8雷电9a易伤a序列升级
158	21242 21523	9	   	248.29	橙2易伤2伤害2时间1暴击1卖塔	1金币生成2卖塔3a伤害4暴击5挖尘6a时间7核8雷电9a易伤a序列升级
159	15236 11163	1	   	248.20	橙2易伤2伤害2暴击1等级1时间	1挖青27易伤37暴击4金币生成5等级67伤害7序列升级8时间9核a基地爆炸
160	15236 11162	1	   	248.10	橙2易伤2伤害2暴击1等级1时间	1挖青27易伤37暴击4金币生成5等级67伤害7序列升级8时间9核a掉矿
161	34141 37741	10	   	248.07	橙4易伤1伤害1攻速1全技能	1挖尘2加一3全技能4589易伤6核7伤害a攻速
162	34141 38741	10	   	248.07	橙4易伤1伤害1攻速1全技能	1挖尘2加一3全技能4589易伤6核7攻速a伤害
163	51112 22531	1	   	248.06	橙3易伤3伤害1全技能	18低血量敌人2平台358伤害458易伤58序列升级6核7赏金邻近9全技能a立即金币
164	51112 22532	1	   	248.06	橙3易伤3伤害1全技能	18低血量敌人2平台358伤害458易伤58序列升级6核7赏金邻近9全技能a最后敌人
165	51112 22533	1	   	248.06	橙3易伤3伤害1全技能	18a低血量敌人2平台358伤害458易伤58序列升级6核7赏金邻近9全技能
166	51112 22536	1	   	248.06	橙3易伤3伤害1全技能	18低血量敌人2平台358伤害458易伤58序列升级6核7赏金邻近9全技能a随机矿
167	22235 16212	1	   	247.96	橙3易伤3伤害1全技能	1金币生成256伤害358易伤4平台5序列升级7全技能9核a低血量敌人
168	22235 16215	1	   	247.96	橙3易伤3伤害1全技能	1金币生成256伤害358易伤4平台5序列升级7全技能9核a基地爆炸
169	66113 51312	6	   	247.96	橙3易伤3伤害1全技能	1全技能28a易伤3最后敌人45a伤害6核7赏金塔9a基地爆炸a序列升级
170	66215 22212	4	   	247.96	橙3易伤3伤害1全技能	1全技能26a易伤3低血量敌人48a伤害5赏金塔7核9a基地爆炸a序列升级
171	22235 16213	1	   	247.86	橙3易伤3伤害1全技能	1金币生成256伤害358易伤4平台5序列升级7全技能9核a掉矿
172	22235 16216	1	   	247.86	橙3易伤3伤害1全技能	1金币生成256伤害358易伤4平台5序列升级7全技能9核a挖青
173	34141 22684	7	   	247.83	橙4易伤2时间1全技能	168挖尘2加一3全技能458a易伤78时间8序列升级9核
174	15236 11225	1	   	247.61	橙2易伤3伤害2暴击1等级	1挖青27易伤37暴击4金币生成5等级678伤害7序列升级9核a基地爆炸
175	34141 38742	9	   	247.54	橙5易伤1攻速1全技能	1挖尘2加一3全技能4589a易伤6核7攻速
176	15235 11223	1	   	247.51	橙2易伤3伤害2暴击1时间	1挖青27易伤37暴击4金币生成5掉矿678伤害7序列升级9核a时间
177	15236 11224	1	   	247.51	橙2易伤3伤害2暴击1等级	1挖青27易伤37暴击4金币生成5等级678伤害7序列升级9核a赏金塔
178	34422 52821	10	   	247.47	橙4易伤1伤害2暴击	1挖尘2加一35暴击4567易伤5序列升级8核9金币生成a伤害
179	34422 53531	8	   	247.47	橙4易伤1伤害2暴击	1挖尘2加一35暴击456a易伤5序列升级7伤害8核9最后敌人
180	34422 53541	9	   	247.47	橙4易伤1伤害2暴击	1挖尘2加一35暴击456a易伤5序列升级7伤害8核9低血量敌人
181	26223 14263	10	   	247.47	橙4易伤1伤害2暴击	1金币生成26暴击3伤害4掉矿567a易伤6序列升级8挖尘9核
