0	Index      	Bounty	 *	Score 	Summary	Detail	
1	41112 31625	10	 * 	282.47	紫4易伤3伤害3时间1全技能	1全技能289伤害35挖尘4核689a易伤789时间89序列升级
2	41333 21543	9	 * 	278.90	橙3易伤3伤害2时间1全技能	1全技能269伤害39时间4敌人爆炸5金币生成79a易伤8核9序列升级
3	13132 32643	3	   	278.04	橙3易伤2伤害2时间1等级	1挖尘25a易伤3金币生成4等级6核7a时间8雷电9a伤害a序列升级
4	13622 32643	4	   	278.04	橙3易伤2伤害2时间1等级	1挖尘25a易伤3等级4金币生成6核7a时间8雷电9a伤害a序列升级
5	23632 32643	3	   	278.04	橙3易伤2伤害2时间1等级	1掉矿25a易伤3敌人爆炸4等级6核7a时间8雷电9a伤害a序列升级
6	36152 22263	3	   	278.04	橙3易伤2伤害2时间1暴击1攻速	1挖青2攻速356易伤46伤害6序列升级78时间9暴击a核
7	23123 66141	3	 * 	277.88	橙5易伤2时间1伤害	1掉矿23679易伤45时间8核a伤害
8	31164 48714	8	 * 	277.80	橙4易伤3时间3暴击	1挖青2额外掉落37a时间4加一579a易伤67a暴击7a序列升级8核
9	31164 48744	9	   	277.80	橙4易伤3时间3暴击	1挖青2额外掉落37a时间4加一579a易伤67a暴击7a序列升级8核
10	12423 12335	6	 * 	275.92	橙4易伤2伤害2时间	123挖尘457a易伤6核8a时间9a伤害a序列升级
11	12423 16335	7	   	275.92	橙4易伤2伤害2时间	123挖尘457a易伤6核8a时间9a伤害a序列升级
12	12425 12335	6	   	275.92	橙4易伤2伤害2时间	123挖尘457a易伤5a序列升级6核8a时间9a伤害
13	33152 22363	3	   	275.09	橙4易伤2伤害1时间1暴击	1挖青2矿等3568易伤46伤害6序列升级7时间9暴击a核
14	41263 35313	10	   	274.01	橙2易伤2伤害2时间2全技能1等级1暴击	16全技能2a伤害3额外掉落4a时间5等级7暴击8a易伤9核a序列升级
15	41262 35122	4	 * 	273.80	橙2易伤2伤害2时间2攻速1等级1全技能	1全技能28伤害3额外掉落45时间68攻速78易伤8序列升级9等级a核
16	41343 35122	4	   	273.80	橙2易伤2伤害2时间2攻速1等级1全技能	1全技能28伤害34时间5额外掉落68攻速78易伤8序列升级9等级a核
17	42343 35122	4	   	273.80	橙2易伤2伤害2时间2攻速1等级1全技能	1全技能28攻速34时间5额外掉落68伤害78易伤8序列升级9等级a核
18	41411 31622	9	   	273.68	紫3易伤3伤害3时间1暴击1全技能	1全技能289伤害3低血量敌人4核5双倍矿689易伤789时间89序列升级a暴击
19	41112 31622	9	   	273.48	紫3易伤3伤害3时间1暴击1全技能	1全技能289伤害35挖尘4核689易伤789时间89序列升级a暴击
20	33521 24216	1	 * 	271.56	橙4易伤3时间2等级	1挖青2368易伤456时间68序列升级78等级9挖尘a核
21	41253 15313	10	 * 	271.02	橙2易伤3伤害2等级1时间1暴击1全技能	1全技能24a伤害3额外掉落5a等级6时间7暴击8a易伤9核a序列升级
22	41112 31626	10	   	270.83	紫3易伤3伤害3时间1攻速1全技能	1全技能289伤害35挖尘4核689易伤789时间89序列升级a攻速
23	33513 26261	1	 * 	269.34	橙4易伤2时间3雷电1攻速	1挖青239a易伤4攻速59时间6核789雷电9序列升级
24	41411 31621	9	   	268.34	紫3易伤3伤害3时间1全技能	1全技能289伤害3低血量敌人4核5双倍矿689易伤789时间89序列升级a雷电
25	41333 21541	10	   	268.24	橙2易伤3伤害2时间1等级1全技能	1全技能269伤害39时间4敌人爆炸5金币生成79易伤8核9序列升级a等级
26	41112 31621	9	   	268.14	紫3易伤3伤害3时间1全技能	1全技能289伤害35挖尘4核689易伤789时间89序列升级a雷电
