0	Index      	Bounty	 *	Score 	Summary	Detail	
1	15211 33134	6	 * 	302.53	橙3易伤3伤害3时间2等级	147时间2双倍矿349伤害47序列升级57等级678易伤a核
2	11623 45231	6	   	300.52	橙3易伤3时间2伤害3雷电1暴击	178时间278雷电3金币生成4暴击578易伤6核78序列升级9a伤害
3	65231 62322	8	 * 	300.04	橙4易伤3伤害3攻速1卖塔	1678易伤2双倍矿378伤害478攻速5卖塔78序列升级9核a雷电
4	15211 36221	9	   	296.53	橙3易伤3时间2伤害2等级	14a时间2双倍矿34伤害4a序列升级5a等级69a易伤7全技能8核
5	61135 31233	8	 * 	295.94	橙5易伤2伤害1时间2雷电	13579易伤29雷电4掉矿6时间89伤害9序列升级a核
6	66213 53311	2	 * 	295.53	橙4易伤2伤害2时间1攻速	1489易伤2随机矿3雷电58伤害6核78时间8序列升级a攻速
7	64153 32333	1	 * 	294.33	橙5易伤3攻速3雷电1等级	14689易伤289攻速3敌人爆炸5等级789雷电89序列升级a核
8	61135 32333	6	   	294.23	橙5易伤3攻速3雷电1时间	13589易伤289雷电4掉矿6时间789攻速89序列升级a核
9	11143 42315	5	 * 	292.93	橙5易伤2时间1伤害2雷电	18时间28雷电34689易伤5挖青7核8序列升级a伤害
10	15211 32234	9	   	292.37	橙4易伤2伤害2时间1等级	14时间2双倍矿34伤害4序列升级5等级689a易伤7核
11	65231 62323	8	 * 	291.73	橙4易伤3伤害3攻速1卖塔	1678易伤2双倍矿378伤害478攻速5卖塔78序列升级9核a最后敌人
12	16633 31621	1	 * 	291.68	橙4易伤3时间3等级1伤害1卖塔	179时间279等级3伤害4卖塔5矿等6789易伤79序列升级a核
13	65231 62312	8	 * 	291.63	橙4易伤3伤害3攻速1卖塔	1678易伤2双倍矿378伤害478攻速5卖塔78序列升级9赏金塔a核
14	65231 62321	8	 * 	291.63	橙4易伤3伤害3攻速1卖塔	1678易伤2双倍矿378伤害478攻速5卖塔78序列升级9核a掉矿
15	66213 53312	2	   	291.08	橙4易伤2伤害2时间2雷电	1489易伤2随机矿3a雷电58伤害6核78时间8序列升级
16	61115 51233	8	   	290.79	橙5易伤2伤害2雷电1攻速	13579易伤29雷电4最后敌人6攻速89伤害9序列升级a核
17	11143 42311	5	   	289.12	橙5易伤2时间1等级2雷电	18时间28雷电34689易伤5挖青7核8序列升级a等级
18	11123 42345	5	 * 	286.62	橙4易伤3时间1伤害2雷电	148时间28雷电3689易伤5挖青7核8序列升级a伤害
19	11143 42335	5	   	286.62	橙4易伤3时间1伤害2雷电	189时间28雷电3468易伤5挖青7核8序列升级a伤害
20	11141 42315	4	   	286.48	橙5易伤2时间1伤害	18时间2雷电34689易伤58基地爆炸7核8序列升级a伤害
21	11142 12315	4	   	286.48	橙5易伤2时间1伤害	18时间2雷电34589易伤68低血量敌人7核8序列升级a伤害
22	11142 32315	4	   	286.48	橙5易伤2时间1伤害	18时间2雷电34589易伤68敌人爆炸7核8序列升级a伤害
23	11145 12315	5	   	286.48	橙5易伤2时间1伤害	18时间2雷电34589易伤68低血量敌人7核8序列升级a伤害
24	11145 32315	5	   	286.48	橙5易伤2时间1伤害	18时间2雷电34589易伤68敌人爆炸7核8序列升级a伤害
25	21143 42315	4	   	286.48	橙5易伤2时间1伤害	18敌人爆炸2雷电34689易伤58时间7核8序列升级a伤害
26	61113 42315	2	   	286.48	橙5易伤2时间1伤害	13689易伤2雷电48敌人爆炸58时间7核8序列升级a伤害
27	61113 42315	3	   	286.48	橙5易伤2时间1伤害	13689易伤2雷电48敌人爆炸58时间7核8序列升级a伤害
28	61133 42315	3	   	286.48	橙5易伤2时间1伤害	13689易伤2雷电48基地爆炸58时间7核8序列升级a伤害
29	61133 42315	2	   	286.48	橙5易伤2时间1伤害	13689易伤2雷电48基地爆炸58时间7核8序列升级a伤害
30	11142 22315	4	   	286.28	橙5易伤2时间1伤害	18时间2雷电34589易伤68挖尘7核8序列升级a伤害
31	11145 21243	6	   	286.28	橙5易伤2时间1伤害	17时间2雷电34578易伤67掉矿7序列升级9伤害a核
32	11145 22315	5	   	286.28	橙5易伤2时间1伤害	18时间2雷电34589易伤68挖尘7核8序列升级a伤害
33	31143 42315	4	   	286.28	橙5易伤2时间1伤害	18挖尘2雷电34689易伤58时间7核8序列升级a伤害
34	61135 31243	6	   	286.28	橙5易伤2时间1伤害	13578易伤2雷电47掉矿67时间7序列升级9伤害a核
35	66213 53333	2	   	284.78	橙3易伤3时间2伤害	148易伤2随机矿3雷电58伤害6核789时间8序列升级a全技能
36	66153 22311	4	   	284.50	橙4易伤2时间2等级2雷电1攻速	1489易伤2随机矿34时间48序列升级58等级68雷电7核a攻速
37	66213 53313	2	   	284.43	橙4易伤2伤害2时间	1489易伤2随机矿3雷电58伤害6核78时间8序列升级a掉矿
