0	Index      	 *	Score 	Summary	Detail	
1	33221 31634	 * 	386.50	ACR|4VULN|1MDPS|2DUR	1RCR|28ASPD|38DUR|4AAC|5RCVC|6789VULN|8BPWR|aMDPS
2	14513 62122	 * 	384.75	DCR|2VULN|1MDPS|1CDMG|2AART|1DUR	1DUR|25RAT|35VULN|4TBNT|5BPWR|6RCR|78AART|9CDMG|aMDPS
3	14511 62122	   	384.65	DCR|2VULN|1MDPS|1CDMG|2AART|1DUR	1DUR|2RAT|35VULN|4TBNT|6RCR|78AART|9CDMG|aMDPS
4	36135 53113	 * 	378.23	ACR|3VULN|1MDPS|2TLV|1DUR	1RCR|268VULN|3LIT|48TLV|58CGEN|7TBNT|8BPWR|9DUR|aMDPS
5	36132 53113	   	378.03	ACR|3VULN|1MDPS|2TLV|1DUR	1RCR|268VULN|3LIT|48TLV|58ERES|7TBNT|8BPWR|9DUR|aMDPS
6	13132 56211	 * 	365.38	2MDPS|2VULN|1CDMG|1TLV|1DUR|1MSE	1DUR|2CDMG|3CANTOX|4FEWX|57VULN|6TLV|8aMDPS|9MSE
7	13152 56211	 * 	365.28	2MDPS|2VULN|1CDMG|1TLV|1DUR|1MSE	1DUR|2CDMG|3CANTOX|4DUST|57VULN|6TLV|8aMDPS|9MSE
8	26462 31211	 * 	365.28	2MDPS|2VULN|1CDMG|1TLV|1DUR|1MSE	1TLV|24VULN|3CDMG|5DUR|6DUST|7SPLARM|8aMDPS|9MSE
9	26462 33211	 * 	365.28	2MDPS|2VULN|1CDMG|1TLV|1DUR|1MSE	1TLV|24VULN|3CDMG|5DUR|6DUST|7MSLREG|8aMDPS|9MSE
10	36122 51251	 * 	362.23	ACR|3VULN|1MDPS|1CDMG|1DUR	1RCR|269VULN|3LIT|4ASPD|5ERES|7DUR|8CDMG|aMDPS
11	36165 31321	   	361.23	ACR|3VULN|1MDPS|2DUR|1AART	1RCR|246VULN|345LIT|4BPWR|7AART|89DUR|aMDPS
12	36135 53213	   	361.13	ACR|3VULN|1MDPS|1TLV|1DUR	1RCR|268VULN|3LIT|4TLV|5CGEN|7TBNT|9DUR|aMDPS
13	36132 53213	   	361.03	ACR|3VULN|1MDPS|1TLV|1DUR	1RCR|268VULN|3LIT|4TLV|5ERES|7TBNT|9DUR|aMDPS
14	36132 54113	   	361.03	ACR|3VULN|1MDPS|1TLV|1DUR	1RCR|267VULN|3LIT|4TLV|5ERES|8BBNT|9DUR|aMDPS
15	36132 54243	   	361.03	ACR|3VULN|1MDPS|1TLV|1DUR	1RCR|267VULN|3LIT|4TLV|5ERES|8MBVNT|9DUR|aMDPS
16	25531 23412	 * 	360.63	DCR|1MDPS|1VULN|2TLV|2CDMG|1DUR	17TLV|2FEWX|37RAT|4VULN|5AME|67CDMG|7BPWR|8RCR|9DUR|aMDPS
17	26331 23412	   	360.53	DCR|1MDPS|1VULN|2TLV|2CDMG|1DUR	17TLV|2VULN|37ERES|4RAT|5FEWX|67CDMG|7BPWR|8RCR|9DUR|aMDPS
18	26511 23412	   	360.53	DCR|1MDPS|1VULN|2TLV|2CDMG|1DUR	17TLV|2VULN|37RAT|4DUST|5AME|67CDMG|7BPWR|8RCR|9DUR|aMDPS
19	21266 12512	 * 	358.40	ACR|2VULN|1MDPS|1CDMG|1TLV|1DUR|1AART	1TLV|2CDMG|3DUST|49VULN|5RCR|6DUR|7CGEN|8AART|aMDPS
20	13152 23213	   	358.24	DCR|2VULN|1MDPS|1CDMG|1DUR	1DUR|2CDMG|3CANTOX|4DUST|58VULN|6TBNT|7MBVNT|9RCR|aMDPS
21	26216 53113	 * 	358.18	DCR|3VULN|2TLV|2CDMG|1DUR	18TLV|268VULN|3CGEN|4BEXP|58CDMG|7TBNT|8BPWR|9DUR|aRCR
22	26316 53113	   	358.08	DCR|3VULN|2TLV|2CDMG|1DUR	18TLV|268VULN|3ERES|4BEXP|58CDMG|7TBNT|8BPWR|9DUR|aRCR
