0	Index      	 *	Score 	Summary	Detail	
1	11542 22114	 * 	388.58	DCR|3VULN|1MDPS|1DUR|1AART	1DUR|2AME|3LHND|458VULN|6LWND|7RCR|9AART|aMDPS
2	14162 16122	 * 	378.61	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR	1DUR|2BEXP|35VULN|4AAC|6SNITOX|7RCR|8DMG|9CDMG|aMDPS
3	21642 16122	   	378.61	DCR|2VULN|1MDPS|1CDMG|1DMG|1DUR	1AAC|2FEWX|3DUR|45VULN|6SNITOX|7RCR|8DMG|9CDMG|aMDPS
4	13311 15162	 * 	371.00	DCR|2VULN|1MDPS|1CDMG|2DUR	14DUR|2TBNT|38LIT|5CDMG|6RCR|79VULN|aMDPS
5	16311 15162	   	371.00	DCR|2VULN|1MDPS|1CDMG|2DUR	14DUR|2BBNT|38LIT|5CDMG|6RCR|79VULN|aMDPS
6	13311 15662	   	370.90	DCR|2VULN|1MDPS|1CDMG|2DUR	14DUR|2TBNT|3LIT|5CDMG|6RCR|79VULN|8AEPOI|aMDPS
7	13213 46187	 * 	370.90	DCR|2VULN|1MDPS|2CDMG|1DUR	1DUR|2TBNT|3BEXP|4MBVNT|57CDMG|68VULN|9RCR|aMDPS
8	13213 51187	   	370.90	DCR|2VULN|1MDPS|1CDMG|2DUR	16DUR|2TBNT|3BEXP|4MBVNT|5CDMG|78VULN|9RCR|aMDPS
9	15111 61351	 * 	370.57	DCR|2MDPS|1VULN|2DUR|1TLV	16DUR|25CGEN|3RAT|4VULN|7RCR|89MDPS|aTLV
10	15111 61352	   	370.57	DCR|2MDPS|1VULN|2DUR	16DUR|25CGEN|3RAT|4VULN|7RCR|89MDPS|aAEBURN
11	15111 61353	   	370.57	DCR|2MDPS|1VULN|2DUR	16DUR|25CGEN|3RAT|4VULN|7RCR|89MDPS|aMGNBOS
12	15113 11351	   	370.57	DCR|2MDPS|1VULN|2DUR|1TLV	15DUR|26CGEN|3RAT|4VULN|7RCR|89MDPS|aTLV
13	15113 11352	   	370.57	DCR|2MDPS|1VULN|2DUR	15DUR|26CGEN|3RAT|4VULN|7RCR|89MDPS|aAEBURN
14	15113 11353	   	370.57	DCR|2MDPS|1VULN|2DUR	15DUR|26CGEN|3RAT|4VULN|7RCR|89MDPS|aMGNBOS
15	15113 11354	   	370.57	DCR|2MDPS|1VULN|2DUR	15DUR|26CGEN|3RAT|4VULN|7RCR|89MDPS|aBEXP
16	15113 11355	   	370.57	DCR|2MDPS|1VULN|2DUR	15DUR|26CGEN|3RAT|4VULN|7RCR|89MDPS|aERES
17	15113 11356	   	370.57	DCR|2MDPS|1VULN|2DUR	15DUR|26CGEN|3RAT|4VULN|7RCR|89MDPS|aLEGI
18	15113 21351	   	370.57	DCR|2MDPS|1VULN|2DUR|1TLV	15DUR|2CGEN|3RAT|4VULN|6RCVC|7RCR|89MDPS|aTLV
19	15113 21352	   	370.57	DCR|2MDPS|1VULN|2DUR	15DUR|2CGEN|3RAT|4VULN|6RCVC|7RCR|89MDPS|aAEBURN
20	15113 21353	   	370.57	DCR|2MDPS|1VULN|2DUR	15DUR|2CGEN|3RAT|4VULN|6RCVC|7RCR|89MDPS|aMGNBOS
21	15113 21354	   	370.57	DCR|2MDPS|1VULN|2DUR	15DUR|2CGEN|3RAT|4VULN|6RCVC|7RCR|89MDPS|aBEXP
22	15113 21355	   	370.57	DCR|2MDPS|1VULN|2DUR	15DUR|2CGEN|3RAT|4VULN|6RCVC|7RCR|89MDPS|aERES
23	15113 21356	   	370.57	DCR|2MDPS|1VULN|2DUR	15DUR|2CGEN|3RAT|4VULN|6RCVC|7RCR|89MDPS|aLEGI
24	12531 32542	 * 	367.82	ACR|3MDPS|1VULN|1DMG|1DUR	1DUR|2ASPD|3LHND|4RCR|5VULN|69aMDPS|7DMG|8BBNT
25	14151 63221	 * 	362.23	ACR|3VULN|1MDPS|1CDMG|1DUR	1DUR|2BEXP|367VULN|4RCR|5CDMG|8AME|9MDPS|aRCVC
26	14151 63222	   	362.23	ACR|3VULN|1MDPS|1CDMG|1DUR	1DUR|2BEXP|367VULN|4RCR|5CDMG|8AME|9MDPS|aDUST
27	14151 63223	   	362.23	ACR|3VULN|1MDPS|1CDMG|1DUR	1DUR|2BEXP|367VULN|4RCR|5CDMG|8AME|9MDPS|aRPLT
