0	Index      	 *	Score 	Summary	Detail	
1	52335 43323	 * 	378.94	DCR|3VULN|1MDPS|2CDMG|2DMG|1TLV|1DUR	179VULN|2LHND|37CDMG|4MDPS|57DMG|6RCR|7BPWR|8TLV|aDUR
2	55263 31213	   	374.93	DCR|3VULN|1MDPS|1DUR	123VULN|3BPWR|4DUR|5RPLT|6RCR|7LHND|8DUST|9FEWX|aMDPS
3	55263 31233	   	374.93	DCR|3VULN|1MDPS|1DUR	123VULN|3BPWR|4DUR|5RPLT|6RCR|7LHND|8DUST|9BEXP|aMDPS
4	21341 55222	   	372.19	DCR|2VULN|1MDPS|1CDMG|1DUR|1AART	1CDMG|24VULN|3LWND|5RAT|6RCR|7AART|8DUST|9DUR|aMDPS
5	21341 55324	   	372.19	DCR|2VULN|1MDPS|1CDMG|1DUR|1AART	1CDMG|24VULN|3LWND|5RAT|6RCR|7AART|8MBVNT|9DUR|aMDPS
6	51241 12433	   	371.10	DCR|2VULN|1MDPS|1TLV|1DUR|1AART	14VULN|2TLV|3LHND|5AART|6FEWX|7DUR|8RCR|9CGEN|aMDPS
7	21341 51413	 * 	367.75	DCR|4VULN|1CDMG|1TLV|1DUR	1CDMG|247aVULN|3LWND|5RAT|6RCR|8DUR|9TLV
8	55263 33313	   	367.65	DCR|4VULN|1CDMG|1TLV|1DUR	1239VULN|3BPWR|4DUR|5RPLT|6RCR|7CDMG|8AEPOI|aTLV
9	21425 22111	   	364.80	DCR|1MDPS|1VULN|1CDMG|1TLV|1DMG|1DUR|1AART	1CDMG|2VULN|3AART|4LIT|5DMG|6RCR|7TBNT|8TLV|9DUR|aMDPS
10	22324 41251	   	358.64	DCR|2VULN|1MDPS|1CDMG|1DUR	1CDMG|256BEXP|3LWND|4DUR|7RCR|89VULN|aMDPS
11	21321 64115	   	358.54	DCR|2VULN|1MDPS|1CDMG|1DUR	1CDMG|26VULN|3LWND|4DUR|5RAT|7BASHEA|8RCR|9BELT|aMDPS
12	21341 24115	   	358.54	DCR|2VULN|1MDPS|1CDMG|1DUR	1CDMG|24VULN|3LWND|5RAT|6DUR|7BASHEA|8RCR|9BELT|aMDPS
13	21523 36253	   	358.40	DCR|2VULN|1MDPS|1CDMG|1DUR|1SELL	1CDMG|27VULN|3RMIN|4SELL|5RPLT|6BOSS|8RCR|9DUR|aMDPS
14	51163 31324	   	357.35	DCR|2VULN|1MDPS|1TLV|1DUR	19VULN|2TLV|3ZMB|4FEWX|5DUR|6AME|7RAT|8RCR|aMDPS
15	51133 25324	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	17VULN|2TLV|3ZMB|4BBNT|5DUR|6ERES|8RCR|9RAT|aMDPS
16	51323 62135	   	357.25	DCR|2VULN|1MDPS|1TLV|1DUR	16VULN|2TLV|3DUST|47MLV|5DUR|8AEWIND|9RCR|aMDPS
17	55262 21211	 * 	355.37	2MDPS|3VULN|1TLV|1DUR	123VULN|3BPWR|4DUR|59MDPS|6CANSTR|7DUST|8TLV|aAETHUN
18	55262 21212	   	355.37	2MDPS|3VULN|1TLV|1DUR	123VULN|3BPWR|4DUR|59MDPS|6CANSTR|7DUST|8TLV|aLHND
19	55262 21213	   	355.37	2MDPS|3VULN|1TLV|1DUR	123VULN|3BPWR|4DUR|59MDPS|6CANSTR|7DUST|8TLV|aFRZICY
20	55262 23211	   	355.37	2MDPS|3VULN|1TLV|1DUR	123VULN|3BPWR|4DUR|59MDPS|6CANSTR|7FEWX|8TLV|aAETHUN
21	55262 23212	   	355.37	2MDPS|3VULN|1TLV|1DUR	123VULN|3BPWR|4DUR|59MDPS|6CANSTR|7FEWX|8TLV|aLHND
22	55262 23213	   	355.37	2MDPS|3VULN|1TLV|1DUR	123VULN|3BPWR|4DUR|59MDPS|6CANSTR|7FEWX|8TLV|aFRZICY
23	61132 36413	 * 	355.00	ACR|2VULN|1MDPS|2DMG|1TLV|1DUR	19DMG|2BBNT|3TLV|4DUR|5RCR|68VULN|7FEWX|aMDPS
24	21341 51433	 * 	354.00	DCR|4VULN|2CDMG|1DUR	19CDMG|247aVULN|3LWND|5RAT|6RCR|8DUR
25	52335 43122	   	352.74	DCR|3VULN|1MDPS|2CDMG|2DMG|1DUR	179VULN|2LHND|37CDMG|4MDPS|57DMG|6RCR|7BPWR|8DUR|aLWND
26	52335 43123	   	352.74	DCR|3VULN|1MDPS|2CDMG|2DMG|1DUR	179VULN|2LHND|37CDMG|4MDPS|57DMG|6RCR|7BPWR|8DUR|aAAC
27	55263 21231	 * 	352.71	4VULN|1MDPS|2DUR|1TLV	1239VULN|3BPWR|46DUR|5RPLT|7TLV|8CANARM|aMDPS
28	52335 43121	   	352.64	DCR|3VULN|1MDPS|2CDMG|2DMG|1DUR	179VULN|2LHND|37CDMG|4MDPS|57DMG|6RCR|7BPWR|8DUR|aBBNT
29	22427 12338	 * 	351.04	DCR|1MDPS|1VULN|1CDMG|2DUR|1DMG|1AART	1CDMG|2BEXP|3AART|4MBVNT|5VULN|6DMG|78DUR|9RCR|aMDPS
