0	Index      	 *	Score 	Summary	Detail	
1	43251 11116	 * 	291.71	橙橙2易伤1伤害2暴击1矿等	16易伤25暴击3随机技能4攻速7a核8伤害9矿等
2	42242 22118	 * 	282.15	橙橙2易伤1等级1伤害	19易伤2赏金塔3攻速4加一5伤害6敌人爆炸7a核8等级
3	42242 22328	   	282.15	橙橙2易伤1等级1伤害	18易伤2赏金塔3攻速4加一5伤害6敌人爆炸7a核9等级
4	42242 42118	   	282.15	橙橙2易伤1等级1伤害	19易伤2赏金塔3攻速4加一5伤害6基地爆炸7a核8等级
5	42242 42328	   	282.15	橙橙2易伤1等级1伤害	18易伤2赏金塔3攻速4加一5伤害6基地爆炸7a核9等级
6	43251 11136	   	276.11	橙橙2易伤1伤害2暴击	16易伤25暴击3随机技能4攻速7a核8伤害9金币生成
7	43251 11126	   	276.01	橙橙2易伤1伤害2暴击	16易伤25暴击3随机技能4攻速7a核8伤害9技能点
8	41513 23283	 * 	275.11	橙橙2易伤1喷火对甲1伤害	13易伤2双倍秒伤4加一5策反67核8技能点9喷火对甲a伤害
9	41513 23611	   	270.75	橙橙2易伤1等级1矿等	13易伤2双倍秒伤4加一5策反67核8矿等9敌人爆炸a等级
10	41513 23621	   	270.65	橙橙2易伤1等级1矿等	13易伤2双倍秒伤4加一5策反67核8矿等9挖青a等级
11	41513 23641	   	270.65	橙橙2易伤1等级1矿等	13易伤2双倍秒伤4加一5策反67核8矿等9挖尘a等级
12	44153 23111	   	269.59	橙橙2易伤1伤害1时间	18易伤2伤害3双倍秒伤4攻速5策反67核9时间a激光对冰
13	44153 23112	   	269.59	橙橙2易伤1伤害1时间	18易伤2伤害3双倍秒伤4攻速5策反67核9时间a暴雪减费
14	44153 23113	   	269.59	橙橙2易伤1伤害1时间	18易伤2伤害3双倍秒伤4攻速5策反67核9时间a狙击对黄
15	41513 23613	 * 	266.68	橙橙3易伤1矿等	13a易伤2双倍秒伤4加一5策反67核8矿等9敌人爆炸
16	41513 23834	   	266.68	橙橙3易伤1矿等	13a易伤2双倍秒伤4加一5策反67核8金币生成9矿等
17	41513 23134	   	266.58	橙橙3易伤1矿等	138易伤2双倍秒伤4加一5策反67核9赏金塔a矿等
18	41513 23234	   	266.58	橙橙3易伤1矿等	13a易伤2双倍秒伤4加一5策反67核8技能点9矿等
19	41513 23643	   	266.58	橙橙3易伤1矿等	13a易伤2双倍秒伤4加一5策反67核8矿等9挖尘
20	41513 23115	   	264.73	橙橙3易伤1时间	138易伤2双倍秒伤4加一5策反67核9时间a基地爆炸
21	41513 23116	   	264.73	橙橙3易伤1时间	138易伤2双倍秒伤4加一5策反67核9时间a金币生成
22	41513 23117	   	264.73	橙橙3易伤1时间	138易伤2双倍秒伤4加一5策反67核9时间a平台
23	41513 23118	   	264.73	橙橙3易伤1时间	138易伤2双倍秒伤4加一5策反67核9时间a最后敌人
24	41513 23128	   	264.73	橙橙3易伤1技能	138易伤2双倍秒伤4加一5策反67核9基地爆炸a技能
25	44133 23513	   	264.71	橙橙2易伤1伤害1矿等1技能	1a易伤2伤害3双倍秒伤4技能5策反67核8矿等9敌人爆炸
26	44133 23511	   	264.71	橙橙1易伤1等级1伤害1矿等1技能	1易伤2伤害3双倍秒伤4技能5策反67核8矿等9敌人爆炸a等级
27	41513 23111	   	264.63	橙橙3易伤1时间	138易伤2双倍秒伤4加一5策反67核9时间a激光对冰
28	41513 23112	   	264.63	橙橙3易伤1时间	138易伤2双倍秒伤4加一5策反67核9时间a暴雪减费
29	41513 23113	   	264.63	橙橙3易伤1时间	138易伤2双倍秒伤4加一5策反67核9时间a狙击对黄
30	41513 23114	   	264.63	橙橙3易伤1时间	138易伤2双倍秒伤4加一5策反67核9时间a挖尘
31	44133 23521	   	264.61	橙橙1易伤1等级1伤害1矿等1技能	1易伤2伤害3双倍秒伤4技能5策反67核8矿等9挖青a等级
32	41513 23633	 * 	263.77	橙橙2易伤2矿等	13易伤2双倍秒伤4加一5策反67核89矿等a攻速
33	44133 23114	   	262.75	橙橙2易伤1伤害1时间1技能	18易伤2伤害3双倍秒伤4技能5策反67核9时间a基地爆炸
34	44133 23115	   	262.75	橙橙2易伤1伤害1时间1技能	18易伤2伤害3双倍秒伤4技能5策反67核9时间a金币生成
35	44133 23116	   	262.75	橙橙2易伤1伤害1时间1技能	18易伤2伤害3双倍秒伤4技能5策反67核9时间a平台
36	44133 23153	   	262.75	橙橙2易伤1伤害1暴击1技能	18易伤2伤害3双倍秒伤4技能5策反67核9双倍矿a暴击
37	41513 23484	   	262.65	橙橙2易伤1伤害1暴击	13易伤2双倍秒伤4加一5策反67核8雷电9伤害a暴击
38	44133 23111	   	262.65	橙橙2易伤1伤害1时间1技能	18易伤2伤害3双倍秒伤4技能5策反67核9时间a激光对冰
39	44133 23112	   	262.65	橙橙2易伤1伤害1时间1技能	18易伤2伤害3双倍秒伤4技能5策反67核9时间a暴雪减费
40	44133 23113	   	262.65	橙橙2易伤1伤害1时间1技能	18易伤2伤害3双倍秒伤4技能5策反67核9时间a狙击对黄
41	41513 23161	   	262.08	橙橙3易伤1核弹	138易伤2双倍秒伤4加一5策反67核9双倍矿a核弹
42	42241 22118	   	262.08	橙橙2易伤1等级	19易伤2赏金塔3攻速4加一5策反6敌人爆炸7a核8等级
43	42241 22328	   	262.08	橙橙2易伤1等级	18易伤2赏金塔3攻速4加一5策反6敌人爆炸7a核9等级
44	42241 42118	   	262.08	橙橙2易伤1等级	19易伤2赏金塔3攻速4加一5策反6基地爆炸7a核8等级
45	42241 42328	   	262.08	橙橙2易伤1等级	18易伤2赏金塔3攻速4加一5策反6基地爆炸7a核9等级
