0	Index      	 *	Score 	Summary	Detail	
1	52352 11533	 * 	270.59	橙橙2易伤2矿等1暴击	15易伤2暴击3最后敌人45矿等5序列升级6挖青7挖尘8a核9额外掉落
2	53233 63263	 * 	258.39	橙橙1易伤1等级1矿等1暴击	1易伤2等级3额外掉落4敌人爆炸5暴击6矿等7低血量敌人8金币生成9a核
3	52551 31131	   	256.14	橙橙2易伤1暴击1攻速	1a易伤2暴击3赏金邻近4随机矿5攻速68核7多重对甲9暴雪减费
4	26213 25521	 * 	254.30	橙2易伤2喷火对甲2雷电1伤害1全技能	1赏金塔2立即金币37雷电4时间57喷火对甲67易伤7序列升级8全技能9伤害a核
5	42222 33533	   	249.73	橙橙2易伤1暴击	15敌人爆炸2暴击3掉矿45易伤5序列升级6时间7低血量敌人8a核9额外掉落
6	53151 12224	 * 	249.64	橙2易伤2等级2攻速1矿等1全技能1暴击	18易伤28等级3赏金塔4最后敌人5暴击68攻速7全技能8序列升级9矿等a核
7	42222 31563	   	249.63	橙橙2易伤1暴击	15敌人爆炸2暴击3掉矿45易伤5序列升级6时间7挖尘8a核9额外掉落
8	52222 33533	   	249.63	橙橙2易伤1暴击	14易伤2暴击3掉矿5敌人爆炸6时间7低血量敌人8a核9额外掉落
9	52222 31563	   	249.53	橙橙2易伤1暴击	14易伤2暴击3掉矿5敌人爆炸6时间7挖尘8a核9额外掉落
10	52551 31112	   	247.98	橙橙1易伤1暴击1攻速1雷电	1易伤2暴击3赏金邻近4随机矿5攻速68核7多重对甲9雷电a时间
11	13561 43115	 * 	247.33	橙橙2伤害1易伤	1低血量敌人2赏金塔3易伤4a伤害5加一6敌人爆炸7时间89核
12	25161 43115	   	247.33	橙橙2伤害1易伤	1赏金塔2易伤3低血量敌人4a伤害5加一6敌人爆炸7时间89核
13	51132 33133	 * 	245.64	橙3易伤3伤害1等级	167易伤247伤害3赏金塔57最后敌人7序列升级8双倍秒伤9等级a核
14	25261 63114	   	245.14	橙橙1易伤1伤害1矿等	1赏金塔2易伤3时间4伤害5加一6双倍秒伤7火球减费89核a矿等
15	13552 23114	   	243.49	橙橙1易伤1伤害1暴击	1低血量敌人2赏金塔3易伤4暴击5基地爆炸6时间7平台89核a伤害
16	25152 23114	   	243.49	橙橙1易伤1伤害1暴击	1赏金塔2易伤3低血量敌人4暴击5基地爆炸6时间7平台89核a伤害
17	52532 23114	   	243.49	橙橙1易伤1伤害1暴击	1易伤2暴击3赏金邻近4敌人爆炸5基地爆炸6时间7平台89核a伤害
18	25252 13114	   	243.49	橙橙1易伤1伤害1暴击	1赏金塔2易伤3时间4暴击5基地爆炸6低血量敌人7平台89核a伤害
19	22251 53115	   	243.39	橙橙1易伤1伤害1攻速	1赏金塔2攻速3敌人爆炸4最后敌人5加一6易伤7时间89核a伤害
20	12222 41533	   	242.69	橙橙2易伤1暴击	15低血量敌人2暴击3掉矿45易伤5序列升级6最后敌人7挖尘8a核9额外掉落
