0	Index      	 *	Score 	Summary	Detail	
1	32632 21616	 * 	286.04	橙橙3易伤2雷电1攻速	1挖尘2a雷电358易伤4攻速69核7最后敌人
2	32632 21614	   	282.77	橙橙3易伤1攻速1雷电	1挖尘2雷电358易伤4攻速69核7最后敌人a时间
3	52632 21611	   	275.93	橙橙3易伤1攻速1雷电	1敌人爆炸2雷电358易伤4攻速69核7最后敌人a金币生成
4	52632 21612	   	275.93	橙橙3易伤1攻速1雷电	1敌人爆炸2雷电358易伤4攻速69核7a最后敌人
5	32632 21611	   	275.83	橙橙3易伤1攻速1雷电	1挖尘2雷电358易伤4攻速69核7最后敌人a金币生成
6	32632 21612	   	275.83	橙橙3易伤1攻速1雷电	1挖尘2雷电358易伤4攻速69核7a最后敌人
7	35212 21616	   	275.83	橙橙3易伤1攻速1雷电	1挖尘258易伤3攻速4头目69核7最后敌人a雷电
8	52632 21613	   	275.83	橙橙3易伤1攻速1雷电	1敌人爆炸2雷电358易伤4攻速69核7最后敌人a挖尘
9	32632 21613	   	275.73	橙橙3易伤1攻速1雷电	1a挖尘2雷电358易伤4攻速69核7最后敌人
10	32162 21616	   	272.39	橙橙3易伤2雷电1技能	1挖尘2a雷电3技能458易伤69核7最后敌人
11	35212 21614	   	271.77	橙橙3易伤1攻速	1挖尘258易伤3攻速4头目69核7最后敌人a时间
12	32162 21614	   	269.12	橙橙3易伤1技能1雷电	1挖尘2雷电3技能458易伤69核7最后敌人a时间
13	32632 22514	   	267.24	橙橙2易伤2时间1攻速1雷电	1挖尘2雷电35易伤4攻速69核7立即金币8a时间
14	35212 24341	   	267.24	橙橙2易伤1全技能1攻速1雷电	1挖尘25易伤3攻速4头目69核7赏金邻近8雷电a全技能
15	55212 21611	   	264.93	橙橙3易伤1攻速	1敌人爆炸258易伤3攻速4头目69核7最后敌人a金币生成
16	55212 21612	   	264.93	橙橙3易伤1攻速	1敌人爆炸258易伤3攻速4头目69核7a最后敌人
17	35212 21611	   	264.83	橙橙3易伤1攻速	1挖尘258易伤3攻速4头目69核7最后敌人a金币生成
18	35212 21612	   	264.83	橙橙3易伤1攻速	1挖尘258易伤3攻速4头目69核7a最后敌人
19	55212 21613	   	264.83	橙橙3易伤1攻速	1敌人爆炸258易伤3攻速4头目69核7最后敌人a挖尘
20	35212 21613	   	264.73	橙橙3易伤1攻速	1a挖尘258易伤3攻速4头目69核7最后敌人
21	52632 22216	   	264.00	橙橙2易伤2雷电1攻速	1敌人爆炸2a雷电35易伤4攻速69核7立即金币8基地爆炸
22	32632 22216	   	263.90	橙橙2易伤2雷电1攻速	1挖尘2a雷电35易伤4攻速69核7立即金币8基地爆炸
23	36221 62163	 * 	262.75	橙橙1易伤1等级1伤害1攻速	1挖尘2金币生成3伤害4基地爆炸5等级69核7攻速8策反a易伤
24	31221 62163	   	262.65	橙橙1易伤1等级1伤害1攻速	1挖尘2技能点3伤害4基地爆炸5等级69核7攻速8策反a易伤
25	42221 62163	   	262.65	橙橙1易伤1等级1伤害1攻速	1掉矿2挖尘3伤害4基地爆炸5等级69核7攻速8策反a易伤
26	32162 21611	   	262.18	橙橙3易伤1技能1雷电	1挖尘2雷电3技能458易伤69核7最后敌人a金币生成
27	32162 21612	   	262.18	橙橙3易伤1技能1雷电	1挖尘2雷电3技能458易伤69核7a最后敌人
28	32162 21613	   	262.08	橙橙3易伤1技能1雷电	1a挖尘2雷电3技能458易伤69核7最后敌人
29	52632 22214	   	260.73	橙橙2易伤1攻速1雷电	1敌人爆炸2雷电35易伤4攻速69核7立即金币8基地爆炸a时间
30	52632 22511	   	260.73	橙橙2易伤1攻速1雷电	1敌人爆炸2雷电35易伤4攻速69核7立即金币8时间a金币生成
31	52632 22512	   	260.73	橙橙2易伤1攻速1雷电	1敌人爆炸2雷电35易伤4攻速69核7立即金币8时间a最后敌人
32	32632 22214	   	260.63	橙橙2易伤1攻速1雷电	1挖尘2雷电35易伤4攻速69核7立即金币8基地爆炸a时间
33	32632 22511	   	260.63	橙橙2易伤1攻速1雷电	1挖尘2雷电35易伤4攻速69核7立即金币8时间a金币生成
34	32632 22512	   	260.63	橙橙2易伤1攻速1雷电	1挖尘2雷电35易伤4攻速69核7立即金币8时间a最后敌人
35	32632 22515	   	260.63	橙橙2易伤1攻速1雷电	1挖尘2雷电35易伤4攻速69核7立即金币8时间a平台
36	52632 22513	   	260.63	橙橙2易伤1攻速1雷电	1敌人爆炸2雷电35易伤4攻速69核7立即金币8时间a加一
37	32632 22513	   	260.53	橙橙2易伤1攻速1雷电	1挖尘2雷电35易伤4攻速69核7立即金币8时间a加一
38	42256 22211	 * 	260.01	橙橙2易伤1伤害1雷电	18掉矿28挖尘3伤害4随机矿5雷电69核78易伤8序列升级a金币生成
39	42256 22212	   	260.01	橙橙2易伤1伤害1雷电	18掉矿28挖尘3伤害4随机矿5雷电69核78易伤8序列升级a最后敌人
40	42256 22213	   	259.91	橙橙2易伤1伤害1雷电	18掉矿28挖尘3伤害4随机矿5雷电69核78易伤8序列升级a加一
41	35212 22514	   	256.24	橙橙2易伤2时间1攻速	1挖尘25易伤3攻速4头目69核7立即金币8a时间
