0	Index      	Bounty	 *	Score 	Summary	Detail	
1	31553 31153	4	 * 	310.19	DCR|3VULN|3DUR|3LIT|1DMG|1TLV|1CDMG|1ASPD	189VULN|2TLV|389DUR|4DMG|5ASPD|689LIT|7RCR|89BPWR|aCDMG
2	31353 31153	3	 * 	308.36	DCR|4VULN|3DMG|3LIT|1TLV|1ASPD	189aVULN|2TLV|389DMG|4LHND|5ASPD|689LIT|7RCR|89BPWR
3	31323 21152	5	 * 	307.54	DCR|3VULN|3DMG|3ASPD|1TLV|1CDMG	189VULN|2TLV|389DMG|4BEXP|5LIT|689ASPD|7RCR|89BPWR|aCDMG
4	31323 31152	6	   	307.54	DCR|3VULN|3DMG|3ASPD|1TLV|1CDMG	189VULN|2TLV|389DMG|4BEXP|5LIT|689ASPD|7RCR|89BPWR|aCDMG
5	31553 21151	5	 * 	304.71	DCR|3VULN|3DUR|3ASPD|1DMG|1TLV	189VULN|2TLV|389DUR|4DMG|5LIT|689ASPD|7RCR|89BPWR|aFEWX
6	31553 21152	5	   	304.71	DCR|3VULN|3DUR|3ASPD|1DMG|1TLV	189VULN|2TLV|389DUR|4DMG|5LIT|689ASPD|7RCR|89BPWR|aDMSP
7	31553 21153	5	   	304.71	DCR|3VULN|3DUR|3ASPD|1DMG|1TLV	189VULN|2TLV|389DUR|4DMG|5LIT|689ASPD|7RCR|89BPWR|aCGEN
8	31553 31151	6	   	304.71	DCR|3VULN|3DUR|3ASPD|1DMG|1TLV	189VULN|2TLV|389DUR|4DMG|5LIT|689ASPD|7RCR|89BPWR|aFEWX
9	31553 31152	6	   	304.71	DCR|3VULN|3DUR|3ASPD|1DMG|1TLV	189VULN|2TLV|389DUR|4DMG|5LIT|689ASPD|7RCR|89BPWR|aDMSP
10	31553 31153	6	   	304.71	DCR|3VULN|3DUR|3ASPD|1DMG|1TLV	189VULN|2TLV|389DUR|4DMG|5LIT|689ASPD|7RCR|89BPWR|aCGEN
11	31411 26115	10	   	300.37	DCR|4VULN|2DMG|2CDMG|2TLV|2LIT	137aVULN|27TLV|4aDMG|5LHND|67LIT|7aBPWR|8aCDMG|9RCR
12	31323 21154	5	   	297.61	DCR|3VULN|3DMG|3ASPD|2TLV	189VULN|2aTLV|389DMG|4BEXP|5LIT|689ASPD|7RCR|89BPWR
13	31323 31154	6	   	297.61	DCR|3VULN|3DMG|3ASPD|2TLV	189VULN|2aTLV|389DMG|4BEXP|5LIT|689ASPD|7RCR|89BPWR
14	36333 31153	3	   	297.36	DCR|4VULN|3DMG|3LIT|1TLV	189aVULN|2ZMB|389DMG|4TLV|5LWND|689LIT|7RCR|89BPWR
15	31156 26311	10	   	296.56	DCR|4VULN|2DMG|2TLV|1DUR|2LIT	157aVULN|27TLV|3LHND|45DMG|57BPWR|67LIT|8DUR|9RCR
16	31553 31151	4	   	296.54	DCR|3VULN|3DUR|3LIT|1DMG|1TLV|1ASPD	189VULN|2TLV|389DUR|4DMG|5ASPD|689LIT|7RCR|89BPWR|aBEXP
17	31553 31152	4	   	296.44	DCR|3VULN|3DUR|3LIT|1DMG|1TLV|1ASPD	189VULN|2TLV|389DUR|4DMG|5ASPD|689LIT|7RCR|89BPWR|aERES
18	31323 21153	5	   	293.89	DCR|3VULN|3DMG|3ASPD|1TLV	189VULN|2TLV|389DMG|4BEXP|5LIT|689ASPD|7RCR|89BPWR|aCGEN
19	31323 21156	5	   	293.89	DCR|3VULN|3DMG|3ASPD|1TLV	189VULN|2TLV|389DMG|4BEXP|5LIT|689ASPD|7RCR|89BPWR|aMLV
20	31323 31153	6	   	293.89	DCR|3VULN|3DMG|3ASPD|1TLV	189VULN|2TLV|389DMG|4BEXP|5LIT|689ASPD|7RCR|89BPWR|aCGEN
21	31323 31156	6	   	293.89	DCR|3VULN|3DMG|3ASPD|1TLV	189VULN|2TLV|389DMG|4BEXP|5LIT|689ASPD|7RCR|89BPWR|aMLV
22	31323 21155	5	   	293.79	DCR|3VULN|3DMG|3ASPD|1TLV	189VULN|2TLV|389DMG|4BEXP|5LIT|689ASPD|7RCR|89BPWR|aLEGI
23	31323 31155	6	   	293.79	DCR|3VULN|3DMG|3ASPD|1TLV	189VULN|2TLV|389DMG|4BEXP|5LIT|689ASPD|7RCR|89BPWR|aLEGI
24	34323 21154	5	   	293.79	DCR|3VULN|3DMG|3ASPD|1TLV	189VULN|2ERES|389DMG|4BEXP|5LIT|689ASPD|7RCR|89BPWR|aTLV
25	34323 31154	6	   	293.79	DCR|3VULN|3DMG|3ASPD|1TLV	189VULN|2ERES|389DMG|4BEXP|5LIT|689ASPD|7RCR|89BPWR|aTLV
26	31413 63163	4	 * 	293.10	DCR|5VULN|2DMG|2TLV	13689VULN|25TLV|45DMG|5BPWR|7LIT|aRCR
27	34363 31153	3	   	292.01	DCR|4VULN|3DMG|3LIT|1ASPD	189aVULN|2ERES|389DMG|4LHND|5ASPD|689LIT|7RCR|89BPWR
28	34323 21152	5	   	291.19	DCR|3VULN|3DMG|3ASPD|1CDMG	189VULN|2ERES|389DMG|4BEXP|5LIT|689ASPD|7RCR|89BPWR|aCDMG
29	34323 31152	6	   	291.19	DCR|3VULN|3DMG|3ASPD|1CDMG	189VULN|2ERES|389DMG|4BEXP|5LIT|689ASPD|7RCR|89BPWR|aCDMG
30	35524 31121	3	 * 	291.18	DCR|4VULN|2DMG|2DUR|2LIT	148aVULN|2aDUR|3LEGI|58DMG|68LIT|7RCR|8aBPWR|9aLWND
31	35524 31131	3	   	290.98	DCR|4VULN|2DMG|2DUR|2LIT	148aVULN|2aDUR|3LEGI|58DMG|68LIT|7RCR|8aBPWR|9aDUST
32	35612 26333	3	   	290.64	DCR|5VULN|2DMG|1DUR	1678aVULN|2DUR|3AART|4ERES|56DMG|6BPWR|9RCR
33	35616 33323	5	 * 	290.22	DCR|3VULN|3DUR|2DMG|1CDMG	149VULN|249DUR|3AART|49BPWR|5CDMG|67LHND|89DMG|aRCR
34	31156 26313	10	   	288.50	DCR|3VULN|2DMG|2DUR|2TLV|2LIT	157VULN|27TLV|3LHND|45DMG|57BPWR|67LIT|8aDUR|9RCR
35	31323 31151	4	   	285.72	DCR|3VULN|3DMG|3LIT|1TLV|1ASPD	189VULN|2TLV|389DMG|4BEXP|5ASPD|689LIT|7RCR|89BPWR|aLWND
36	31323 31152	4	   	285.72	DCR|3VULN|3DMG|3LIT|1TLV|1ASPD	189VULN|2TLV|389DMG|4BEXP|5ASPD|689LIT|7RCR|89BPWR|aLHND
37	31323 31154	4	   	285.72	DCR|3VULN|3DMG|3LIT|1TLV|1ASPD	189VULN|2TLV|389DMG|4BEXP|5ASPD|689LIT|7RCR|89BPWR|aFEWX
38	31323 31155	4	   	285.72	DCR|3VULN|3DMG|3LIT|1TLV|1ASPD	189VULN|2TLV|389DMG|4BEXP|5ASPD|689LIT|7RCR|89BPWR|aRPLT
39	31323 31156	4	   	285.72	DCR|3VULN|3DMG|3LIT|1TLV|1ASPD	189VULN|2TLV|389DMG|4aBEXP|5ASPD|689LIT|7RCR|89BPWR
40	31353 31151	3	   	285.72	DCR|3VULN|3DMG|3LIT|1TLV|1ASPD	189VULN|2TLV|389DMG|4LHND|5ASPD|689LIT|7RCR|89BPWR|aLWND
41	31353 31152	3	   	285.72	DCR|3VULN|3DMG|3LIT|1TLV|1ASPD	189VULN|2TLV|389DMG|4aLHND|5ASPD|689LIT|7RCR|89BPWR
42	31353 31154	3	   	285.72	DCR|3VULN|3DMG|3LIT|1TLV|1ASPD	189VULN|2TLV|389DMG|4LHND|5ASPD|689LIT|7RCR|89BPWR|aFEWX
43	31353 31155	3	   	285.72	DCR|3VULN|3DMG|3LIT|1TLV|1ASPD	189VULN|2TLV|389DMG|4LHND|5ASPD|689LIT|7RCR|89BPWR|aRPLT
44	31353 31156	3	   	285.72	DCR|3VULN|3DMG|3LIT|1TLV|1ASPD	189VULN|2TLV|389DMG|4LHND|5ASPD|689LIT|7RCR|89BPWR|aBEXP
45	34552 23333	3	   	285.69	DCR|4VULN|2DMG|2DUR	168aVULN|2ERES|37DUR|4AART|56DMG|6BPWR|9RCR
46	35612 23333	3	   	285.69	DCR|4VULN|2DMG|2DUR	168aVULN|27DUR|3AART|4ERES|56DMG|6BPWR|9RCR
47	35652 23333	4	   	285.69	DCR|4VULN|2DMG|2DUR	168aVULN|27DUR|3AART|4ERES|56DMG|6BPWR|9RCR
48	31323 31153	4	   	285.62	DCR|3VULN|3DMG|3LIT|1TLV|1ASPD	189VULN|2TLV|389DMG|4BEXP|5ASPD|689LIT|7RCR|89BPWR|aBBNT
49	34353 31151	3	   	285.62	DCR|3VULN|3DMG|3LIT|1DUR|1ASPD	189VULN|2ERES|389DMG|4DUR|5ASPD|689LIT|7RCR|89BPWR|aLWND
50	34353 31152	3	   	285.62	DCR|3VULN|3DMG|3LIT|1DUR|1ASPD	189VULN|2ERES|389DMG|4DUR|5ASPD|689LIT|7RCR|89BPWR|aLHND
51	34353 31153	3	   	285.52	DCR|3VULN|3DMG|3LIT|1DUR|1ASPD	189VULN|2ERES|389DMG|4DUR|5ASPD|689LIT|7RCR|89BPWR|aBBNT
52	35611 21633	7	 * 	283.82	DCR|5VULN|2DUR|1TLV	1457aVULN|24DUR|3AART|4BPWR|6ERES|8TLV|9RCR
