0	Index      	Bounty	 *	Score 	Summary	Detail	
1	42222 24613	6	 * 	285.59	DCR|3VULN|3DMG|3ASPD|1TLV	18aASPD|2RCVC|3TLV|4BELT|58aDMG|6RCR|78aVULN|8aBPWR|9RPLT
2	22641 21232	10	 * 	282.80	DCR|4VULN|3DMG|1CDMG	14DUST|256DMG|3569VULN|56BPWR|7CDMG|8LIT|aRCR
3	31112 77343	4	 * 	280.83	DCR|4VULN|2DUR|3CDMG|1TLV	167CDMG|2LHND|3MBVNT|47DUR|567aVULN|67BPWR|8RCR|9TLV
4	31115 77343	5	   	280.83	DCR|4VULN|2DUR|3CDMG|1TLV	167CDMG|2LHND|3MBVNT|47DUR|567aVULN|67BPWR|8RCR|9TLV
5	31122 77343	3	   	280.83	DCR|4VULN|2DUR|3CDMG|1TLV	167CDMG|2LHND|3MBVNT|47DUR|567aVULN|67BPWR|8RCR|9TLV
6	12323 63432	7	   	277.19	DCR|4VULN|3DMG|1TLV	17ERES|2RCVC|367DMG|4BELT|5679VULN|67BPWR|8RCR|aTLV
7	16323 63432	7	   	277.19	DCR|4VULN|3DMG|1TLV	17ERES|2DMSP|367DMG|4BELT|5679VULN|67BPWR|8RCR|aTLV
8	22633 21161	8	   	277.09	DCR|4VULN|3DMG|1DUR|1NUKE	18DUST|258DMG|3578VULN|4NUKE|58BPWR|6RCVC|9RCR|aDUR
9	41444 15424	9	 * 	275.94	DCR|4VULN|2DUR|2ASPD|1TLV	17ASPD|2CGEN|3MBVNT|478aVULN|57DUR|6RCR|7BPWR|9TLV
10	31112 77353	4	   	275.58	DCR|4VULN|2DUR|3CDMG|1ASPD	167CDMG|2LHND|3MBVNT|47DUR|567aVULN|67BPWR|8RCR|9ASPD
11	31122 77353	3	   	275.58	DCR|4VULN|2DUR|3CDMG|1ASPD	167CDMG|2LHND|3MBVNT|47DUR|567aVULN|67BPWR|8RCR|9ASPD
12	32611 46121	8	 * 	274.82	DCR|4VULN|1DMG|2CDMG|1TLV|1ASPD	16CDMG|2ASPD|3DMG|4579VULN|8TLV|aRCR
13	22641 24113	6	   	273.76	DCR|3VULN|3DMG|1DUR|1ASPD	14DUST|256DMG|356VULN|56BPWR|7LIT|8DUR|9RCR|aASPD
14	31216 32163	10	   	273.75	DCR|4VULN|1DMG|1TLV|1DUR|1CDMG	1CDMG|2LHND|367aVULN|4DUR|5TLV|8DMG|9RCR
15	33434 32163	10	   	273.75	DCR|4VULN|1DMG|1TLV|1DUR|1CDMG	1CDMG|2TLV|367aVULN|4DUR|5LHND|8DMG|9RCR
16	32611 51152	7	 * 	273.58	DCR|3VULN|2DMG|2TLV|2CDMG|1ASPD	19CDMG|2ASPD|39DMG|45aVULN|6ERES|7RCR|89TLV|9BPWR
17	41444 15424	10	 * 	273.36	DCR|3VULN|2DUR|2ASPD|1DMG|1TLV	17ASPD|2CGEN|3MBVNT|478VULN|57DUR|6RCR|7BPWR|9TLV|aDMG
18	32611 51125	9	 * 	273.19	DCR|2VULN|3DMG|2DUR|2CDMG|1ASPD	1aCDMG|2ASPD|38aDMG|45VULN|6ERES|7RCR|9aDUR|aBPWR
19	31112 77352	4	 * 	273.00	DCR|3VULN|2DUR|3CDMG|1DMG|1ASPD	167CDMG|2LHND|3MBVNT|47DUR|567VULN|67BPWR|8RCR|9ASPD|aDMG
20	31122 77352	3	   	273.00	DCR|3VULN|2DUR|3CDMG|1DMG|1ASPD	167CDMG|2LHND|3MBVNT|47DUR|567VULN|67BPWR|8RCR|9ASPD|aDMG
21	22641 26321	9	   	272.42	DCR|3VULN|3DMG|1TLV|1AART	14DUST|256DMG|356VULN|56BPWR|7TLV|8LIT|9AART|aRCR
22	32631 13353	7	 * 	271.56	DCR|3VULN|3ASPD|3CDMG|1DMG|1AART	189CDMG|29aASPD|3DMG|4aDUST|59aVULN|6AART|7RCR|9aBPWR
23	31112 77348	4	 * 	271.41	DCR|3VULN|3DUR|3CDMG|1TLV	167CDMG|2LHND|3MBVNT|47aDUR|567VULN|67BPWR|8RCR|9TLV
24	31122 77348	3	   	271.41	DCR|3VULN|3DUR|3CDMG|1TLV	167CDMG|2LHND|3MBVNT|47aDUR|567VULN|67BPWR|8RCR|9TLV
25	31231 41443	9	 * 	271.39	DCR|4VULN|2DMG|3CDMG	169CDMG|2LHND|3459VULN|79DMG|8RPLT|9BPWR|aRCR
26	42441 22223	10	 * 	271.11	DCR|4VULN|3DUR|1ASPD	1ASPD|2RCVC|356aVULN|456DUR|56BPWR|7BELT|8LIT|9RCR
27	32611 32224	9	   	270.85	DCR|3VULN|2ASPD|2CDMG|1DMG|2LIT|1AART	18CDMG|28ASPD|3DMG|45aVULN|6AART|78LIT|8BPWR|9RCR
28	32611 41121	8	   	269.77	DCR|3VULN|2DMG|2CDMG|1TLV|1ASPD	16CDMG|2ASPD|37DMG|459VULN|8TLV|aRCR
29	32611 51133	10	   	269.74	DCR|4VULN|2DMG|1CDMG|1ASPD	1CDMG|2ASPD|38DMG|459aVULN|6ERES|7RCR
30	31231 35252	7	   	269.54	DCR|4VULN|2DUR|2CDMG|1ASPD	18CDMG|2LHND|3458VULN|68DUR|7RPLT|8BPWR|9RCR|aASPD
31	12323 63433	7	   	269.25	DCR|4VULN|3DMG	17ERES|2RCVC|367DMG|4BELT|5679VULN|67BPWR|8RCR|aLIT
32	16323 63433	7	   	269.25	DCR|4VULN|3DMG	17ERES|2DMSP|367DMG|4BELT|5679VULN|67BPWR|8RCR|aLIT
33	31112 77342	4	   	269.19	DCR|3VULN|2DUR|3CDMG|1TLV|1ASPD	167CDMG|2LHND|3MBVNT|47DUR|567VULN|67BPWR|8RCR|9TLV|aASPD
34	31115 77342	5	   	269.19	DCR|3VULN|2DUR|3CDMG|1TLV|1ASPD	167CDMG|2LHND|3MBVNT|47DUR|567VULN|67BPWR|8RCR|9TLV|aASPD
35	31122 77342	3	   	269.19	DCR|3VULN|2DUR|3CDMG|1TLV|1ASPD	167CDMG|2LHND|3MBVNT|47DUR|567VULN|67BPWR|8RCR|9TLV|aASPD
36	31521 35143	1	 * 	269.09	DCR|3VULN|3DUR|2TLV|2CDMG	19CDMG|256DUR|3TBNT|469VULN|69BPWR|7RPLT|89TLV|aRCR
37	31233 42115	8	 * 	268.88	DCR|4VULN|2ASPD|2CDMG|1DMG	1aCDMG|2LHND|347aVULN|5ERES|6RCR|8DMG|9aASPD|aBPWR
38	31233 42135	9	   	268.88	DCR|4VULN|2ASPD|2CDMG|1DMG	1aCDMG|2LHND|347aVULN|5ERES|6RCR|8DMG|9aASPD|aBPWR
