0	Index      	Bounty	 *	Score 	Summary	Detail	
1	51216 31144	9	 * 	294.87	DCR|4VULN|3DUR|2DMG|1AART	169DUR|2ASPD|39DMG|4689VULN|5MBVNT|69BPWR|7AART|aRCR
2	51216 36222	10	 * 	290.36	DCR|3VULN|3DUR|2DMG|1TLV	167DUR|2ASPD|37DMG|467VULN|5MBVNT|67BPWR|8RPLT|9RCR|aTLV
3	51215 22511	5	   	279.82	DCR|4VULN|2DMG|2DUR|2ASPD	17DUR|28ASPD|37DMG|457aVULN|6RCVC|7BPWR|9RCR
4	51216 36221	10	   	277.80	DCR|3VULN|3DUR|2DMG|1CDMG	167DUR|2ASPD|37DMG|467VULN|5MBVNT|67BPWR|8RPLT|9RCR|aCDMG
5	51216 12143	7	   	276.93	DCR|3VULN|2DMG|2DUR|1TLV	17DUR|2ASPD|37DMG|479VULN|5MBVNT|6DLOT|7BPWR|8TLV|aRCR
6	51216 12443	8	   	276.93	DCR|3VULN|2DMG|2DUR|1TLV	17DUR|2ASPD|37DMG|479VULN|5MBVNT|6DLOT|7BPWR|8TLV|aRCR
7	51216 12443	9	   	276.93	DCR|3VULN|2DMG|2DUR|1TLV	17DUR|2ASPD|37DMG|479VULN|5MBVNT|6DLOT|7BPWR|8TLV|aRCR
8	51235 35312	9	 * 	274.82	DCR|3VULN|2DUR|1TLV|3ASPD|1DMG	17DUR|267ASPD|3DMG|4DUST|567VULN|67BPWR|8TLV|9FEWX|aRCR
9	51235 35322	8	   	274.82	DCR|3VULN|2DUR|1TLV|3ASPD|1DMG	17DUR|267ASPD|3DMG|4DUST|567VULN|67BPWR|8TLV|9CGEN|aRCR
10	51235 35322	9	   	274.82	DCR|3VULN|2DUR|1TLV|3ASPD|1DMG	17DUR|267ASPD|3DMG|4DUST|567VULN|67BPWR|8TLV|9RMIN|aRCR
11	51235 35332	8	   	274.82	DCR|3VULN|2DUR|1TLV|3ASPD|1DMG	17DUR|267ASPD|3DMG|4DUST|567VULN|67BPWR|8TLV|9BEXP|aRCR
12	51235 35312	8	   	274.72	DCR|3VULN|2DUR|1TLV|3ASPD|1DMG	17DUR|267ASPD|3DMG|4DUST|567VULN|67BPWR|8TLV|9ERES|aRCR
13	52345 31313	10	   	274.02	DCR|3VULN|3DUR|1TLV|1DMG|1AART	135DUR|2AART|457VULN|5BPWR|6FEWX|8RCR|9DMG|aTLV
14	51216 31744	9	   	273.81	DCR|3VULN|3DUR|2DMG|1AART	169DUR|2ASPD|39DMG|469VULN|5MBVNT|69BPWR|7AART|8RCVC|aRCR
15	51216 26423	10	   	271.90	DCR|3VULN|3DUR|2DMG|2ASPD	178DUR|26ASPD|37DMG|47aVULN|5MBVNT|7BPWR|9RCR
16	51216 26424	9	   	271.90	DCR|3VULN|3DUR|2DMG|2ASPD	178DUR|26ASPD|37DMG|47aVULN|5MBVNT|7BPWR|9RCR
