0	Index      	Bounty	 *	Score 	Summary	Detail	
1	12231 26661	2	 * 	281.73	DCR|3VULN|3DUR|1TLV|3ASPD|1CDMG	179DUR|2FEWX|379VULN|4CDMG|5DUST|679ASPD|79BPWR|8RCR|aTLV
2	11212 32543	6	 * 	270.91	DCR|2VULN|3DUR|2DMG|1TLV|1CDMG	149DUR|2DLOT|3CDMG|59VULN|6RMIN|7RCR|89DMG|9BPWR|aTLV
3	11216 33114	2	 * 	268.72	DCR|3VULN|2DMG|2DUR|1TLV	18DUR|2DLOT|3TLV|48DMG|5RMIN|689VULN|7BELT|8BPWR|aRCR
4	32536 33133	8	 * 	266.30	DCR|3VULN|2DMG|2DUR|3ASPD	1RMIN|248ASPD|34DMG|48BPWR|5RPLT|689VULN|78DUR|aRCR
5	11332 14161	1	 * 	266.03	DCR|3VULN|3DUR|2TLV|1CDMG	158DUR|2TBNT|368VULN|4RMIN|78TLV|8BPWR|9RCR|aCDMG
6	13332 14161	1	   	266.03	DCR|3VULN|3DUR|2TLV|1CDMG	158DUR|2BBNT|368VULN|4RMIN|78TLV|8BPWR|9RCR|aCDMG
7	32532 11266	6	 * 	264.77	DCR|3VULN|3DMG|3ASPD|1CDMG	1RMIN|249ASPD|349DMG|49BPWR|5LWND|6CDMG|789VULN|aRCR
8	32532 12266	7	   	264.77	DCR|3VULN|3DMG|3ASPD|1CDMG	1RMIN|249ASPD|349DMG|49BPWR|5LWND|6CDMG|789VULN|aRCR
9	32531 11263	6	   	264.67	DCR|3VULN|3DMG|3ASPD|1CDMG	1RMIN|249ASPD|349DMG|49BPWR|5DUST|6CDMG|789VULN|aRCR
10	32531 12263	7	   	264.67	DCR|3VULN|3DMG|3ASPD|1CDMG	1RMIN|249ASPD|349DMG|49BPWR|5DUST|6CDMG|789VULN|aRCR
11	32531 12563	8	   	264.67	DCR|3VULN|3DMG|3ASPD|1CDMG	1RMIN|249ASPD|349DMG|49BPWR|5DUST|6CDMG|789VULN|aRCR
12	12122 26144	1	 * 	263.47	DCR|4VULN|2DMG|2DUR	1aDUR|2LEGI|3ERES|456aVULN|7BELT|8RCR|9aDMG|aBPWR
13	11212 32541	6	 * 	260.36	DCR|2VULN|3DMG|3DUR|1CDMG	149DUR|2DLOT|3CDMG|59VULN|6RMIN|7RCR|89aDMG|9BPWR
14	11524 13222	7	   	259.16	DCR|3VULN|3DUR|1TLV|2LIT	189DUR|2DLOT|39LIT|469VULN|5RMIN|7RCR|9BPWR|aTLV
15	11222 32545	6	   	257.68	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	19DUR|2DLOT|3CDMG|4RCVC|59VULN|6RMIN|7RCR|89DMG|9BPWR|aTLV
16	53311 32326	9	 * 	257.40	DCR|4VULN|1TLV|1DMG|2ASPD	12ASPD|3567VULN|4RPLT|8RCR|9TLV|aDMG
17	33244 12151	10	   	256.27	DCR|3VULN|2DMG|2DUR|1CDMG	1RMIN|27DUR|3LHND|4BELT|57DMG|67aVULN|7BPWR|8CDMG|9RCR
18	14125 23152	1	 * 	255.91	ACR|5VULN|2TLV|2DUR|1AART	19DUR|2RCR|35ERES|4569aVULN|59BPWR|79TLV|8AART
19	53311 32325	10	 * 	255.68	DCR|5VULN|1TLV|2ASPD	12ASPD|3567aVULN|4RPLT|8RCR|9TLV
20	12231 26662	2	   	255.53	DCR|3VULN|3DUR|3ASPD|1CDMG	179DUR|2FEWX|379VULN|4CDMG|5DUST|679ASPD|79BPWR|8RCR|aDMSP
21	12231 26663	2	   	255.43	DCR|3VULN|3DUR|3ASPD|1CDMG	179DUR|2FEWX|379VULN|4CDMG|5aDUST|679ASPD|79BPWR|8RCR
22	11642 31631	1	   	254.37	DCR|2VULN|3DUR|2DMG|1CDMG|1AART	16aDUR|2TBNT|3DMSP|4AART|5CDMG|7aDMG|8RCR|9aVULN|aBPWR
23	13642 31631	1	   	254.37	DCR|2VULN|3DUR|2DMG|1CDMG|1AART	16aDUR|2BBNT|3DMSP|4AART|5CDMG|7aDMG|8RCR|9aVULN|aBPWR
24	11525 13321	7	   	254.32	DCR|3VULN|1TLV|1DMG|1DUR|1AART	1DUR|2DLOT|3LIT|45aVULN|6TLV|7RCR|8AART|9DMG
25	11212 36623	4	 * 	253.79	DCR|2VULN|3DUR|2TLV|3CDMG	145DUR|2DLOT|35aCDMG|5aBPWR|6aVULN|7aTLV|8RCVC|9RCR
26	11222 63123	4	   	253.79	DCR|2VULN|3DUR|2TLV|3CDMG	157DUR|2DLOT|35aCDMG|4RCVC|5aBPWR|6aTLV|8aVULN|9RCR
27	11262 36623	3	   	253.79	DCR|2VULN|3DUR|2TLV|3CDMG	145DUR|2DLOT|35aCDMG|5aBPWR|6aVULN|7aTLV|8RCVC|9RCR
28	11212 66523	5	   	253.69	DCR|2VULN|3DUR|2TLV|3CDMG	146DUR|2DLOT|38aCDMG|5aVULN|7aTLV|9RCR|aBPWR
29	53311 32361	8	 * 	253.26	DCR|5VULN|3ASPD|1DUR	129ASPD|35679VULN|4RPLT|8RCR|9BPWR|aDUR
30	32514 11133	3	   	253.25	DCR|3VULN|3DMG|2ASPD|1AART	19RMIN|2aASPD|35aDMG|4AART|67aVULN|8RCR|aBPWR
31	32614 11133	2	   	253.25	DCR|3VULN|3DMG|2ASPD|1AART	19RMIN|2aASPD|3AART|45aDMG|67aVULN|8RCR|aBPWR
32	12621 23416	1	   	253.12	DCR|2VULN|3DUR|1TLV|1DMG|1CDMG	158DUR|2LEGI|3DMG|46VULN|7TLV|9CDMG|aRCR
33	12621 53216	1	   	253.12	DCR|2VULN|3DUR|1TLV|1DMG|1CDMG	159DUR|2LEGI|3DMG|48VULN|6TLV|7CDMG|aRCR
34	11212 32545	6	   	253.01	DCR|2VULN|3DUR|2DMG|1CDMG	149DUR|2DLOT|3CDMG|59VULN|6RMIN|7RCR|89DMG|9BPWR|aASPD
35	32251 62612	2	   	252.93	DCR|3VULN|2DUR|1TLV|1CDMG	1RMIN|2ASPD|3CDMG|479VULN|5TLV|6aDUR|8RCR
36	34242 12342	6	   	252.85	DCR|3VULN|2DMG|1TLV|2LIT	1RMIN|27LIT|37aVULN|4TLV|5CGEN|67DMG|7BPWR|8LWND|9RCR
37	54321 33124	10	 * 	252.84	DCR|3VULN|2TLV|1DMG|2ASPD	13ASPD|23TLV|3BPWR|4FEWX|58aVULN|6LIT|7RCR|9DMG
38	54331 33124	10	   	252.84	DCR|3VULN|2TLV|1DMG|2ASPD	13ASPD|23TLV|3BPWR|4LWND|58aVULN|6LIT|7RCR|9DMG
39	34243 12342	6	   	252.75	DCR|3VULN|2DMG|1TLV|2LIT	1RMIN|27LIT|37aVULN|4TLV|5ERES|67DMG|7BPWR|8LWND|9RCR
40	51351 21131	8	 * 	252.70	DCR|3VULN|1TLV|2CDMG|2ASPD|1DUR	18ASPD|2LHND|358VULN|4BEXP|6DUR|78CDMG|8BPWR|9TLV|aRCR
41	51361 21131	8	   	252.70	DCR|3VULN|1TLV|2CDMG|2ASPD|1DUR	18ASPD|2LHND|348VULN|5LWND|6DUR|78CDMG|8BPWR|9TLV|aRCR
42	51362 41131	8	   	252.70	DCR|3VULN|1TLV|2CDMG|2ASPD|1DUR	18ASPD|2LHND|348VULN|5DUR|6BEXP|78CDMG|8BPWR|9TLV|aRCR
43	51362 51131	8	   	252.70	DCR|3VULN|1TLV|2CDMG|2ASPD|1DUR	18ASPD|2LHND|348VULN|5DUR|6FEWX|78CDMG|8BPWR|9TLV|aRCR
44	11525 23326	10	   	252.61	DCR|3VULN|3DUR|1TLV	18aDUR|2DLOT|3LIT|458VULN|68CGEN|7RCR|8BPWR|9TLV
45	11525 23332	10	   	252.61	DCR|3VULN|3DUR|1TLV	189DUR|2DLOT|3LIT|458VULN|68CGEN|7RCR|8BPWR|aTLV
46	11332 14116	1	   	252.38	DCR|3VULN|3DUR|2TLV	158DUR|2TBNT|368VULN|4RMIN|78TLV|8BPWR|9LWND|aRCR
47	11332 14136	1	   	252.38	DCR|3VULN|3DUR|2TLV	158DUR|2TBNT|368VULN|4RMIN|78TLV|8BPWR|9FEWX|aRCR
48	11332 14163	1	   	252.38	DCR|3VULN|3DUR|2TLV	158DUR|2TBNT|368VULN|4RMIN|78TLV|8BPWR|9RCR|aCGEN
49	11332 14165	1	   	252.38	DCR|3VULN|3DUR|2TLV	158DUR|2TBNT|368VULN|4aRMIN|78TLV|8BPWR|9RCR
50	13332 14116	1	   	252.38	DCR|3VULN|3DUR|2TLV	158DUR|2BBNT|368VULN|4RMIN|78TLV|8BPWR|9LWND|aRCR
51	13332 14136	1	   	252.38	DCR|3VULN|3DUR|2TLV	158DUR|2BBNT|368VULN|4RMIN|78TLV|8BPWR|9FEWX|aRCR
52	13332 14163	1	   	252.38	DCR|3VULN|3DUR|2TLV	158DUR|2BBNT|368VULN|4RMIN|78TLV|8BPWR|9RCR|aCGEN
53	13332 14165	1	   	252.38	DCR|3VULN|3DUR|2TLV	158DUR|2BBNT|368VULN|4aRMIN|78TLV|8BPWR|9RCR
54	11332 14164	1	   	252.28	DCR|3VULN|3DUR|2TLV	158DUR|2TBNT|368VULN|4RMIN|78TLV|8BPWR|9RCR|aDUST
55	13332 14164	1	   	252.28	DCR|3VULN|3DUR|2TLV	158DUR|2BBNT|368VULN|4RMIN|78TLV|8BPWR|9RCR|aDUST
56	16125 13316	2	   	252.28	DCR|3VULN|3DUR|2TLV	15aDUR|2LHND|368ERES|45aVULN|5aBPWR|7aTLV|9RCR
57	16215 23316	2	   	252.28	DCR|3VULN|3DUR|2TLV	15aDUR|2LHND|36aVULN|458ERES|5aBPWR|7aTLV|9RCR
